qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (basso) Horn 1,Bb (basso) Horn 2,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,3.0,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
3.0,5.0,P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&U(Main)&P3(Violoncello)&P3(Contrabass),P6(Flute)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P6(Main)&P4(Violoncello)&P4(Contrabass),P8(Flute)&P6(Oboe 1)&U(Bb Clarinet 1)&P6(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P8(Main)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P6(Oboe 1)&U(Oboe 2)&P6(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P8(Main)&P3(Violoncello)&P3(Contrabass),P6(Flute)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2)&U(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P6(Main)&P4(Violoncello)&P4(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani)&P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P4(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P3(Main)&U(Violoncello)&P8(Contrabass),P6(Flute)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&U(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P6(Main)&P4(Violoncello)&P4(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P4(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P3(Main)&U(Violoncello)&P8(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani)&P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P4(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani)&P3(Main)&U(Violoncello)&P8(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P3(Main)&P8(Violoncello)&U(Contrabass),Main Part,P8(Viola),P8(Violin 2),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P4(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P3(Main)&P8(Contrabass),P3(Flute)&P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Timpani)&P3(Main)&P8(Violoncello)
5.0,8.0,P8(Bb Clarinet 1)&P6(Bb Clarinet 2),P8(Bb (basso) Horn 1),,P8(Flute)&P6(Bb Clarinet 2),P6(Flute)&P6(Bb Clarinet 1),P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bassoon 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Oboe 1),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2),P8(Bassoon 1)&P8(Bassoon 2)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1),,,Main Part,,P8(Contrabass),P8(Violoncello)
8.0,22.0,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
22.0,28.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,,P8(Flute)&P8(Bassoon 1),,P8(Flute)&P8(Bb Clarinet 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
28.0,40.0,P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P8(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P8(Flute)&P8(Bassoon 1),P8(Oboe 1)&U(Oboe 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P8(Flute)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
40.0,48.0,U(Oboe 1)&P8(Bb Clarinet 2),U(Flute)&P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Oboe 2),P8(Flute)&P8(Oboe 1),U(Bassoon 2)&P8(Main)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Main)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Timpani),P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani),U(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani),P8(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),,U(Bassoon 1)&U(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)
48.0,56.0,U(Oboe 1),U(Flute),U(Bb Clarinet 1),U(Oboe 2),P8(Bassoon 2)&P8(Bb (basso) Horn 1),,P8(Bb Clarinet 2)&P8(Bb (basso) Horn 1),P8(Bb Clarinet 2)&P8(Bassoon 2),,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
56.0,60.0,U(Oboe 1),U(Flute),,,U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),,,,,U(Bb Clarinet 2)&P8(Bb Trumpet 2)&P8(Timpani),P8(Bb Clarinet 2)&P8(Bb Trumpet 1)&P8(Timpani),P8(Bb Clarinet 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
60.0,70.5,,,,,,U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(Bb (basso) Horn 2),P8(Bb (basso) Horn 1),P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
