qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
160.0,173.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),,U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),,
173.0,186.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),,U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,,
186.0,192.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon),
192.0,214.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
214.0,228.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
228.0,242.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
242.0,245.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
245.0,249.0,U(Traverso 2)&U(Oboe d’amore 1)&P4(Oboe d’amore 2)&U(Violin 1)&P4(Violin 2)&U(Soprano)&P4(Alto),U(Traverso 1)&U(Oboe d’amore 1)&P4(Oboe d’amore 2)&U(Violin 1)&P4(Violin 2)&U(Soprano)&P4(Alto),U(Traverso 1)&U(Traverso 2)&P4(Oboe d’amore 2)&U(Violin 1)&P4(Violin 2)&U(Soprano)&P4(Alto),P4(Traverso 1)&P4(Traverso 2)&P4(Oboe d’amore 1)&P4(Violin 1)&U(Violin 2)&P4(Soprano)&U(Alto),U(Main)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&P4(Oboe d’amore 2)&P4(Violin 2)&U(Soprano)&P4(Alto),P4(Traverso 1)&P4(Traverso 2)&P4(Oboe d’amore 1)&U(Oboe d’amore 2)&P4(Violin 1)&P4(Soprano)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&P4(Oboe d’amore 2)&U(Violin 1)&P4(Violin 2)&P4(Alto),P4(Traverso 1)&P4(Traverso 2)&P4(Oboe d’amore 1)&U(Oboe d’amore 2)&P4(Violin 1)&U(Violin 2)&P4(Soprano),U(Viola),Main Part,U(Bassoon)&U(Main)
249.0,253.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
253.0,257.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
257.0,261.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&P8(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
