qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.375,,,,,,,,,,,,,Main Part,P3(Viola),P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P8(Main)&P3(Viola)&P8(Contrabass),P8(Main)&P3(Viola)&P8(Violoncello)
0.375,3.0,,,,,,,,,,,,,P8(Violoncello),Main Part,,P8(Violin 1),
3.0,24.0,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Eb Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&U(Timpani)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),U(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Timpani)&P8(Contrabass),P8(Eb Horn 1)&U(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Contrabass),Main Part,,,,P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)
24.0,27.0,,U(Oboe 2),U(Oboe 1),,,,P8(Eb Horn 1)&U(Eb Horn 2)&P8(Main)&P8(Eb Trumpet 2)&U(Timpani)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Eb Horn 2)&P8(Main)&U(Eb Trumpet 2)&P8(Timpani)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Eb Horn 1)&P8(Main)&P8(Eb Trumpet 2)&U(Timpani)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),Main Part,P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Timpani)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Main)&P8(Eb Trumpet 2)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&U(Eb Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Main)&P8(Eb Trumpet 2)&U(Timpani)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
27.0,38.0,Main Part,,,P8(Main),,,,,,P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
38.0,48.0,Main Part,,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),U(Violoncello)&P8(Contrabass),,,U(Eb Trumpet 2)&P8(Timpani),U(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
48.0,50.125,P8(Bassoon 1)&P5(Bassoon 2),P3(Oboe 2)&P3(Bb Clarinet 1),P3(Oboe 1)&P5(Bb Clarinet 1),P3(Oboe 1)&P5(Oboe 2),,P8(Flute)&P5(Bassoon 2),P5(Flute)&P5(Bassoon 1),P3(Eb Horn 2),P3(Eb Horn 1),Main Part,U(Main)&P8(Timpani)&P8(Contrabass),P8(Main)&P8(Eb Trumpet 2)&P8(Contrabass),,P8(Viola),P8(Violin 2),,P8(Main)&P8(Eb Trumpet 2)&P8(Timpani)
50.125,54.0,,,,,,,,,,U(Eb Trumpet 2)&P8(Timpani),U(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),Main Part,,,,
54.0,56.125,,,P3(Bb Clarinet 2)&P8(Eb Horn 1)&P3(Eb Horn 2),P3(Bb Clarinet 2)&P3(Eb Horn 2),P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&P8(Eb Horn 2),,,P8(Oboe 2)&P3(Bb Clarinet 2)&P3(Eb Horn 2),P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1),Main Part,U(Main)&P8(Timpani)&P8(Contrabass),P8(Main)&P8(Eb Trumpet 2)&P8(Contrabass),,P8(Violoncello),,P8(Violin 2),P8(Main)&P8(Eb Trumpet 2)&P8(Timpani)
56.125,60.0,,P3(Oboe 2)&P8(Bb Clarinet 2),P3(Oboe 1)&P3(Bb Clarinet 2),,P8(Oboe 1)&P3(Oboe 2),,,,,U(Eb Trumpet 2)&P8(Timpani),U(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),Main Part,,,,
