qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
49.5,35.3571,17,2.5,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
49.625,35.4464,17,2.625,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,G4,G4,G3,r
49.75,35.5357,17,2.75,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
49.875,35.625,17,2.875,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,B-3,B-3,B-2,r
50.0,35.7143,17,3.0,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,r,r,r,E-2
50.125,35.8036,17,3.125,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,B-4,B-3,B-3,B-2,E-2
50.25,35.8929,17,3.25,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,G4,G3,G3,G2,E-2
50.375,35.9821,17,3.375,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,B-4,B-3,B-3,B-2,E-2
50.5,36.0714,17,3.5,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,E-5,E-4,E-4,E-3,r
50.625,36.1607,17,3.625,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,G5,G4,G4,G3,r
50.75,36.25,17,3.75,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,E-5,E-4,E-4,E-3,r
50.875,36.3393,17,3.875,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,B-4,B-3,B-3,B-2,r
51.0,36.4286,18,1.0,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#5,r,r,E-3,E-2
51.125,36.5179,18,1.125,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#5,D4,B-3,E-3,E-2
51.25,36.6071,18,1.25,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#5,B-3,G#3,E-3,E-2
51.375,36.6964,18,1.375,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#5,D4,B-3,E-3,E-2
51.5,36.7857,18,1.5,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#5,r,r,E-3,E-2
51.625,36.875,18,1.625,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#5,D4,B-3,E-3,E-2
51.75,36.9643,18,1.75,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,F5,B-3,G#3,E-3,E-2
51.875,37.0536,18,1.875,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,F5,D4,B-3,E-3,E-2
52.0,37.1429,18,2.0,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,D5,r,r,E-3,E-2
52.125,37.2321,18,2.125,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,D5,D4,B-3,E-3,E-2
52.25,37.3214,18,2.25,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,E-5,B-3,G#3,E-3,E-2
52.375,37.4107,18,2.375,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,E-5,D4,B-3,E-3,E-2
52.5,37.5,18,2.5,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,F5,r,r,E-3,E-2
52.625,37.5893,18,2.625,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,F5,D4,B-3,E-3,E-2
52.75,37.6786,18,2.75,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,D5,B-3,G#3,E-3,E-2
52.875,37.7679,18,2.875,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,D5,D4,B-3,E-3,E-2
53.0,37.8571,18,3.0,r,B-5,D5,D5,G#4,r,r,F4,B-3,r,r,r,B-4,r,r,E-3,E-2
53.125,37.9464,18,3.125,r,B-5,D5,D5,G#4,r,r,F4,B-3,r,r,r,B-4,D4,B-3,E-3,E-2
53.25,38.0357,18,3.25,r,C6,D5,D5,G#4,r,r,F4,B-3,r,r,r,C5,B-3,G#3,E-3,E-2
53.375,38.125,18,3.375,r,C6,D5,D5,G#4,r,r,F4,B-3,r,r,r,C5,D4,B-3,E-3,E-2
53.5,38.2143,18,3.5,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#4,r,r,E-3,E-2
53.625,38.3036,18,3.625,r,G#5,D5,D5,G#4,r,r,F4,B-3,r,r,r,G#4,D4,B-3,E-3,E-2
53.75,38.3929,18,3.75,r,F5,D5,D5,G#4,r,r,F4,B-3,r,r,r,F4,B-3,G#3,E-3,E-2
53.875,38.4821,18,3.875,r,F5,D5,D5,G#4,r,r,F4,B-3,r,r,r,F4,D4,B-3,E-3,E-2
54.0,38.5714,19,1.0,r,E-5,E-5,E-5,G4,r,r,E-4,G3,E-4,E-4,E-3,E-4,E-4,G3,E-3,E-2
54.125,38.6607,19,1.125,r,E-5,E-5,E-5,G4,r,r,E-4,G3,E-4,E-4,E-3,E-4,B-3,B-3,B-2,E-2
54.25,38.75,19,1.25,r,E-5,E-5,E-5,G4,r,r,E-4,G3,E-4,E-4,E-3,r,G3,G3,G2,E-2
54.375,38.8393,19,1.375,r,E-5,E-5,E-5,G4,r,r,E-4,G3,E-4,E-4,E-3,r,B-3,B-3,B-2,E-2
54.5,38.9286,19,1.5,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
54.625,39.0179,19,1.625,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,G4,G4,G3,r
54.75,39.1071,19,1.75,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
54.875,39.1964,19,1.875,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,B-3,B-3,B-2,r
55.0,39.2857,19,2.0,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,r,r,r,E-2
55.125,39.375,19,2.125,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,B-3,B-3,B-2,E-2
55.25,39.4643,19,2.25,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,G3,G3,G2,E-2
55.375,39.5536,19,2.375,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,B-3,B-3,B-2,E-2
55.5,39.6429,19,2.5,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
55.625,39.7321,19,2.625,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,G4,G4,G3,r
55.75,39.8214,19,2.75,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
55.875,39.9107,19,2.875,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,B-3,B-3,B-2,r
56.0,40.0,19,3.0,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,r,r,r,E-2
56.125,40.0893,19,3.125,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,B-4,B-3,B-3,B-2,E-2
56.25,40.1786,19,3.25,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,G4,G3,G3,G2,E-2
56.375,40.2679,19,3.375,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,B-4,B-3,B-3,B-2,E-2
56.5,40.3571,19,3.5,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,E-5,E-4,E-4,E-3,r
56.625,40.4464,19,3.625,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,G5,G4,G4,G3,r
56.75,40.5357,19,3.75,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,E-5,E-4,E-4,E-3,r
56.875,40.625,19,3.875,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,B-4,B-3,B-3,B-2,r
57.0,40.7143,20,1.0,F6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F5,r,r,G2,G1
57.125,40.8036,20,1.125,F6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F5,D4,B3,G2,G1
57.25,40.8929,20,1.25,F6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F5,B3,G3,G2,G1
57.375,40.9821,20,1.375,F6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F5,D4,B3,G2,G1
57.5,41.0714,20,1.5,F6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F5,r,r,G2,G1
57.625,41.1607,20,1.625,F6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F5,D4,B3,G2,G1
57.75,41.25,20,1.75,D6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,D5,B3,G3,G2,G1
57.875,41.3393,20,1.875,D6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,D5,D4,B3,G2,G1
58.0,41.4286,20,2.0,B5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,B4,r,r,G2,G1
58.125,41.5179,20,2.125,B5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,B4,D4,B3,G2,G1
58.25,41.6071,20,2.25,C6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,C5,B3,G3,G2,G1
58.375,41.6964,20,2.375,C6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,C5,D4,B3,G2,G1
58.5,41.7857,20,2.5,D6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,D5,r,r,G2,G1
58.625,41.875,20,2.625,D6,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,D5,D4,B3,G2,G1
58.75,41.9643,20,2.75,B5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,B4,B3,G3,G2,G1
58.875,42.0536,20,2.875,B5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,B4,D4,B3,G2,G1
59.0,42.1429,20,3.0,G5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,G4,r,r,G2,G1
59.125,42.2321,20,3.125,G5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,G4,D4,B3,G2,G1
59.25,42.3214,20,3.25,G#5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,G#4,B3,G3,G2,G1
59.375,42.4107,20,3.375,G#5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,G#4,D4,B3,G2,G1
59.5,42.5,20,3.5,F5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F4,r,r,G2,G1
59.625,42.5893,20,3.625,F5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,F4,D4,B3,G2,G1
59.75,42.6786,20,3.75,D5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,D4,B3,G3,G2,G1
59.875,42.7679,20,3.875,D5,F5,D5,B4,F4,D4,B3,G4,G3,r,r,r,D4,D4,B3,G2,G1
60.0,42.8571,21,1.0,C5,E-5,C5,C5,E-4,E-4,C4,G4,G3,E-4,E-4,E-3,C4,r,r,r,C2
60.125,42.9464,21,1.125,C5,E-5,C5,C5,E-4,E-4,C4,G4,G3,E-4,E-4,E-3,C4,C4,C4,C3,C2
60.25,43.0357,21,1.25,C5,E-5,C5,C5,E-4,E-4,C4,G4,G3,E-4,E-4,E-3,C4,G3,G3,G2,C2
60.375,43.125,21,1.375,C5,E-5,C5,C5,E-4,E-4,C4,G4,G3,E-4,E-4,E-3,C4,C4,C4,C3,C2
60.5,43.2143,21,1.5,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,E-4,E-4,E-3,r
60.625,43.3036,21,1.625,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,G4,G4,G3,r
60.75,43.3929,21,1.75,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,E-4,E-4,E-3,r
60.875,43.4821,21,1.875,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,C4,C4,C3,r
61.0,43.5714,21,2.0,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,r,r,r,C2
61.125,43.6607,21,2.125,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,C4,C4,C3,C2
61.25,43.75,21,2.25,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,G3,G3,G2,C2
61.375,43.8393,21,2.375,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,C4,C4,C3,C2
61.5,43.9286,21,2.5,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,E-4,E-4,E-3,r
61.625,44.0179,21,2.625,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,G4,G4,G3,r
61.75,44.1071,21,2.75,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,E-4,E-4,E-3,r
61.875,44.1964,21,2.875,r,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,r,C4,C4,C3,r
62.0,44.2857,21,3.0,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,r,r,r,C2
62.125,44.375,21,3.125,C6,r,r,r,r,r,r,r,r,E-4,E-4,E-3,C5,C4,C4,C3,C2
62.25,44.4643,21,3.25,G5,r,r,r,r,r,r,r,r,E-4,E-4,E-3,G4,G3,G3,G2,C2
62.375,44.5536,21,3.375,C6,r,r,r,r,r,r,r,r,E-4,E-4,E-3,C5,C4,C4,C3,C2
62.5,44.6429,21,3.5,E-6,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,E-5,E-4,E-4,E-3,r
62.625,44.7321,21,3.625,E-6,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,E-5,G4,G4,G3,r
62.75,44.8214,21,3.75,E-6,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,E-5,E-4,E-4,E-3,r
62.875,44.9107,21,3.875,E-6,E-5,C5,G4,E-4,E-4,C4,G4,G3,r,r,r,E-5,C4,C4,C3,r
63.0,45.0,22,1.0,E-6,E-5,r,r,r,F3,r,r,r,r,r,r,E-5,r,F3,F2,F1
63.125,45.0893,22,1.125,E-6,E-5,r,r,r,F3,r,r,r,r,r,r,C5,r,F3,F2,F1
63.25,45.1786,22,1.25,E-6,E-5,r,r,r,F3,r,r,r,r,r,r,B4,r,F3,F2,F1
63.375,45.2679,22,1.375,E-6,E-5,r,r,r,F3,r,r,r,r,r,r,C5,r,F3,F2,F1
63.5,45.3571,22,1.5,E-6,E-5,r,r,r,F3,r,r,r,r,r,r,E-5,r,F3,F2,F1
63.625,45.4464,22,1.625,E-6,E-5,r,r,r,F3,r,r,r,r,r,r,C5,r,F3,F2,F1
63.75,45.5357,22,1.75,D6,D5,r,r,r,G3,r,r,r,r,r,r,D5,r,G3,F2,F1
63.875,45.625,22,1.875,D6,D5,r,r,r,G3,r,r,r,r,r,r,B-4,r,G3,F2,F1
64.0,45.7143,22,2.0,C6,C5,r,r,r,A3,r,r,r,r,r,r,C5,r,A3,F2,F1
64.125,45.8036,22,2.125,C6,C5,r,r,r,A3,r,r,r,r,r,r,A4,r,A3,F2,F1
64.25,45.8929,22,2.25,B-5,B-4,r,r,r,B-3,r,r,r,r,r,r,B-4,r,B-3,F2,F1
64.375,45.9821,22,2.375,B-5,B-4,r,r,r,B-3,r,r,r,r,r,r,G4,r,B-3,F2,F1
64.5,46.0714,22,2.5,A5,A4,r,r,r,C4,r,r,r,r,r,r,A4,r,C4,F2,F1
64.625,46.1607,22,2.625,A5,A4,r,r,r,C4,r,r,r,r,r,r,F4,r,C4,F2,F1
64.75,46.25,22,2.75,G5,G4,r,r,r,C#4,r,r,r,r,r,r,G4,B-3,C#4,F2,F1
64.875,46.3393,22,2.875,G5,G4,r,r,r,C#4,r,r,r,r,r,r,E4,B-3,C#4,F2,F1
65.0,46.4286,22,3.0,F5,F4,r,r,r,C4,r,r,r,r,r,r,F4,A3,C4,F2,F1
65.125,46.5179,22,3.125,F5,F4,r,r,r,C4,r,r,r,r,r,r,A4,A3,C4,F2,F1
65.25,46.6071,22,3.25,F5,F4,r,r,r,C4,r,r,r,r,r,r,B-4,A3,C4,F2,F1
65.375,46.6964,22,3.375,F5,F4,r,r,r,C4,r,r,r,r,r,r,C5,A3,C4,F2,F1
65.5,46.7857,22,3.5,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,F2,F1
65.625,46.875,22,3.625,r,r,r,r,r,r,r,r,r,r,r,r,E-5,r,r,F2,F1
65.75,46.9643,22,3.75,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,F2,F1
65.875,47.0536,22,3.875,r,r,r,r,r,r,r,r,r,r,r,r,F#5,r,r,F2,F1
66.0,47.1429,23,1.0,G6,G5,E-5,r,r,A3,F3,r,r,r,r,r,G5,r,A3,F3,F1
66.125,47.2321,23,1.125,G6,G5,E-5,r,r,A3,F3,r,r,r,r,r,E-5,r,A3,F3,F1
66.25,47.3214,23,1.25,G6,G5,E-5,r,r,A3,F3,r,r,r,r,r,D5,r,A3,F3,F1
66.375,47.4107,23,1.375,G6,G5,E-5,r,r,A3,F3,r,r,r,r,r,E-5,r,A3,F3,F1
66.5,47.5,23,1.5,G6,G5,E-5,r,r,A3,F3,r,r,r,r,r,G5,r,A3,F3,F1
66.625,47.5893,23,1.625,G6,G5,E-5,r,r,A3,F3,r,r,r,r,r,E-5,r,A3,F3,F1
66.75,47.6786,23,1.75,F6,F5,D5,r,r,B-3,G3,r,r,r,r,r,F5,r,B-3,G3,F1
66.875,47.7679,23,1.875,F6,F5,D5,r,r,B-3,G3,r,r,r,r,r,D5,r,B-3,G3,F1
67.0,47.8571,23,2.0,E-6,E-5,C5,r,r,C4,A3,r,r,r,r,r,E-5,r,C4,A3,F1
67.125,47.9464,23,2.125,E-6,E-5,C5,r,r,C4,A3,r,r,r,r,r,C5,r,C4,A3,F1
67.25,48.0357,23,2.25,D6,D5,B-4,r,r,D4,B-3,r,r,r,r,r,D5,r,D4,B-3,F1
67.375,48.125,23,2.375,D6,D5,B-4,r,r,D4,B-3,r,r,r,r,r,B-4,r,D4,B-3,F1
67.5,48.2143,23,2.5,C6,C5,A4,r,r,E-4,C4,r,r,r,r,r,C5,C4,E-4,C4,F1
67.625,48.3036,23,2.625,C6,C5,A4,r,r,E-4,C4,r,r,r,r,r,A4,C4,E-4,C4,F1
67.75,48.3929,23,2.75,B-5,B-4,G4,r,r,E4,C#4,r,r,r,r,r,B-4,C#4,E4,C#4,F1
67.875,48.4821,23,2.875,B-5,B-4,G4,r,r,E4,C#4,r,r,r,r,r,G4,C#4,E4,C#4,F1
68.0,48.5714,23,3.0,A5,A4,F4,r,r,F4,C4,r,r,r,r,r,A4,C4,F4,C4,F1
68.125,48.6607,23,3.125,A5,A4,F4,r,r,F4,C4,r,r,r,r,r,F5,F4,F4,C4,F1
68.25,48.75,23,3.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,F4,C4,F1
68.375,48.8393,23,3.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,F4,C4,F1
68.5,48.9286,23,3.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,r,r,F1
68.625,49.0179,23,3.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,r,r,F1
68.75,49.1071,23,3.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,r,r,F1
68.875,49.1964,23,3.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,r,r,F1
69.0,49.2857,24,1.0,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-5,E-4,E-4,E-3
69.125,49.375,24,1.125,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,C4,C4,C3
69.25,49.4643,24,1.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B4,B3,B3,B2
69.375,49.5536,24,1.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,C4,C4,C3
69.5,49.6429,24,1.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-5,E-4,E-4,E-3
69.625,49.7321,24,1.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,C4,C4,C3
69.75,49.8214,24,1.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,D5,D4,D4,D3
69.875,49.9107,24,1.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B-4,B-3,B-3,B-2
70.0,50.0,24,2.0,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,C4,C4,C3
70.125,50.0893,24,2.125,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,A4,A3,A3,A2
70.25,50.1786,24,2.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B-4,B-3,B-3,B-2
70.375,50.2679,24,2.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,G4,G3,G3,G2
70.5,50.3571,24,2.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,A4,A3,A3,A2
70.625,50.4464,24,2.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,F3,F3,F2
70.75,50.5357,24,2.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B-4,B-3,B-3,B-2
70.875,50.625,24,2.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,G4,G3,G3,G2
71.0,50.7143,24,3.0,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,C4,C4,C3
71.125,50.8036,24,3.125,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,A4,A3,A3,A2
71.25,50.8929,24,3.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,D5,D4,D4,D3
71.375,50.9821,24,3.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B-4,B-3,B-3,B-2
71.5,51.0714,24,3.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-5,E-4,E-4,E-3
71.625,51.1607,24,3.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,C4,C4,C3
71.75,51.25,24,3.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F5,F4,F4,F3
71.875,51.3393,24,3.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,D5,D4,D4,D3
72.0,51.4286,25,1.0,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,G5,F4,G4,G3
72.125,51.5179,25,1.125,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-5,F4,E-4,E-3
72.25,51.6071,25,1.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,F4,C4,C3
72.375,51.6964,25,1.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,D5,F4,D4,D3
72.5,51.7857,25,1.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-5,F4,E-4,E-3
72.625,51.875,25,1.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,F4,C4,C3
72.75,51.9643,25,1.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,A4,F4,A3,A2
72.875,52.0536,25,1.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B-4,F4,B-3,B-2
73.0,52.1429,25,2.0,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C5,F4,C4,C3
73.125,52.2321,25,2.125,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,A4,F4,A3,A2
73.25,52.3214,25,2.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-4,F4,E-3,E-2
73.375,52.4107,25,2.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,F4,F3,F2
73.5,52.5,25,2.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,G4,F4,G3,G2
73.625,52.5893,25,2.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-4,F4,E-3,E-2
73.75,52.6786,25,2.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C4,F4,C3,C2
73.875,52.7679,25,2.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,D4,F4,D3,D2
74.0,52.8571,25,3.0,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,E-4,F4,E-3,E-2
74.125,52.9464,25,3.125,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,D4,F4,D3,D2
74.25,53.0357,25,3.25,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,C4,F4,C3,C2
74.375,53.125,25,3.375,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,B-3,F4,B-2,B-1
74.5,53.2143,25,3.5,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,A3,F4,A2,A1
74.625,53.3036,25,3.625,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,F5,F4,F4,F3,F2
74.75,53.3929,25,3.75,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,G5,E-4,G4,E-3,E-2
74.875,53.4821,25,3.875,F6,F5,F4,r,r,F4,F3,r,r,r,r,r,A5,C4,A4,C3,C2
75.0,53.5714,26,1.0,B-5,B-4,B-4,B-4,r,B-3,B-2,r,r,r,r,r,B-5,B-3,B-4,B-2,B-1
75.1667,53.6905,26,1.1667,B-5,B-4,B-4,B-4,r,B-3,B-2,r,r,r,r,r,B-5,B-3,B-4,B-2,B-1
75.3333,53.8095,26,1.3333,B-5,B-4,B-4,B-4,r,B-3,B-2,r,r,r,r,r,B-5,B-3,B-4,B-2,B-1
75.5,53.9286,26,1.5,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,F3,B-1
75.6667,54.0476,26,1.6667,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,B-3,B-1
75.8333,54.1666,26,1.8333,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,B-3,B-1
76.0,54.2857,26,2.0,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,A3,B-1
76.1667,54.4048,26,2.1667,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,E-3,A3,B-1
76.3333,54.5238,26,2.3333,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,E-3,A3,B-1
76.5,54.6429,26,2.5,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,A3,A3,B-1
76.6667,54.7619,26,2.6667,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,C4,A3,B-1
76.8333,54.8809,26,2.8333,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,C4,A3,B-1
77.0,55.0,26,3.0,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,F#4,A3,B-1
77.1667,55.1191,26,3.1667,r,r,r,C5,r,r,r,r,r,r,r,r,r,A3,F#4,A3,B-1
77.3333,55.2381,26,3.3333,r,r,r,C5,r,r,r,r,r,r,r,r,r,A3,F#4,A3,B-1
77.5,55.3571,26,3.5,r,r,r,C5,r,r,r,r,r,r,r,r,r,E-4,F#4,A3,B-1
77.6667,55.4762,26,3.6667,r,r,r,C5,r,r,r,r,r,r,r,r,r,F#4,F#4,A3,B-1
77.8333,55.5952,26,3.8333,r,r,r,C5,r,r,r,r,r,r,r,r,r,F#4,F#4,A3,B-1
78.0,55.7143,27,1.0,r,r,r,C5,r,r,r,r,r,r,r,r,r,C5,F#4,A3,B-1
78.1667,55.8334,27,1.1667,r,r,r,C5,r,r,r,r,r,r,r,r,C4,C5,F#4,A3,B-1
78.3333,55.9524,27,1.3333,r,r,r,C5,r,r,r,r,r,r,r,r,C4,C5,F#4,A3,B-1
