score_qstamp,qstamp,measure,beat,729164_tstamp,736762_tstamp,736769_tstamp,736751_tstamp,736758_tstamp
0.0,0.0,1,1.0,3.42,0.8,3.24,1.0,3.26
0.375,0.375,1,1.375,3.7012,0.9212,4.2612,1.0212,3.7412
0.5,0.5,1,1.5,3.795,1.015,4.585,1.115,3.925
0.875,0.875,1,1.875,9.1126,1.5962,5.5172,1.3432,4.2362
1.0,1.0,1,2.0,9.37,1.69,5.66,1.37,4.43
1.375,1.375,1,2.375,12.464,2.0112,6.5136,1.5828,5.6512
1.5,1.5,1,2.5,13.525,2.105,6.73,1.625,5.96
1.875,1.875,1,2.875,20.6434,2.3862,7.5448,1.9062,6.6524
2.0,2.0,1,3.0,21.16,2.48,7.74,1.98,6.76
2.375,2.375,1,3.375,21.9412,2.7612,8.6812,2.1902,7.5812
2.5,2.5,1,3.5,22.27,2.855,8.975,2.215,7.675
2.875,2.875,1,3.875,26.8162,3.3162,10.3162,2.4962,8.2762
3.0,3.0,2,1.0,26.91,3.51,10.81,2.55,8.69
3.375,3.375,2,1.375,27.1912,4.0512,11.6112,2.8312,9.3312
3.5,3.5,2,1.5,27.285,4.145,11.85,2.925,9.445
3.75,3.75,2,1.75,27.4725,4.345,12.3325,3.1125,9.8025
4.0,4.0,2,2.0,27.66,4.74,12.52,3.3,10.52
4.375,4.375,2,2.375,27.9412,5.6612,13.1012,3.7412,11.1732
4.5,4.5,2,2.5,28.035,5.755,13.29,3.835,11.455
4.75,4.75,2,2.75,28.2225,5.9425,14.1225,4.1225,11.8225
5.0,5.0,2,3.0,28.41,6.35,14.51,5.03,12.17
5.375,5.375,2,3.375,28.6912,6.7312,15.2912,6.232,13.1912
5.5,5.5,2,3.5,28.785,6.825,15.385,6.425,13.32
5.75,5.75,2,3.75,28.9725,7.2325,16.105,6.6125,13.6325
6.0,6.0,3,1.0,29.16,8.38,16.56,6.9,13.82
6.375,6.375,3,1.375,29.4412,8.9412,17.1212,7.6812,15.3412
6.5,6.5,3,1.5,29.535,9.215,17.435,7.885,15.435
6.75,6.75,3,1.75,29.7225,10.2425,18.2625,8.5825,15.6425
7.0,7.0,3,2.0,30.56,10.62,18.77,9.07,15.83
7.375,7.375,3,2.375,31.4912,11.2312,19.2512,9.8912,16.1224
7.5,7.5,3,2.5,31.585,11.35,19.515,10.025,16.24
7.75,7.75,3,2.75,31.7725,11.6125,19.8325,10.2125,16.6725
8.0,8.0,3,3.0,31.96,12.46,20.62,10.98,17.14
8.375,8.375,3,3.375,32.2412,13.2436,21.4224,11.9212,17.5612
8.5,8.5,3,3.5,32.47,13.405,21.595,12.045,17.845
8.75,8.75,3,3.75,32.6825,14.3225,22.5025,13.0825,18.6825
8.875,8.875,3,3.875,33.084,14.4162,22.5962,13.1762,18.7762
9.0,9.0,4,1.0,37.69,14.64,22.8,13.27,18.98
9.375,9.375,4,1.375,42.7312,15.1912,23.4112,13.6912,19.5112
9.5,9.5,4,1.5,42.825,16.305,24.485,14.82,19.605
9.75,9.75,4,1.75,43.1325,16.5925,24.7725,15.0525,19.9925
10.0,10.0,4,2.0,43.32,16.78,24.96,15.24,20.44
10.375,10.375,4,2.375,65.9012,17.4544,25.578,16.5412,21.5012
10.5,10.5,4,2.5,66.175,17.81,25.98,16.635,21.595
10.75,10.75,4,2.75,67.2625,18.0625,26.2025,16.8225,21.7875
11.0,11.0,4,3.0,67.45,18.72,26.75,17.18,22.12
11.375,11.375,4,3.375,170.3512,19.5208,27.9736,18.0792,22.7944
11.5,11.5,4,3.5,177.135,19.915,28.09,18.38,22.995
11.75,11.75,4,3.75,190.6825,20.345,28.5325,19.0725,23.4925
