qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,12.0,Main Part,P8(Bb Clarinet 2)&P8(F Trumpet 1),P8(F Horn 3),,P4(Main),P8(Flute 2)&P8(F Trumpet 1),,P4(C Horn 2),P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&U(Contrabass),,P4(Bassoon 2),P8(Oboe 1),,P8(Flute 2)&P8(Bb Clarinet 2),,P4(Contrabassoon)&P6(Trombone 2)&P4(Trombone 3)&P4(Timpani)&P4(Violin 1)&P4(Violin 2)&P6(Viola)&P8(Violoncello)&P4(Contrabass),P3(Contrabassoon)&P6(Trombone 1)&P3(Trombone 3)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&U(Viola)&P6(Violoncello)&P3(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&U(Timpani)&P8(Violin 1)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&U(Trombone 3)&P8(Violin 1)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Violin 1)&P3(Viola)&P4(Violoncello)&P8(Contrabass),P3(Contrabassoon)&P6(Trombone 1)&U(Trombone 2)&P3(Trombone 3)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&P6(Violoncello)&P3(Contrabass),P4(Contrabassoon)&P8(Trombone 1)&P6(Trombone 2)&P4(Trombone 3)&P4(Timpani)&P4(Violin 1)&P4(Violin 2)&P6(Viola)&P4(Contrabass),U(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P3(Viola)&P4(Violoncello)
12.0,36.0,Main Part,P3(Main)&U(Oboe 1)&P6(Oboe 2)&P8(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P6(F Trumpet 2),P3(Main)&U(Flute 2)&P6(Oboe 2)&P8(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P6(F Trumpet 2),P4(Main)&P6(Flute 2)&P6(Oboe 1)&P6(F Horn 3)&P4(F Horn 4)&P6(F Trumpet 1)&U(F Trumpet 2),P8(Bassoon 1)&P8(C Horn 2),,P8(Bb Clarinet 1)&P8(C Horn 2),P8(C Horn 1),U(Contrabass),P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bassoon 1),P3(Main)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P3(F Horn 4)&P8(F Trumpet 1)&P6(F Trumpet 2),P8(Main)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(F Horn 3)&P3(F Trumpet 1)&P4(F Trumpet 2),P3(Main)&U(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P8(F Horn 3)&P3(F Horn 4)&P6(F Trumpet 2),P4(Main)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(F Horn 3)&P4(F Horn 4)&P6(F Trumpet 1),,,,,,,,,U(Contrabassoon)
36.0,60.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),,,,,U(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,,,,,,Main Part,P8(Main),,,U(Contrabassoon)
60.0,87.0,,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,Main Part,,,,
87.0,135.0,,,,,,,,,P8(Trombone 3),,,,,,,,,P8(Contrabassoon),,Main Part,,,,
135.0,180.0,,,,,,,,,,U(C Horn 2),U(C Horn 1),,,,,,,,,Main Part,,,,
180.0,211.0,,,,,,,,,,U(C Horn 2)&P4(F Horn 3)&P4(F Horn 4),U(C Horn 1)&P4(F Horn 3)&P4(F Horn 4),P4(C Horn 1)&P4(C Horn 2)&U(F Horn 4),P4(C Horn 1)&P4(C Horn 2)&U(F Horn 3),,,,,,,Main Part,,,,
211.0,247.0,U(Flute 2),U(Flute 1),P8(F Horn 3)&P4(F Horn 4)&P8(Violin 2),,,,U(Bassoon 2),U(Bassoon 1),,,,P8(Oboe 1)&P4(F Horn 4)&U(Violin 2),P4(Oboe 1)&P4(F Horn 3)&P4(Violin 2),,,,,,,Main Part,P8(Oboe 1)&U(F Horn 3)&P4(F Horn 4),,,
247.0,264.0,U(Flute 2),U(Flute 1),P8(Viola),,,,U(Bassoon 2),U(Bassoon 1),,,,P4(F Horn 4)&U(Violin 2),P4(F Horn 3)&P4(Violin 2),,,,,,,Main Part,U(F Horn 3)&P4(F Horn 4),P8(Oboe 1),,
264.0,283.0,,,,,,,,,,,,P4(F Horn 4),P4(F Horn 3),,,,,,,Main Part,,,,
