qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,F5,F5,F5,A4,C5,F4,F3,F3,r,C4,C4,F4,A3,F4,F3,r,r,r,r,r,r,r,r,r
6.0,2.5,2,1.0,G#5,F5,G#5,B4,D5,F4,D3,F2,r,D4,B3,G#4,F3,F5,F4,r,r,r,r,r,r,r,r,r
12.0,5.0,3,1.0,F6,A5,A5,C5,C5,A4,C3,F2,F1,F4,C4,A4,F4,A5,C5,C4,A3,F2,F2,F6,F5,A3,C3,F1
12.5,5.2083,3,1.1667,F6,A5,A5,C5,C5,A4,C3,F2,F1,F4,C4,A4,F4,A5,C5,C4,A3,F2,F2,F6,F5,A3,C3,F1
13.0,5.4167,3,1.3333,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,C4,A3,F2,F2,F6,F5,A3,C3,F1
13.5,5.625,3,1.5,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,C4,A3,F2,F2,F6,F5,A3,C3,F1
14.0,5.8333,3,1.6667,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,C4,A3,F2,F2,C6,C5,A3,C3,F1
14.5,6.0417,3,1.8333,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,C4,A3,F2,F2,C6,C5,A3,C3,F1
15.0,6.25,3,2.0,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,C4,A3,F2,F2,r,r,A3,C3,F1
15.5,6.4583,3,2.1667,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,C4,A3,F2,F2,r,r,A3,C3,F1
16.0,6.6667,3,2.3333,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,r,r,F2,r,A5,A4,A3,C3,F1
16.5,6.875,3,2.5,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,r,r,F2,r,A5,A4,A3,C3,F1
17.0,7.0833,3,2.6667,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,r,r,F2,r,A5,A4,A3,C3,F1
17.5,7.2917,3,2.8333,r,r,r,r,r,r,r,r,F1,r,r,r,r,r,r,r,r,F2,r,G5,G4,A3,C3,F1
