qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,D4,D4,D3
1.0,0.3947,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,D4,D4,D3
1.25,0.4934,1,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,C5,C4,D4,D3
1.5,0.5921,1,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-4,B-3,r,r
1.75,0.6908,1,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,A3,r,r
2.0,0.7895,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-4,B-3,r,r
2.25,0.8882,2,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,A3,r,r
2.5,0.9868,2,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,G3,r,r
2.75,1.0855,2,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,F#3,r,r
3.0,1.1842,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,G3,G3,G2
3.25,1.2829,2,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,F4,F3,F2
3.5,1.3816,2,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,E-4,E-3,E-2
3.75,1.4803,2,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
4.0,1.5789,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,E-4,E-3,E-2
4.25,1.6776,3,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,D3,D2
4.5,1.7763,3,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C3,C2
4.75,1.875,3,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-3,B-2,B-1
5.0,1.9737,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C3,C2
5.25,2.0724,3,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-3,B-2,B-1
5.5,2.1711,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A2,A1
5.75,2.2697,3,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3,G2,G1
6.0,2.3684,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#3,G#2,G#1
6.25,2.4671,4,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B-4,G#3,G#2,G#1
6.5,2.5658,4,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,C5,G#4,G#3,G#2
6.75,2.6645,4,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B-4,G4,G3,G2
7.0,2.7632,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,F4,F3,F2
7.25,2.8618,4,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B-4,G4,G3,G2
7.5,2.9605,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,F4,F3,F2
7.75,3.0592,4,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G4,E-4,E-3,E-2
8.0,3.1579,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,D4,D3,D2
8.25,3.2566,5,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G4,E-4,E-3,E-2
8.5,3.3553,5,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,F4,F3,F2
8.75,3.4539,5,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B-4,G4,G3,G2
9.0,3.5526,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,F3,F2
9.25,3.6513,5,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,E-3,E-2
9.5,3.75,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,D3,D2
9.75,3.8487,5,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,E-4,C4,C3,C2
10.0,3.9474,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,B-3,B-2,B-1
10.75,4.2434,6,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,D4,B-2,B-1
11.0,4.3421,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,D4,B-2,B-1
11.75,4.6382,6,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,F4,B-2,B-1
12.0,4.7368,7,1.0,D6,B-5,G#5,F5,G#4,F4,D4,B-2,F4,B-2,B-3,B-4,B-3,B-2,G#5,D5,F4,B-2,B-1
14.0,5.5263,8,1.0,F6,D6,G#5,F5,G#4,F4,D4,B-2,F4,B-2,B-3,B-4,B-3,B-2,G#5,F5,D4,D3,D2
15.0,5.9211,8,2.0,F6,D6,G#5,F5,G#4,F4,D4,B-2,F4,B-2,B-3,B-4,B-3,B-2,G#5,F5,F4,F3,F2
16.0,6.3158,9,1.0,F6,D6,G#5,F5,G#4,F4,D4,B-2,F4,B-2,B-3,B-4,B-3,B-2,G#5,F5,B-4,B-3,B-2
17.0,6.7105,9,2.0,F6,D6,G#5,F5,G#4,F4,D4,B-2,F4,B-2,B-3,r,r,r,r,r,r,r,r
18.0,7.1053,10,1.0,r,r,r,r,r,r,r,r,r,r,r,B-4,B-3,B-2,F5,D5,B-4,B-2,B-1
19.0,7.5,10,2.0,F6,D6,G#5,F5,G#4,F4,F4,D4,G#4,B-2,F4,r,r,r,r,r,r,r,r
20.0,7.8947,11,1.0,D6,G#5,G#5,D5,D5,G#4,F4,D4,G#4,B-2,F4,B-4,B-3,B-2,D4,G#3,B-3,B-2,B-1
