qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
80.5,89.0,U(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),,,,,,,Main Part,,P8(Main)&U(Violoncello)&P8(Contrabass),P8(Main)&U(Viola)&P8(Contrabass),P8(Main)&P8(Viola)&P8(Violoncello)
89.0,93.5,,,,,,,,,,,,,,,,Main Part,,,
93.5,97.0,,,,,,,,,,,,,,,Main Part,,,,
97.0,99.5,,,,,,,,,,,,,,,Main Part,,,,
99.5,109.5,,,,,,,,,,,,,,,,Main Part,,,
109.5,113.0,,,,,,,,,,,,,,,,Main Part,,,
113.0,115.5,,,,,,,,,,,,,,,Main Part,,,,
115.5,120.5,,,,,,,,,,,,,,,Main Part,,,,
120.5,123.0,,,,,,,,,,,,,,,,,,Main Part,
123.0,124.5,,,,,,,,,,,,,,,,,,Main Part,
124.5,128.5,,,,,,,,,,,,,,,,Main Part,,,
128.5,131.5,,,,,,,,,,,,,,,,Main Part,,,
131.5,136.5,,,,,,,,,,,,,,,Main Part,,,,
136.5,139.0,,,,,,,,,,,,,,,Main Part,,,,
139.0,140.5,,,,,,,,,,,,,,,,,,Main Part,
140.5,144.5,,,,,,,,,,,,,,,,,,Main Part,
144.5,147.5,,,,,,,,,,,,,,,Main Part,,,,
147.5,153.0,,,,,,,,,,,,,,,Main Part,,,,
153.0,161.0,,,,,,,,,,,,,,,Main Part,,,,
161.0,169.0,,,,,,,,,,,,,,,Main Part,,,,
169.0,177.0,,,,,,,,,,,,,,,Main Part,,,,
177.0,184.5,,,,,,,,,,,,,,,Main Part,,,,
184.5,185.3333,,,,,,,,,,,,,,,,P5(Viola),P5(Violin 2),Main Part,
185.3333,187.0,,,,,,,,,,,,,,,,,,Main Part,
187.0,188.5,,,,,,,,,,,,,,,,Main Part,,,
188.5,189.3333,,,,,,,,,,,,,,,,Main Part,P5(Main),,
189.3333,191.0,,,,,,,,,,,,,,,Main Part,,,,
191.0,200.5,,,,,,,,,,,,,,,Main Part,,,,
200.5,201.3333,,,,,,,,,,,,,,,,P5(Viola),P5(Violin 2),Main Part,
201.3333,203.0,,,,,,,,,,,,,,,,,,Main Part,
203.0,204.5,,,,,,,,,,,,,,,,Main Part,,,
204.5,205.3333,,,,,,,,,,,,,,,,Main Part,P5(Main),,
205.3333,207.0,,,,,,,,,,,,,,,Main Part,,,,
207.0,216.5,,,P3(Bb Clarinet 1)&P5(Bassoon 1),,P3(Oboe 1)&P3(Bassoon 1),,P5(Oboe 1)&P3(Bb Clarinet 1),,,,,,,,Main Part,,,,
216.5,233.0,,,Main Part,,,,,,,,,U(Eb Trumpet 2)&P8(Timpani),U(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
233.0,248.5,,,,,,,,,,,,P8(Eb Trumpet 2),P8(Eb Trumpet 1),,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
248.5,256.5,,,Main Part,,P8(Viola),,P8(Bassoon 2)&P4(Eb Horn 1)&U(Eb Horn 2)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P4(Eb Horn 1)&P8(Eb Horn 2)&P3(Violin 2)&U(Violoncello)&P8(Contrabass),P4(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 2)&P2(Violin 2)&P4(Violoncello)&P4(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),,,,,,P3(Bassoon 1)&P3(Bassoon 2)&P2(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1),P8(Bassoon 1)&U(Bassoon 2)&P4(Eb Horn 1)&P8(Eb Horn 2)&P3(Violin 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P8(Eb Horn 2)&P3(Violin 2)&P8(Violoncello)
256.5,263.25,,,Main Part,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,P8(Contrabass),P8(Violoncello)
263.25,264.5,,,U(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P3(Eb Horn 2),U(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P3(Eb Horn 2),P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&P8(Eb Horn 2),P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P3(Eb Horn 2),P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Eb Horn 1)&P3(Eb Horn 2),P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Eb Horn 1)&P3(Eb Horn 2),P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 2),P3(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1),,,,,P8(Violin 2),P8(Violin 1),Main Part,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
264.5,265.5,U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),U(Bassoon 2),U(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 3),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),Main Part,P8(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
265.5,272.5,Main Part,U(Bb Clarinet 1),U(Main)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3),,U(Flute 2),,,U(Violoncello)&P8(Contrabass),P8(Main)&P8(Oboe 1)&P8(Eb Horn 2)&P8(Eb Horn 3),P8(Main)&P8(Oboe 1)&P8(Eb Horn 1)&P8(Eb Horn 3),P8(Main)&P8(Oboe 1)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
272.5,285.0,,,,,,,,,,,,P8(Eb Trumpet 2),P8(Eb Trumpet 1),,Main Part,,,,
285.0,299.0,Main Part,,,,,,,,P8(Eb Horn 2)&U(Eb Horn 3)&U(Eb Trumpet 1)&U(Eb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Trumpet 1)&U(Eb Trumpet 2),U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Horn 3)&U(Eb Trumpet 2),U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Horn 3)&U(Eb Trumpet 1),,,,,,
299.0,303.5,,,,,,,,,,,,,,,Main Part,,,,
303.5,307.5,,,,,Main Part,,,,,,,,,,,,,,
307.5,310.5,,,,,,,Main Part,,,,,,,,,,,,
310.5,331.0,,,,,,,,,,,,,,,Main Part,,,,
331.0,341.0,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
341.0,345.0,,,,,Main Part,,P8(Main),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
345.0,351.0,,,U(Oboe 2),U(Oboe 1),P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
351.0,355.0,U(Flute 2)&P8(Bb Clarinet 2),U(Flute 1)&P8(Bb Clarinet 2),Main Part,U(Main),,P8(Flute 1)&P8(Flute 2),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
355.0,361.0,Main Part,U(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),,,,,,,,,,P8(Contrabass),P8(Violoncello)
361.0,374.0,U(Flute 2),U(Flute 1),U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
374.0,377.0,,,Main Part,U(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Main)&P8(Oboe 2)&U(Bb Clarinet 2),P8(Main)&P8(Oboe 2)&U(Bb Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,,,,,,,,P8(Contrabass),P8(Violoncello)
377.0,381.0,,,,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
381.0,393.0,P8(Bb Clarinet 1),P8(Bb Clarinet 2),U(Oboe 2),U(Oboe 1),P8(Flute 1),P8(Flute 2),,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
393.0,415.0,,,,,,,,,,,,,,,Main Part,,,,
415.0,431.0,,,P3(Oboe 2),P3(Oboe 1),P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
431.0,446.5,Main Part,,,,,,,,,,,,,,,,,,
446.5,461.3333,Main Part,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
461.3333,463.0,,,,,,,,,,,,,,,Main Part,U(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
463.0,471.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1),P2(Bassoon 1)&P2(Bassoon 2),,P2(Bb Clarinet 1)&P8(Bassoon 2),P2(Bb Clarinet 1)&P8(Bassoon 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
471.0,479.0,,,,U(Bb Clarinet 1),U(Oboe 2),,,,,,,,,,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
479.0,485.25,Main Part,,,,P8(Violin 1),P8(Violin 2),,,,,,,,,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,
485.25,503.0,,Main Part,P8(Violin 1),,P3(Bb Clarinet 2),P3(Bb Clarinet 1),,,,,,,,,P8(Oboe 1),,,P8(Contrabass),P8(Violoncello)
503.0,517.25,,Main Part,U(Main)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1),,P3(Bb Clarinet 2),P3(Bb Clarinet 1),P8(Main)&P8(Oboe 1)&U(Bassoon 2)&P8(Violin 1),P8(Main)&P8(Oboe 1)&U(Bassoon 1)&P8(Violin 1),,,,,,,P8(Main)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Contrabass),P8(Violoncello)
517.25,527.0,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1),,,Main Part,,P8(Flute 2)&U(Bassoon 2)&P8(Violin 1),P8(Flute 2)&U(Bassoon 1)&P8(Violin 1),,P8(Eb Horn 3),P8(Eb Horn 2),,,,P8(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Contrabass),P8(Violoncello)
527.0,533.25,,,Main Part,,,,P8(Main)&P8(Bassoon 2)&P8(Violin 1),P8(Main)&P8(Bassoon 1)&P8(Violin 1),,,,,,,U(Main)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Contrabass),P8(Violoncello)
533.25,543.0,,,,,Main Part,,P8(Bassoon 2)&P8(Violin 1),P8(Bassoon 1)&P8(Violin 1),,P8(Eb Horn 3),P8(Eb Horn 2),,,,P8(Bassoon 1)&P8(Bassoon 2),,,P8(Contrabass),P8(Violoncello)
543.0,555.0,,P8(Bb Clarinet 2),Main Part,U(Main)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1),,P8(Flute 2),P8(Main)&P8(Oboe 2)&U(Bassoon 2)&P8(Violin 1),P8(Main)&P8(Oboe 2)&U(Bassoon 1)&P8(Violin 1),,,,,,,P8(Main)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Contrabass),P8(Violoncello)
555.0,557.0,Main Part,U(Bb Clarinet 2),U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1),U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1),,U(Flute 2),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2)&P8(Violin 1),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P8(Violin 1),,,,,,,P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
557.0,580.5,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,P8(Eb Horn 3),P8(Eb Horn 2),,,,Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
580.5,597.0,,,,,,,,,,P8(Eb Horn 3),P8(Eb Horn 2),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
597.0,613.0,P8(Bb Clarinet 1),,,,P8(Flute 1),,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
613.0,619.25,Main Part,,,,P8(Main),,,,,P8(Eb Horn 3),P8(Eb Horn 2),,,,,,,P8(Contrabass),P8(Violoncello)
619.25,623.0,P8(Bb Clarinet 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,P8(Flute 1)&P8(Eb Horn 2)&U(Eb Horn 3)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,,P8(Flute 1)&P8(Bb Clarinet 1)&P8(Eb Horn 3)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&U(Bb Clarinet 1)&P8(Eb Horn 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,,P3(Flute 1)&P3(Bb Clarinet 1)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Bb Clarinet 1)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Viola)&P8(Contrabass),P3(Flute 1)&P3(Bb Clarinet 1)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Viola)&P8(Violoncello)
623.0,633.0,,,,,,,,,,,,,,,,Main Part,,,
633.0,649.5,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
649.5,660.0,Main Part,U(Main),,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
660.0,671.5,,,,,,,,,,P8(Eb Horn 3),P8(Eb Horn 2),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
671.5,681.0,,,,,,,,,,,Main Part,,,,,,,P8(Contrabass),P8(Violoncello)
681.0,701.0,U(Flute 2),U(Flute 1),U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),U(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&U(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&U(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
701.0,723.0,Main Part,,,,,,,,,,,P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
723.0,725.0,,,,,,,P5(Bassoon 2),P5(Bassoon 1),,P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P3(Main)&P8(Viola),P8(Eb Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2)&P3(Main)&P8(Viola),P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 2)&P3(Main)&P8(Viola),P8(Eb Horn 2)&U(Eb Horn 3)&P8(Eb Trumpet 1)&P3(Main)&P8(Viola),,,Main Part,P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P3(Main),P8(Contrabass),P8(Violoncello)
725.0,730.0,U(Flute 2),U(Flute 1),P3(Oboe 2),P3(Oboe 1),,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
730.0,749.0,Main Part,,,,,,,,,P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,P8(Eb Horn 2)&P8(Eb Trumpet 2),P8(Eb Horn 2)&P8(Eb Trumpet 1),,,,,,
749.0,753.5,P8(Oboe 1)&P3(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2)&P8(Eb Horn 3)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),Main Part,P8(Flute 1)&P3(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2)&P8(Eb Horn 3)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),P8(Bassoon 1)&P8(Viola),,,P8(Oboe 2)&U(Viola),P3(Flute 1)&P3(Oboe 1)&P4(Eb Horn 1)&P4(Eb Horn 2)&P3(Eb Horn 3)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P2(Flute 1)&P2(Oboe 1)&P4(Bassoon 2)&U(Eb Horn 2)&P2(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P2(Violin 2)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P2(Oboe 1)&P4(Bassoon 2)&U(Eb Horn 1)&P2(Eb Horn 3)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P2(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Oboe 1)&P3(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),P2(Flute 1)&P2(Oboe 1)&P4(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P2(Eb Horn 3)&U(Eb Trumpet 2)&P2(Violin 2)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P2(Oboe 1)&P4(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P2(Eb Horn 3)&U(Eb Trumpet 1)&P2(Violin 2)&P4(Violoncello)&P4(Contrabass),,,P8(Flute 1)&P8(Oboe 1)&P3(Bassoon 2)&P2(Eb Horn 1)&P2(Eb Horn 2)&P8(Eb Horn 3)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2)&P3(Violoncello)&P3(Contrabass),P8(Oboe 2)&U(Bassoon 1),P3(Flute 1)&P3(Oboe 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P3(Eb Horn 3)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2)&P3(Violin 2)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P3(Eb Horn 3)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2)&P3(Violin 2)&P8(Violoncello)
753.5,758.0,P4(Flute 2)&P4(Bb Clarinet 1),P4(Flute 1)&P8(Bb Clarinet 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P4(Oboe 2)&P4(Bassoon 1)&P3(Bassoon 2),P4(Oboe 1)&P8(Bassoon 1)&P6(Bassoon 2),P4(Flute 1)&P8(Flute 2)&P3(Eb Horn 1)&P3(Eb Horn 2),U(Eb Horn 3),P4(Oboe 1)&P8(Oboe 2)&P6(Bassoon 2),P3(Oboe 1)&P6(Oboe 2)&P6(Bassoon 1),P3(Flute 2)&P3(Bb Clarinet 1)&P8(Eb Horn 2),P3(Flute 2)&P3(Bb Clarinet 1)&P8(Eb Horn 1),U(Bb Clarinet 2),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,Main Part,P4(Viola),P4(Violin 2),P8(Contrabass),P8(Violoncello)
758.0,762.5,Main Part,P4(Main)&P3(Eb Horn 1),,P3(Bb Clarinet 2)&P8(Bassoon 1),P3(Bassoon 2)&P2(Eb Horn 3),P3(Oboe 2)&P3(Bassoon 1),P8(Oboe 2)&P3(Bb Clarinet 2),P3(Bb Clarinet 1)&P4(Eb Horn 3),P3(Flute 2),P3(Violin 2),P2(Bb Clarinet 1)&P4(Bassoon 2),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,P3(Eb Horn 2),,P8(Contrabass),P8(Violoncello)
762.5,773.0,,,Main Part,,,,,,,,,,,,,,,,
773.0,778.5,,,Main Part,,,,,,,,,,,,P5(Violin 2)&P3(Viola),P5(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),,
778.5,789.0,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
789.0,795.0,,,P8(Main),,,P8(Viola),,,,,,,,,Main Part,,P8(Bb Clarinet 2),P8(Contrabass),P8(Violoncello)
795.0,799.0,,,Main Part,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,P8(Main),P6(Viola),P6(Violin 2),P8(Contrabass),P8(Violoncello)
799.0,803.0,,,Main Part,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,P8(Main),,,P8(Contrabass),P8(Violoncello)
