qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,C6,r,C5,E4,C5,r,E3,C3,r,r,r,r,r,r,C4,r,G3,r,r
1.5,0.7759,1,2.0,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
2.5,1.2931,1,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
3.0,1.5517,2,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
4.5,2.3276,2,2.0,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
5.5,2.8448,2,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
6.0,3.1034,3,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
6.5,3.3621,3,1.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
7.0,3.6207,3,1.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
7.5,3.8793,3,2.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
8.0,4.1379,3,2.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
8.5,4.3966,3,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
9.0,4.6552,4,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
9.5,4.9138,4,1.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
10.0,5.1724,4,1.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
10.5,5.431,4,2.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
11.0,5.6897,4,2.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
11.5,5.9483,4,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
12.0,6.2069,5,1.0,r,r,r,r,C5,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
13.5,6.9828,5,2.0,r,r,r,r,C5,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
14.5,7.5,5,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
15.0,7.7586,6,1.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
16.5,8.5345,6,2.0,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
17.5,9.0517,6,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
18.0,9.3103,7,1.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
18.5,9.569,7,1.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
19.0,9.8276,7,1.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
19.5,10.0862,7,2.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
20.0,10.3448,7,2.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
20.5,10.6034,7,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
21.0,10.8621,8,1.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
21.5,11.1207,8,1.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
22.0,11.3793,8,1.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
