qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb basso Horn 1,Bb basso Horn 2,Violin 1,Violin 2,Viola,Violoncello solo,Violoncello,Contrabass
0.0,23.0,,,,,,,,,P8(Bb basso Horn 2),P8(Bb basso Horn 1),Main Part,,,,P8(Contrabass),P8(Violoncello)
23.0,27.0,U(Flute 2),U(Flute 1),,,,,,,P8(Bb basso Horn 2),P8(Bb basso Horn 1),Main Part,,,,P8(Contrabass),P8(Violoncello)
27.0,36.0,Main Part,,,P8(Bassoon 1),,,P8(Oboe 2),,P8(Bb basso Horn 2),P8(Bb basso Horn 1),,,,,P8(Contrabass),P8(Violoncello)
36.0,59.0,,,,,Main Part,P8(Bassoon 2)&P8(Bb basso Horn 1)&P8(Bb basso Horn 2),,P8(Bb Clarinet 2)&P8(Bb basso Horn 1)&P8(Bb basso Horn 2),P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb basso Horn 2),P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb basso Horn 1),,,,,P8(Contrabass),P8(Violoncello)
59.0,72.0,,,,,Main Part,,P8(Main),,,,,,,,P8(Contrabass),P8(Violoncello)
72.0,84.0,P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P4(Bb basso Horn 1),P4(Flute 1)&P4(Oboe 1)&P8(Oboe 2)&P8(Bb basso Horn 1),P8(Flute 1)&P4(Flute 2)&P4(Oboe 2)&P4(Bb basso Horn 1),P4(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P8(Bb basso Horn 1),P8(Bassoon 1)&P8(Bassoon 2),,P8(Bb Clarinet 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bassoon 1),P4(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P8(Oboe 2),U(Violoncello)&P8(Contrabass),Main Part,,,,U(Bb basso Horn 2)&P8(Contrabass),P8(Bb basso Horn 2)&P8(Violoncello)
84.0,96.0,,,,,Main Part,P6(Bassoon 2),P8(Violin 1),P6(Bb Clarinet 2),,,P8(Bassoon 1),,,,P8(Contrabass),P8(Violoncello)
96.0,106.5,P8(Bb basso Horn 2)&P8(Violin 1),,P3(Oboe 2),P3(Oboe 1),,,,,,P8(Flute 1)&P8(Violin 1),P8(Flute 1)&P8(Bb basso Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
106.5,108.0,,,,,,,,,,,,Main Part,P4(Main)&P3(Violoncello solo),P6(Main)&P3(Viola),,
108.0,109.5,,,,,,,,,,,Main Part,,,,,
