qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,G6,G5,G5,G4,G5,G4,G3,G2,G4,G3,G4,G3,G2,G4,G4,G4,G2,G1
1.5,2.8571,1,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
1.875,3.5714,1,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r,r
2.0,3.8095,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
3.375,6.4286,2,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
3.5,6.6667,2,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r,r
3.875,7.381,2,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
4.0,7.619,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
5.25,10.0,3,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
5.375,10.2381,3,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r,r
5.5,10.4762,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
5.75,10.9524,3,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
6.0,11.4286,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
7.1667,13.6509,4,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
7.3333,13.9682,4,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
7.5,14.2857,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
7.6667,14.6032,4,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
7.8333,14.9206,4,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
8.0,15.2381,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r,r
9.25,17.619,5,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
9.375,17.8571,5,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r,r
9.5,18.0952,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
9.625,18.3333,5,2.625,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
9.75,18.5714,5,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
9.875,18.8095,5,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r,r
10.0,19.0476,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,r,r
11.25,21.4286,6,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
11.5,21.9048,6,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r,r
11.75,22.381,6,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
12.0,22.8571,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
12.25,23.3333,7,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
12.5,23.8095,7,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r,r
12.75,24.2857,7,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,r,r
13.0,24.7619,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
13.5,25.7143,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
14.0,26.6667,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C3,C2
14.25,26.7519,8,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C3,C2
14.5,26.8371,8,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,G3,C3,C2
14.75,26.9223,8,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,G3,C3,C2
15.0,27.0076,8,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,r,r
15.25,27.0928,8,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,r,r
15.5,27.178,8,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,G3,r,r
15.75,27.2633,8,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,G3,r,r
16.0,27.3485,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,B3,C3,C2
16.25,27.4337,9,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,B3,C3,C2
16.5,27.5189,9,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,G3,C3,C2
16.75,27.6042,9,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,G3,C3,C2
17.0,27.6894,9,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,F4,B3,r,r
17.25,27.7746,9,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,B3,r,r
17.5,27.8598,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,G3,r,r
17.75,27.9451,9,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,G3,r,r
18.0,28.0303,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C3,C2
18.25,28.1155,10,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C3,C2
18.5,28.2008,10,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,G3,C3,C2
18.75,28.286,10,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,G3,C3,C2
19.0,28.3712,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,r,r
19.25,28.4564,10,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,C4,r,r
19.5,28.5417,10,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,G4,G3,r,r
19.75,28.6269,10,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,G3,r,r
20.0,28.7121,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,C3,C2
20.25,28.7973,11,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,E4,C4,C3,C2
20.5,28.8826,11,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,G3,C3,C2
20.75,28.9678,11,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G4,G3,C3,C2
21.0,29.053,11,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F4,B3,C3,C2
21.25,29.1383,11,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F4,B3,C3,C2
21.5,29.2235,11,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,G3,C3,C2
21.75,29.3087,11,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,G3,C3,C2
22.0,29.3939,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C3,C2
22.25,29.4792,12,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C3,C2
22.5,29.5644,12,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,E4,C3,C2
22.75,29.6496,12,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,E4,C3,C2
23.0,29.7348,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,E4,C4,r,r
23.25,29.8201,12,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,r,r
23.5,29.9053,12,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,r,r
