qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (basso) Horn 1,Bb (basso) Horn 2,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,12.0,,,P8(Bb (basso) Horn 1),,,,U(Violoncello)&P8(Contrabass),P8(Oboe 2),,P8(Bb Trumpet 2)&P8(Timpani),P8(Bb Trumpet 1)&P8(Timpani),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
12.0,18.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,Main Part,P8(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
18.0,24.0,,,,Main Part,,P8(Main),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
24.0,30.0,,,,Main Part,,P8(Main),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
30.0,36.0,,,,Main Part,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
36.0,44.0,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
44.0,60.0,,,,,,,P8(Bb (basso) Horn 2),,P8(Bassoon 2),P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
60.0,72.0,,,P8(Bb (basso) Horn 1),,,,U(Violoncello)&P8(Contrabass),P8(Oboe 2),,P8(Bb Trumpet 2)&P8(Timpani),P8(Bb Trumpet 1)&P8(Timpani),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
72.0,78.0,,,,Main Part,,P8(Main),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
78.0,84.0,,,,Main Part,,P8(Main),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
