score_qstamp,qstamp,measure,beat,589445_tstamp,736427_tstamp,736433_tstamp,729156_tstamp,711704_tstamp,723418_tstamp,735782_tstamp,736411_tstamp
0.0,0.0,1,1.6667,2.0,1.94,5.34,0.58,2.08,2.98,3.24,2.66
0.5,0.5,2,1.0,2.66,2.8,6.12,1.28,2.82,3.82,4.18,3.28
1.0,1.0,2,1.3333,3.58,3.8,6.78,2.08,3.82,4.82,5.26,3.84
1.5,1.5,2,1.6667,4.1,4.3,7.38,2.58,4.32,5.44,5.84,4.74
2.0,2.0,3,1.0,4.62,4.8,7.88,3.08,4.82,5.96,6.34,5.24
2.5,2.5,3,1.3333,5.26,5.64,8.66,3.84,5.64,6.74,7.12,5.98
3.0,3.0,3,1.6667,5.94,6.34,9.3,4.5,6.28,7.56,7.76,6.7
3.5,3.5,4,1.0,6.58,7.02,9.84,5.04,6.9,8.08,8.46,7.2
4.0,4.0,4,1.3333,7.3,7.92,10.64,5.7,7.78,8.78,9.22,7.8
4.375,4.375,4,1.5833,7.675,8.325,11.015,6.125,8.155,9.215,9.635,8.275
4.5,4.5,4,1.6667,7.84,8.48,11.16,6.26,8.28,9.38,9.76,8.4
4.875,4.875,4,1.9167,8.25,8.93,11.595,6.865,8.795,9.875,10.255,8.865
5.0,5.0,5,1.0,8.44,9.16,11.72,7.04,8.96,10.0,10.46,9.02
5.5,5.5,5,1.3333,9.08,10.04,12.5,7.72,9.74,10.76,11.48,9.56
6.0,6.0,5,1.6667,9.72,10.82,13.02,8.22,10.62,11.58,12.02,10.38
6.5,6.5,6,1.0,10.42,11.32,13.72,8.72,11.14,12.08,12.52,10.88
7.0,7.0,6,1.3333,11.08,12.04,14.38,9.26,11.74,12.7,13.2,11.46
7.5,7.5,6,1.6667,11.7,12.78,14.96,9.92,12.38,13.3,13.88,12.08
8.0,8.0,7,1.0,12.34,13.44,15.66,10.68,13.12,13.98,14.56,12.78
8.75,8.75,7,1.5,13.32,14.7,16.63,11.45,14.11,15.11,15.6,13.69
9.0,9.0,7,1.6667,13.6,15.02,16.9,11.72,14.44,15.44,15.94,13.96
9.5,9.5,8,1.0,14.26,15.76,17.62,12.44,15.24,16.16,16.64,14.6
10.0,10.0,8,1.3333,14.86,16.5,18.28,13.1,16.06,16.86,17.4,15.32
10.5,10.5,8,1.6667,15.6,17.38,18.78,13.72,16.66,17.36,18.04,15.82
11.0,11.0,9,1.0,16.12,17.94,19.46,14.3,17.38,18.32,18.72,16.46
11.5,11.5,9,1.3333,16.62,18.66,20.18,14.9,18.06,19.0,19.4,17.02
12.0,12.0,9,1.6667,17.28,19.44,20.94,15.4,18.9,19.5,20.08,17.74
12.5,12.5,10,1.0,18.16,20.14,21.48,16.22,19.52,20.46,20.78,18.28
13.0,13.0,10,1.3333,18.74,20.94,22.16,16.86,20.18,21.1,21.44,18.86
13.375,13.375,10,1.5833,19.195,21.435,22.63,17.295,20.715,21.615,21.915,19.345
13.5,13.5,10,1.6667,19.34,21.62,22.76,17.42,20.96,21.74,22.08,19.48
13.875,13.875,10,1.9167,19.755,22.135,23.21,17.875,21.455,22.22,22.575,19.855
14.0,14.0,11,1.0,19.94,22.26,23.34,18.0,21.6,22.38,22.7,19.98
14.5,14.5,11,1.3333,20.52,22.9,24.06,18.58,22.26,22.88,23.28,20.62
15.0,15.0,11,1.6667,21.22,24.02,24.78,19.24,22.88,23.62,24.1,21.12
15.5,15.5,12,1.0,21.9,24.52,25.4,20.0,23.8,24.54,24.74,21.98
16.0,16.0,12,1.3333,22.72,25.34,25.98,20.72,24.66,25.14,25.34,22.64
16.375,16.375,12,1.5833,23.095,25.715,26.435,21.095,25.175,25.515,25.975,23.055
16.5,16.5,12,1.6667,23.22,25.92,26.56,21.32,25.3,25.64,26.1,23.18
16.875,16.875,12,1.9167,23.735,26.615,27.08,21.755,25.855,26.305,26.535,23.705
17.0,17.0,13,1.0,23.86,26.74,27.24,21.88,25.98,26.48,26.66,23.88
17.5,17.5,13,1.3333,24.5,27.28,27.96,22.5,26.66,27.1,27.22,24.38
17.875,17.875,13,1.5833,25.035,27.855,28.395,22.875,27.235,27.615,27.815,24.795
18.0,18.0,13,1.6667,25.18,27.98,28.52,23.0,27.36,27.74,27.94,24.92
18.375,18.375,13,1.9167,25.555,28.355,28.975,23.415,27.755,28.115,28.475,25.375
18.5,18.5,14,1.0,25.88,28.72,29.26,23.68,28.12,28.5,28.64,25.58
19.0,19.0,14,1.3333,26.44,29.44,29.82,24.34,28.88,29.18,29.3,26.2
19.5,19.5,14,1.6667,27.06,30.18,30.54,24.98,29.52,29.86,30.04,26.82
20.0,20.0,15,1.0,27.56,30.78,31.2,25.52,30.22,30.36,30.72,27.32
20.5,20.5,15,1.3333,28.42,31.46,31.82,26.18,30.98,31.38,31.26,27.98
21.0,21.0,15,1.6667,29.16,32.14,32.56,26.9,31.64,32.02,31.94,28.78
21.5,21.5,16,1.0,29.78,32.94,33.12,27.5,32.38,32.72,32.52,29.28
22.0,22.0,16,1.3333,30.38,33.68,33.86,28.04,33.2,33.4,33.14,29.86
22.375,22.375,16,1.5833,30.895,34.175,34.235,28.475,33.615,33.895,33.675,30.335
22.5,22.5,16,1.6667,31.02,34.32,34.36,28.6,33.74,34.06,33.8,30.46
22.875,22.875,16,1.9167,31.495,34.895,34.795,29.055,34.295,34.595,34.255,30.955
23.0,23.0,17,1.0,31.68,35.02,34.98,29.2,34.44,34.76,34.4,31.08
23.5,23.5,17,1.3333,32.26,35.72,35.72,29.8,35.06,35.42,35.0,31.68
24.0,24.0,17,1.6667,33.0,36.34,36.44,30.56,35.94,36.18,35.72,32.2
24.5,24.5,18,1.0,33.68,37.16,36.94,31.12,36.44,36.76,36.38,32.88
24.75,24.75,18,1.1667,34.09,37.59,37.31,31.43,37.01,37.19,36.65,33.19
25.0,25.0,18,1.3333,34.34,37.84,37.56,31.68,37.28,37.46,36.9,33.44
25.25,25.25,18,1.5,34.71,38.39,37.91,32.09,37.71,37.89,37.33,33.79
25.5,25.5,18,1.6667,34.96,38.64,38.16,32.34,37.96,38.14,37.58,34.04
25.75,25.75,18,1.8333,35.37,39.05,38.65,32.71,38.47,38.61,37.97,34.41
26.0,26.0,19,1.0,35.64,39.3,38.9,32.96,38.72,38.86,38.22,34.66
26.25,26.25,19,1.1667,35.99,39.71,39.25,33.33,38.99,39.45,38.59,34.97
26.5,26.5,19,1.3333,36.24,39.96,39.52,33.58,39.24,39.7,38.84,35.22
26.75,26.75,19,1.5,36.57,40.33,39.77,33.83,39.51,39.95,39.09,35.55
27.0,27.0,19,1.6667,36.92,40.72,40.08,34.12,40.08,40.2,39.34,35.86
27.25,27.25,19,1.8333,37.35,41.15,40.51,34.49,40.53,40.61,39.81,36.13
27.5,27.5,20,1.0,37.6,41.4,40.76,34.74,40.78,40.86,40.06,36.38
27.75,27.75,20,1.1667,37.99,41.99,41.07,35.13,41.35,41.41,40.43,36.87
28.0,28.0,20,1.3333,38.24,42.24,41.32,35.38,41.6,41.66,40.68,37.12
28.25,28.25,20,1.5,38.51,42.51,41.57,35.63,41.85,41.91,40.95,37.37
28.5,28.5,20,1.6667,38.84,42.76,41.82,35.88,42.14,42.16,41.2,37.64
28.75,28.75,20,1.8333,39.29,43.27,42.23,36.21,42.53,42.57,41.45,37.95
29.0,29.0,21,1.0,39.54,43.54,42.48,36.5,42.82,42.82,41.82,38.2
29.25,29.25,21,1.1667,39.79,44.29,42.75,36.79,43.07,43.15,42.23,38.61
29.5,29.5,21,1.3333,40.06,44.54,43.0,37.04,43.32,43.4,42.48,38.86
29.75,29.75,21,1.5,40.53,44.79,43.47,37.51,43.89,43.81,42.81,39.11
29.875,29.875,21,1.5833,40.675,44.915,43.595,37.635,44.015,43.935,42.935,39.235
30.0,30.0,21,1.6667,40.8,45.04,43.86,37.78,44.16,44.1,43.1,39.36
30.25,30.25,21,1.8333,41.39,45.37,44.19,38.09,44.83,44.47,43.43,39.63
30.375,30.375,21,1.9167,41.515,45.495,44.315,38.215,44.955,44.615,43.555,39.755
30.5,30.5,22,1.0,41.64,45.62,44.44,38.34,45.08,44.8,43.74,39.9
30.75,30.75,22,1.1667,41.89,46.19,44.91,38.59,45.33,45.09,44.05,40.27
31.0,31.0,22,1.3333,42.14,46.44,45.16,38.84,45.58,45.34,44.3,40.52
31.25,31.25,22,1.5,42.41,46.69,45.33,39.23,45.88,45.67,44.59,40.77
31.5,31.5,22,1.6667,42.82,46.94,45.58,39.48,46.22,46.12,44.84,41.02
31.75,31.75,22,1.8333,43.11,47.43,45.84,39.83,46.61,46.47,45.21,41.39
32.0,32.0,23,1.0,43.46,47.68,46.18,40.08,46.86,46.72,45.48,41.64
32.25,32.25,23,1.1667,43.71,47.99,46.59,40.57,47.45,46.97,45.73,42.01
32.5,32.5,23,1.3333,43.96,48.24,46.84,40.82,47.7,47.22,45.98,42.26
32.75,32.75,23,1.5,44.43,48.91,47.21,41.13,47.95,47.67,46.43,42.51
32.875,32.875,23,1.5833,44.555,49.035,47.335,41.255,48.075,47.795,46.555,42.635
33.0,33.0,23,1.6667,44.68,49.16,47.5,41.38,48.24,47.94,46.68,42.76
33.25,33.25,23,1.8333,45.07,49.43,47.89,41.63,48.69,48.27,47.17,43.07
33.375,33.375,23,1.9167,45.195,49.555,48.015,41.735,48.815,48.435,47.295,43.195
33.5,33.5,24,1.0,45.36,49.74,48.14,41.86,48.94,48.64,47.42,43.32
33.75,33.75,24,1.1667,45.63,50.11,48.49,42.11,49.31,48.93,47.73,43.61
34.0,34.0,24,1.3333,45.88,50.42,48.74,42.4,49.58,49.22,47.98,43.86
34.25,34.25,24,1.5,46.17,50.77,48.99,42.67,49.83,49.67,48.35,44.11
34.5,34.5,24,1.6667,46.66,51.14,49.24,43.02,50.22,49.94,48.6,44.44
34.75,34.75,24,1.8333,46.93,51.57,49.53,43.37,50.53,50.27,48.89,44.73
34.875,34.875,24,1.9167,47.155,51.715,49.795,43.535,50.795,50.395,49.015,44.915
35.0,35.0,25,1.0,47.28,51.84,49.92,43.68,50.92,50.52,49.14,45.04
35.25,35.25,25,1.1667,47.55,52.23,50.23,43.93,51.31,50.89,49.49,45.31
35.5,35.5,25,1.3333,47.86,52.48,50.48,44.18,51.58,51.14,49.74,45.56
35.75,35.75,25,1.5,48.19,52.83,50.75,44.49,51.91,51.53,50.07,45.91
36.0,36.0,25,1.6667,48.56,53.24,51.1,44.8,52.2,51.8,50.34,46.2
36.25,36.25,25,1.8333,48.89,53.61,51.39,45.19,52.47,52.25,50.67,46.49
36.375,36.375,25,1.9167,49.075,53.755,51.575,45.315,52.795,52.375,50.875,46.615
36.5,36.5,26,1.0,49.2,53.88,51.7,45.44,52.92,52.5,51.0,46.74
37.0,37.0,26,1.3333,49.86,54.64,52.42,46.1,53.64,53.08,51.62,47.44
37.5,37.5,26,1.6667,50.58,55.42,53.06,46.88,54.36,53.78,52.3,48.14
38.0,38.0,27,1.0,51.26,56.24,53.82,47.48,55.22,54.52,53.04,48.72
39.0,39.0,27,1.6667,52.96,57.7,55.32,48.9,56.88,56.24,54.6,50.2
39.5,39.5,28,1.0,53.46,58.42,55.84,49.4,57.38,56.74,55.12,50.7
40.0,40.0,28,1.3333,54.02,59.02,56.44,49.88,57.88,57.24,55.62,51.24
40.5,40.5,28,1.6667,54.52,59.62,57.02,50.38,58.44,57.78,56.18,51.74
41.0,41.0,29,1.0,55.46,60.48,57.82,51.18,59.5,58.64,56.94,52.58
41.5,41.5,29,1.3333,56.12,61.12,58.46,51.8,60.2,59.28,57.64,53.26
42.0,42.0,29,1.6667,56.7,61.82,59.08,52.36,60.92,59.78,58.18,53.76
42.375,42.375,29,1.9167,57.25,62.475,59.715,52.915,61.595,60.455,58.805,54.315
42.5,42.5,30,1.0,57.38,62.6,59.86,53.04,61.72,60.58,58.96,54.44
43.0,43.0,30,1.3333,57.94,63.24,60.54,53.6,62.32,61.22,59.62,55.0
43.5,43.5,30,1.6667,58.5,63.92,61.04,54.2,62.82,61.82,60.14,55.5
44.0,44.0,31,1.0,59.48,64.7,61.78,54.94,63.84,62.66,60.86,56.34
44.5,44.5,31,1.3333,60.12,65.56,62.54,55.62,64.52,63.32,61.54,56.96
45.0,45.0,31,1.6667,60.64,66.06,63.04,56.12,65.38,63.82,62.12,57.46
45.375,45.375,31,1.9167,61.19,66.685,63.69,56.665,65.89,64.4,62.695,57.915
45.5,45.5,32,1.0,61.32,66.82,63.82,56.8,66.02,64.54,62.82,58.04
46.0,46.0,32,1.3333,62.02,67.86,64.5,57.56,66.62,65.3,63.66,59.0
46.5,46.5,32,1.6667,62.72,68.58,65.18,58.26,67.34,66.2,64.26,59.5
47.0,47.0,33,1.0,63.42,69.22,65.84,58.86,67.84,66.7,64.9,60.0
47.5,47.5,33,1.3333,63.98,69.82,66.34,59.4,68.9,67.38,65.42,60.58
48.0,48.0,33,1.6667,64.68,70.54,67.02,59.98,69.58,67.94,66.1,61.26
48.5,48.5,34,1.0,65.32,71.38,67.74,60.66,70.34,68.78,66.74,61.84
