qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.6667,0.0,a,Vln 2,14,Vln
9.0,7,1.6667,0.6667,a,Vla,15,Vla
15.0,11,1.6667,0.6667,a,Bsn 1,6,Bsn
18.0,13,1.6667,0.6667,a,Vln 1,13,Vln
39.0,27,1.6667,0.6667,b,Vln 1,13,Vln
51.0,35,1.6667,0.6667,b,Ob 1,2,Ob
56.5,39,1.3333,0.3333,b,Cl 1,4,Cl
59.0,41,1.0,0.0,b,Vln 1,13,Vln
60.5,42,1.0,0.0,b,Cl 1,4,Cl
68.0,47,1.0,0.0,b,Ob 1,2,Ob
71.875,49,1.5833,0.5833,b,Vln 1,13,Vln
80.0,55,1.0,0.0,c,Vln 1,13,Vln
86.0,59,1.0,0.0,c,Vln 1,13,Vln
91.5,62,1.6667,0.6667,a,Vln 1,13,Vln
96.0,65,1.6667,0.6667,d,Vln 1,13,Vln
105.0,71,1.6667,0.6667,d,Fl 1,0,Fl
108.0,73,1.6667,0.6667,d,Ob 1,2,Ob
117.0,79,1.6667,0.6667,d,Fl 1,0,Fl
121.5,82,1.6667,0.6667,d,Cl 1,4,Cl
123.0,83,1.6667,0.6667,d,Fl 1,0,Fl
124.5,84,1.6667,0.6667,d,Cl 1,4,Cl
126.0,85,1.6667,0.6667,d,Fl 1,0,Fl
127.0,86,1.3333,0.3333,d,Vln 1,13,Vln
128.0,87,1.0,0.0,d,Ob 1,2,Ob
129.0,87,1.6667,0.6667,d,Vln 1,13,Vln
130.0,88,1.3333,0.3333,d,Ob 1,2,Ob
131.0,89,1.0,0.0,d,Vln 1,13,Vln
132.0,89,1.6667,0.6667,d,Ob 1,2,Ob
133.0,90,1.3333,0.3333,d,Fl 1,0,Fl
138.5,94,1.0,0.0,a,Vln 1,13,Vln
150.5,102,1.0,0.0,a,Vln 2,14,Vln
159.5,108,1.0,0.0,a,Bsn 1,6,Bsn
165.0,111,1.6667,0.6667,a,Bsn 2,7,Bsn
168.0,113,1.6667,0.6667,a,Hn 1,8,Hn
169.5,114,1.6667,0.6667,a,Fl 1,0,Fl
178.5,120,1.6667,0.6667,a,Vln 1,13,Vln
189.0,127,1.6667,0.6667,b,Vln 1,13,Vln
201.0,135,1.6667,0.6667,b,Fl 1,0,Fl
212.0,143,1.0,0.0,b,Vln 1,13,Vln
218.0,147,1.0,0.0,b,Fl 1,0,Fl
230.0,155,1.0,0.0,c,Vln 1,13,Vln
236.0,159,1.0,0.0,c,Vln 1,13,Vln
241.5,162,1.6667,0.6667,a,Vln 1,13,Vln
244.5,164,1.6667,0.6667,a,Ob 1,2,Ob
261.5,176,1.0,0.0,a,Fl 1,0,Fl
273.0,183,1.6667,0.6667,b,Ob 1,2,Ob
274.5,184,1.6667,0.6667,b,Vln 1,13,Vln
279.0,187,1.6667,0.6667,b,Ob 1,2,Ob
280.5,188,1.6667,0.6667,b,Vln 1,13,Vln
285.0,191,1.6667,0.6667,b,Hn 1,8,Hn
289.5,194,1.6667,0.6667,b,Fl 1,0,Fl
