qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,0.0,1,1.0,D5,r,r,D3,r,r,r,r,D4,r,r,r,r,r,r,r,r,D4
0.25,0.1531,1,1.1667,D5,r,r,D3,D4,D4,D4,D4,D4,D4,D4,D4,r,r,r,r,r,D4
0.5,0.3061,1,1.3333,A4,r,r,r,F#4,F#4,F#4,F#4,D3,F#4,F#4,F#4,r,r,r,r,r,D3
0.75,0.4592,1,1.5,A4,r,r,r,A4,A4,A4,A4,D3,A4,A4,A4,r,r,r,r,r,D3
1.0,0.6122,1,1.6667,D5,r,r,r,F#4,F#4,F#4,F#4,D4,F#4,F#4,F#4,r,r,r,r,r,D4
1.25,0.7653,1,1.8333,D5,r,r,r,D4,D4,D4,D4,D4,D4,D4,D4,r,r,r,r,r,D4
1.5,0.9184,2,1.0,E5,r,r,A2,A4,A4,A4,A4,D4,A4,A4,A4,r,r,r,r,r,D4
2.0,1.2245,2,1.3333,F#5,r,r,r,A4,A4,A4,A4,C#4,A4,A4,A4,r,r,r,r,r,C#4
2.25,1.3776,2,1.5,E5,r,r,r,A4,A4,A4,A4,C#4,A4,A4,A4,r,r,r,r,r,C#4
2.5,1.5306,2,1.6667,D5,r,r,r,A4,A4,A4,A4,A3,A4,A4,A4,r,r,r,r,r,A3
2.75,1.6837,2,1.8333,E5,r,r,r,A4,A4,A4,A4,A3,A4,A4,A4,r,r,r,r,r,A3
3.0,1.8367,3,1.0,F#5,D5,r,D3,A4,A4,A4,A4,D4,A4,A4,A4,r,r,r,r,r,D4
3.25,1.9898,3,1.1667,F#5,D5,r,D3,D4,D4,D4,D4,D4,D4,D4,D4,r,r,r,r,r,D4
3.5,2.1429,3,1.3333,D5,A4,r,r,F#4,F#4,F#4,F#4,D3,F#4,F#4,F#4,r,r,r,r,r,D3
3.75,2.2959,3,1.5,D5,A4,r,r,A4,A4,A4,A4,D3,A4,A4,A4,r,r,r,r,r,D3
