qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,3.0,Main Part,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Violin 2)&U(Viola),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2),,,,,,U(Bassoon)
3.0,6.25,,Main Part,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Violin 2)&U(Viola),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2),,,,,,U(Bassoon)
6.25,8.0,,,,,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Main)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Main)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Continuo),U(Main)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),,,,,,,,U(Bassoon)
8.0,9.25,Main Part,,U(Viola),,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Main),,U(Tromba 3),,,,,,U(Bassoon)
9.25,10.75,,,P8(Timpani)&P8(Bassoon)&P8(Continuo),P8(Tromba 3)&P8(Bassoon)&P8(Continuo),Main Part,U(Oboe 2),U(Main),U(Traverso 2),P8(Tromba 3)&P8(Timpani)&U(Continuo),,,,,,,,,P8(Tromba 3)&P8(Timpani)&U(Bassoon)
10.75,12.25,Main Part,,P8(Timpani),P8(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,,,,U(Bassoon)
12.25,13.75,,,P8(Timpani),P8(Tromba 3),Main Part,U(Oboe 2),U(Main)&U(Violin 1),U(Traverso 2),U(Continuo),U(Main)&U(Oboe 1),,,,,,,,U(Bassoon)
13.75,15.25,P3(Tromba 2),P3(Tromba 1),,,U(Oboe 1)&U(Violin 1),Main Part,U(Traverso 1)&U(Violin 1),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Main)&U(Oboe 2),,,,,,,U(Bassoon)
15.25,18.25,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
18.25,19.75,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
19.75,21.25,P3(Tromba 2),P3(Tromba 1),P8(Timpani),P8(Tromba 3),U(Oboe 1)&U(Violin 1),Main Part,U(Traverso 1)&U(Violin 1),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Main)&U(Oboe 2),,,,,,,U(Bassoon)
21.25,24.25,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
24.25,27.25,,,,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
27.25,30.25,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
30.25,35.0,,,,,Main Part,U(Oboe 2),U(Main)&U(Violin 1),U(Traverso 2),U(Continuo),U(Main)&U(Oboe 1),,,,,,,,U(Bassoon)
35.0,36.0,,Main Part,,P8(Bassoon)&P8(Continuo),U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),P8(Timpani)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Main),,,,,,,P8(Timpani)&U(Bassoon)
