qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,3,0.0,a,A,6
3.0,2,3,0.667,a,T,7
18.0,7,3,0.667,a,S,5
19.0,8,1,0.0,b,Fl,0
20.0,8,2,0.333,a,A,6
22.0,9,1,0.0,b,Fl,1
25.25,10,1.25,0.083,b,Fl,0
28.25,11,1.25,0.083,b,Fl,1
34.0,13,1,0.0,b,Fl,0
37.0,14,1,0.0,b,Fl,1
40.0,15,1,0.0,b,Fl,0
42.0,15,3,0.667,a,A,6
45.0,16,3,0.667,a,T,7
48.0,17,3,0.667,a,B,8
52.25,19,1.25,0.083,b,Fl,1
55.25,20,1.25,0.083,b,Fl,0
61.25,22,1.25,0.083,b,Fl,1
64.25,23,1.25,0.083,b,Fl,0
67.25,24,1.25,0.083,b,Fl,1
73.25,26,1.25,0.083,b,Fl,0
76.0,27,1,0.0,b,Fl,1
81.0,28,3,0.667,a,B,8
84.0,29,3,0.667,a,T,7
87.0,30,3,0.667,a,A,6
90.0,31,3,0.667,a,S,5
94.25,33,1.25,0.083,b,Fl,0
100.0,35,1,0.0,b,Fl,1
103.25,36,1.25,0.083,b,Fl,0
104.0,36,2,0.333,a,S,5
106.25,37,1.25,0.083,b,Fl,1
109.25,38,1.25,0.083,b,Fl,0
116.0,40,2,0.333,a,B,8
116.25,40,2.25,0.417,b,Fl,1
118.25,41,1.25,0.083,b,Fl,0
119.0,41,2,0.333,a,S,5
121.25,42,1.25,0.083,b,Fl,1
122.25,42,2.25,0.417,b,Fl,0
124.5,43,1.5,0.167,b,Fl,0
127.25,44,1.25,0.083,b,Fl,1
130.25,45,1.25,0.083,b,Fl,0
133.25,46,1.25,0.083,b,Fl,1
136.25,47,1.25,0.083,b,Fl,0
139.25,48,1.25,0.083,b,Fl,1
142.0,49,1,0.0,b,Fl,1
144.25,49,3.25,0.75,b,Fl,0
