qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Eb Trumpet 1,Eb Trumpet 2,Alto Trombone,Tenor Trombone,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
120.0,128.0,,P4(F Horn 1)&P4(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Oboe 2),P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Timpani),P8(Flute 2),P4(Oboe 1)&P8(Bb Clarinet 2),P4(Oboe 1)&P8(Bb Clarinet 1),,,P4(Flute 1)&P8(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P4(Flute 1)&P8(F Horn 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P4(Flute 1)&P8(F Horn 1)&P8(F Horn 2)&P8(Eb Trumpet 2),P4(Flute 1)&U(F Horn 1)&P8(F Horn 2)&P8(Eb Trumpet 1),,,P4(Oboe 1),Main Part,,,,
128.0,132.0,,P4(Bb Clarinet 2)&P8(Bassoon 1),,,,,P4(Flute 1)&P4(Bassoon 1),P8(Flute 1)&P4(Bb Clarinet 2),P4(F Horn 1)&P4(F Horn 2),P4(Bassoon 2)&P8(F Horn 2),P4(Bassoon 2)&P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
132.0,138.0,,,,,P8(F Horn 1)&P8(F Horn 2),,,,,P8(Oboe 2)&P8(F Horn 2),P8(Oboe 2)&P8(F Horn 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
138.0,146.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1),P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(F Horn 2)&P8(Timpani),P8(F Horn 1)&P8(Timpani),,,,,P8(F Horn 1)&P8(F Horn 2),Main Part,P8(Bassoon 1)&P8(Bassoon 2)&U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
146.0,154.0,,P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Timpani),,U(Eb Trumpet 2),U(Eb Trumpet 1),,,P8(F Horn 1),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
154.0,160.0,,Main Part,P8(Main)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&P8(F Horn 1)&U(Eb Trumpet 1)&U(Eb Trumpet 2)&P8(Timpani),P8(Bb Clarinet 1)&U(F Horn 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani),,U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&U(Eb Trumpet 2)&P8(Timpani),U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&U(Eb Trumpet 1)&P8(Timpani),,,P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
160.0,168.0,,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),,,,,,,,,,,Main Part,P8(Main)
168.0,176.0,,P4(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2),P4(Flute 1)&P5(Oboe 1)&P4(Oboe 2)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2),P2(Flute 1)&P5(Flute 2)&P2(Oboe 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P5(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P8(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2),P4(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P4(Oboe 2)&P5(Bb Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2),P2(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P5(Bb Clarinet 1)&P2(Bassoon 1)&P5(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P8(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 2)&U(F Horn 1)&U(F Horn 2),P4(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P4(Oboe 2)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P4(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2),P8(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&U(Bassoon 1)&P4(Bassoon 2)&U(F Horn 2),P8(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&U(Bassoon 1)&P4(Bassoon 2)&U(F Horn 1),,,,,,Main Part,P2(Viola),P2(Violin 2),P8(Contrabass),P8(Violoncello)
176.0,184.0,,,,,,,,,,,,,,,,P8(Violin 1),P8(Timpani),,,Main Part,P8(Main)
184.0,192.0,,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 1)&P8(F Horn 2)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 1)&P8(F Horn 2)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 1)&U(F Horn 2)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P6(Bassoon 2)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P3(F Horn 1)&P4(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 1)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P2(F Horn 2)&P8(Eb Trumpet 2),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P2(F Horn 2)&P8(Eb Trumpet 1),,,,Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
192.0,200.0,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main)
200.0,204.0,,P3(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P3(Flute 1)&P6(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P6(F Horn 1)&P6(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P4(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&U(Eb Trumpet 1)&P8(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P3(Oboe 2)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P6(F Horn 1)&P6(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P6(Bassoon 2)&P6(F Horn 1)&P6(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(F Horn 1)&U(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&U(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1),,,,Main Part,P4(Viola),P4(Violin 2),P8(Contrabass),P8(Violoncello)
204.0,208.0,,P3(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P3(Flute 1)&P6(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(F Horn 1)&P6(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P4(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(F Horn 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&U(Eb Trumpet 1)&P8(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P3(Oboe 2)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(F Horn 1)&P6(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&P6(Bassoon 1)&U(F Horn 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P6(F Horn 1)&P6(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),,P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&U(Bb Clarinet 2)&P6(Bassoon 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(F Horn 1)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
208.0,212.0,,P7(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P7(Bb Clarinet 1)&P8(Bb Clarinet 2)&P7(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P7(Eb Trumpet 1)&P7(Eb Trumpet 2),P7(Flute 1)&P4(Oboe 1)&P7(Oboe 2)&P8(Bb Clarinet 1)&P7(Bb Clarinet 2)&P8(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P4(Flute 1)&P4(Flute 2)&P4(Oboe 2)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P8(F Horn 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P8(Flute 1)&P7(Flute 2)&P4(Oboe 1)&P7(Bb Clarinet 1)&P8(Bb Clarinet 2)&P7(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P7(Eb Trumpet 1)&P7(Eb Trumpet 2),P7(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P7(Oboe 2)&P7(Bb Clarinet 2)&P8(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&U(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Flute 1)&P7(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P7(Bb Clarinet 1)&P7(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P7(Eb Trumpet 1)&P7(Eb Trumpet 2),P7(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P7(Oboe 2)&P8(Bb Clarinet 1)&P7(Bb Clarinet 2)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P8(Violin 2),P4(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P8(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Bassoon 1)&P8(F Horn 1)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P7(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P7(Oboe 2)&U(Bb Clarinet 1)&P7(Bb Clarinet 2)&P8(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 2),P7(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P7(Oboe 2)&P8(Bb Clarinet 1)&P7(Bb Clarinet 2)&U(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P8(Eb Trumpet 1),,,,Main Part,P8(Bassoon 2),,P8(Contrabass),P8(Violoncello)
212.0,216.0,,P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P6(Flute 1)&P4(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P3(F Horn 1)&P4(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute 1)&P4(Flute 2)&P3(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P2(F Horn 1)&P8(F Horn 2)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P3(F Horn 1)&P4(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P6(Bassoon 1)&P4(F Horn 1)&P3(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P3(F Horn 1)&P4(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P8(Violin 2),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P2(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P2(F Horn 1)&P2(Eb Trumpet 1)&P2(Eb Trumpet 2),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P8(F Horn 1)&P2(F Horn 2)&P8(Eb Trumpet 2),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&U(F Horn 1)&P2(F Horn 2)&P8(Eb Trumpet 1),,,,Main Part,P8(Bassoon 2),,P8(Contrabass),P8(Violoncello)
