qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
3.0,15.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2),,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1),,,Main Part,,,,,,,,,,,U(Violin 2)&P5(Viola),U(Violin 1)&P5(Viola),P5(Violin 1)&P5(Violin 2),P8(Contrabass),P8(Violoncello)
15.0,27.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),Main Part,U(Main),P3(E Horn 4),P3(E Horn 3),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
27.0,39.0,Main Part,P3(Main)&P3(A Clarinet 1)&P8(A Clarinet 2),,,P8(Main)&P3(Flute 2)&P3(A Clarinet 2),P3(Main)&P8(Flute 2)&P3(A Clarinet 1),,,,,,,,,,,,,,,,,,
39.0,50.0,Main Part,P8(A Clarinet 2),,,P8(Main),P8(Flute 2),,,,,,,,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
50.0,93.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),P8(Flute 1)&P8(A Clarinet 1),,,,Main Part,,,,,,,,,,,,,
93.0,96.0,,,,,,,,,,,Main Part,,,,P4(Trombone 2)&P6(Trombone 3)&P3(Tuba)&P3(Violoncello),P4(Trombone 1)&P3(Trombone 3)&P2(Tuba)&P2(Violoncello),P6(Trombone 1)&P3(Trombone 2)&P4(Tuba)&P4(Violoncello),P3(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&U(Violoncello),,,,,P3(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&U(Tuba),
96.0,102.0,Main Part,,P8(Main),,,,,,,,,,,,,P3(Trombone 3),P3(Trombone 2),U(Violoncello),,,,,U(Tuba),
102.0,105.0,Main Part,,P8(Main),,,,,,,,,,,,P2(Trombone 2)&P4(Trombone 3)&P3(Tuba)&P3(Violoncello),P2(Trombone 1)&P3(Trombone 3)&P4(Tuba)&P4(Violoncello),P4(Trombone 1)&P3(Trombone 2)&P6(Tuba)&P6(Violoncello),P3(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&U(Violoncello),,,,,P3(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&U(Tuba),
105.0,108.0,,,,,,,,,,,,,,,P4(Trombone 2)&P3(Trombone 3)&P3(Violoncello),P4(Trombone 1)&P6(Trombone 3)&P6(Violoncello),P3(Trombone 1)&P6(Trombone 2)&U(Violoncello),,,Main Part,,,P3(Trombone 1)&P6(Trombone 2)&U(Trombone 3),
108.0,114.0,,,,,U(A Clarinet 2)&P8(Bassoon 1),U(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 1)&P8(A Clarinet 2),,,,,,,,,,U(Violoncello),,,Main Part,,,U(Trombone 3),
