qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (alto) Horn 1,Bb (alto) Horn 2,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
811.0,412.7652,48,2.5,r,C5,r,G4,E-4,G3,E-3,C5,C5,r,r,r,r,r,r,r,r
812.0,413.1818,49,1.0,r,B-4,r,E-4,C4,F3,F3,C5,F4,r,r,r,r,r,r,r,r
816.0,414.8485,50,1.0,r,B-4,r,E-4,C4,F3,F3,C5,F4,r,r,r,r,r,r,r,r
819.0,416.0985,50,2.5,r,B-4,r,E-4,C4,F3,F3,C5,F4,r,r,r,F5,F5,r,r,r
819.25,416.2027,50,2.625,r,B-4,r,E-4,C4,F3,F3,C5,F4,r,r,r,G5,G5,r,r,r
819.5,416.3068,50,2.75,r,B-4,r,E-4,C4,F3,F3,C5,F4,r,r,r,A5,A5,r,r,r
819.75,416.411,50,2.875,r,B-4,r,E-4,C4,F3,F3,C5,F4,r,r,r,B-5,B-5,r,r,r
820.0,416.5152,51,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A4,F2,F1
823.0,417.7652,51,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,r,r,r
823.25,417.8693,51,2.625,r,r,r,r,r,r,r,r,r,r,r,r,G5,G5,r,r,r
823.5,417.9735,51,2.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
823.75,418.0777,51,2.875,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
824.0,418.1818,52,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A4,F2,F1
825.5,418.8068,52,1.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
825.75,418.911,52,1.875,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
826.0,419.0152,52,2.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A4,F2,F1
827.5,419.6402,52,2.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
827.6667,419.7096,52,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
827.8333,419.779,52,2.9167,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
828.0,419.8485,53,1.0,D6,D6,D5,D5,D4,D4,D4,D5,B-4,D5,B-4,B-2,D6,D6,B-4,B-2,B-1
828.5,420.0568,53,1.25,D6,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r
829.0,420.2652,53,1.5,r,B-5,B-4,B-4,B-4,B-3,B-3,B-4,B-3,B-4,B-3,B-2,B-5,B-5,F3,B-2,B-1
829.5,420.4735,53,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r
830.0,420.6818,53,2.0,r,F5,F4,F4,F4,F3,F3,B-4,B-3,B-4,B-3,B-2,F5,F5,F3,B-2,B-1
831.0,421.0985,53,2.5,r,B-5,B-4,B-4,B-4,B-3,B-3,B-4,B-3,B-4,B-3,B-2,B-5,B-5,F3,B-2,B-1
832.0,421.5152,54,1.0,D6,D5,D5,D4,D4,D3,D3,B-4,B-3,B-4,B-3,B-2,D5,D5,F3,B-2,B-1
833.0,421.9318,54,1.5,F6,F5,F5,F4,F4,F4,F3,B-4,B-3,B-4,B-3,B-2,F5,F5,F3,B-2,B-1
834.0,422.3485,54,2.0,B-5,B-4,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-4,B-4,F3,B-2,B-1
835.0,422.7652,54,2.5,D6,D5,D5,D4,D4,D4,D3,B-4,B-3,B-4,B-3,B-2,D5,D5,F3,B-2,B-1
836.0,423.1818,55,1.0,G5,G4,G4,G4,G3,G3,G3,B-4,B-3,B-4,B-3,B-2,G4,G4,G3,B-2,B-1
837.0,423.5985,55,1.5,E-6,E-5,E-5,E-5,E-4,E-4,E-3,B-4,B-3,B-4,B-3,B-2,E-5,E-5,G3,B-2,B-1
838.0,424.0152,55,2.0,C6,C5,C5,C5,C4,C4,C4,B-4,B-3,B-4,B-3,B-2,C5,C5,G3,B-2,B-1
839.0,424.4318,55,2.5,B-5,B-4,B-4,B-4,B-3,B-3,B-3,B-4,B-3,B-4,B-3,B-2,B-4,B-4,G3,B-2,B-1
840.0,424.8485,56,1.0,A5,A4,A4,A4,A3,A3,A3,C5,F4,C5,F4,B-2,A4,A4,A3,B-2,B-1
841.0,425.2652,56,1.5,F6,F5,F5,F5,F4,F4,F3,C5,F4,C5,F4,B-2,F5,F5,A3,B-2,B-1
842.0,425.6818,56,2.0,E-6,E-5,E-5,E-5,E-4,E-4,E-4,C5,F4,C5,F4,B-2,E-5,E-5,A3,B-2,B-1
843.0,426.0985,56,2.5,C6,C5,C5,C5,C4,C4,C4,C5,F4,C5,F4,B-2,C5,C5,A3,B-2,B-1
844.0,426.5152,57,1.0,B-5,B-4,B-4,B-4,B-4,B-3,B-3,B-4,D4,B-4,D4,B-2,B-4,B-4,B-3,B-2,B-1
844.5,426.7235,57,1.25,r,r,r,r,r,r,r,B-4,D4,B-4,D4,B-2,r,r,B-3,r,r
845.0,426.9318,57,1.5,G6,G5,G5,G5,G4,B-4,B-3,r,r,r,r,r,G5,D4,B-3,B-3,B-2
845.5,427.1402,57,1.75,G6,G5,G5,G5,G4,B-4,B-3,r,r,r,r,r,G5,D4,B-3,B-3,B-2
846.0,427.3485,57,2.0,F6,F5,F5,F5,F4,A4,A3,r,r,r,r,r,F5,C4,A3,A3,A2
846.5,427.5568,57,2.25,F6,F5,F5,F5,F4,A4,A3,r,r,r,r,r,F5,C4,A3,A3,A2
847.0,427.7652,57,2.5,E-6,E-5,E-5,E-5,E-4,G4,G3,r,r,r,r,r,E-5,B-3,G3,G3,G2
847.5,427.9735,57,2.75,E-6,E-5,E-5,E-5,E-4,G4,G3,r,r,r,r,r,E-5,B-3,G3,G3,G2
848.0,428.1818,58,1.0,D6,D5,D5,D5,D4,F4,F3,r,r,r,r,r,D5,A3,F3,F3,F2
848.5,428.3902,58,1.25,D6,D5,D5,D5,D4,F4,F3,r,r,r,r,r,D5,A3,F3,F3,F2
849.0,428.5985,58,1.5,C6,C5,C5,C5,C4,E-4,E-3,r,r,r,r,r,C5,G3,E-3,E-3,E-2
849.5,428.8068,58,1.75,C6,C5,C5,C5,C4,E-4,E-3,r,r,r,r,r,C5,G3,E-3,E-3,E-2
850.0,429.0152,58,2.0,B-5,B-4,B-4,B-4,B-3,D4,D3,D5,B-4,B-4,B-3,B-2,B-4,F4,D3,D3,D2
850.5,429.2235,58,2.25,B-5,B-4,B-4,B-4,B-3,D4,D3,D5,B-4,B-4,B-3,B-2,B-4,F4,D3,D3,D2
851.0,429.4318,58,2.5,C6,C5,C5,C5,C4,E-4,E-3,C5,B-4,B-4,B-3,B-2,C5,G3,E-3,E-3,E-2
851.5,429.6402,58,2.75,C6,C5,C5,C5,C4,E-4,E-3,C5,B-4,B-4,B-3,B-2,C5,G3,E-3,E-3,E-2
852.0,429.8485,59,1.0,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,F4,F3,F2,B-4,E-4,C4,F3,F2
852.5,430.0568,59,1.25,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,F4,F3,F2,B-4,D4,B3,F3,F2
853.0,430.2652,59,1.5,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,E-4,C4,F3,F2
853.5,430.4735,59,1.75,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,D4,B3,F3,F2
854.0,430.6818,59,2.0,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,E-4,C4,F3,F2
854.5,430.8902,59,2.25,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,D4,B3,F3,F2
855.0,431.0985,59,2.5,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,E-4,C4,F3,F2
855.5,431.3068,59,2.75,B-5,B-4,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,D4,B3,F3,F2
856.0,431.5152,60,1.0,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-4,E-4,C4,F3,F2
856.5,431.7235,60,1.25,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,C5,E-5,C4,F3,F2
857.0,431.9318,60,1.5,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,D5,E-5,C4,F3,F2
857.5,432.1402,60,1.75,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,E-5,E-5,C4,F3,F2
858.0,432.3485,60,2.0,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,F5,E-5,C4,F3,F2
858.5,432.5568,60,2.25,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,G5,E-5,C4,F3,F2
859.0,432.7652,60,2.5,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,A5,E-5,C4,F3,F2
859.5,432.9735,60,2.75,B-5,E-5,B-4,B-4,E-4,C4,F3,C5,F4,r,r,r,B-5,E-5,C4,F3,F2
860.0,433.1818,61,1.0,A5,E-5,A4,A4,E-4,C4,F3,C5,F4,C5,F4,F2,A5,E-5,C4,F3,F2
862.0,434.0152,61,2.0,E-6,C6,E-5,E-5,C5,F3,F2,C5,F4,r,r,r,r,r,r,r,r
864.0,434.8485,62,1.0,r,r,r,r,r,r,r,r,r,B-4,B-3,B-2,B-5,D5,B-3,G3,G2
866.0,435.6818,62,2.0,D6,B-5,D5,D5,B-4,G3,G2,B-4,D4,r,r,r,r,r,r,r,r
868.0,436.5152,63,1.0,r,r,r,r,r,r,r,r,r,B-4,B-3,B-2,C6,G5,E-4,C3,C2
870.0,437.3485,63,2.0,E-6,C6,E-5,E-5,C5,C3,C2,E-5,C5,r,r,r,r,r,r,r,r
872.0,438.1818,64,1.0,r,r,r,r,r,r,r,r,r,F4,F3,F2,A5,E-5,F3,F3,F2
874.0,439.0152,64,2.0,C6,A5,C5,C5,A4,F3,F2,C5,F4,r,r,r,r,r,r,r,r
876.0,439.8485,65,1.0,r,B-4,r,B-3,B-3,B-3,B-3,B-4,B-3,r,r,r,B-3,r,F3,B-2,B-1
877.0,440.2652,65,1.5,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-3,r,F3,r,r
878.0,440.6818,65,2.0,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,B-3,r,F3,r,r
879.0,441.0985,65,2.5,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-3,r,F3,r,r
880.0,441.5152,66,1.0,r,B-4,r,B-3,B-3,B-2,B-2,B-4,B-3,r,r,r,B-3,r,F3,r,r
881.0,441.9318,66,1.5,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-4,r,F3,r,r
881.5,442.1402,66,1.75,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,A4,r,F3,r,r
882.0,442.3485,66,2.0,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,B-4,r,F3,r,r
882.5,442.5568,66,2.25,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,A4,r,F3,r,r
883.0,442.7652,66,2.5,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-4,r,F3,r,r
883.5,442.9735,66,2.75,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,A4,r,F3,r,r
884.0,443.1818,67,1.0,r,B-4,r,B-3,B-3,B-3,B-3,B-4,B-3,r,r,r,B-4,r,F3,B-2,B-1
885.0,443.5985,67,1.5,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-4,r,F3,r,r
885.5,443.8068,67,1.75,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,A4,r,F3,r,r
886.0,444.0152,67,2.0,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,B-4,r,F3,r,r
886.5,444.2235,67,2.25,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,A4,r,F3,r,r
887.0,444.4318,67,2.5,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-4,r,F3,r,r
887.5,444.6402,67,2.75,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,A4,r,F3,r,r
888.0,444.8485,68,1.0,r,B-4,r,B-3,B-3,B-2,B-2,B-4,B-3,r,r,r,B-4,r,F3,r,r
889.0,445.2652,68,1.5,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,B-4,r,F3,r,r
889.5,445.4735,68,1.75,r,B-4,r,B-3,B-3,D3,D3,B-4,B-3,r,r,r,A4,r,F3,r,r
890.0,445.6818,68,2.0,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,B-4,r,F3,r,r
890.5,445.8902,68,2.25,r,B-4,r,B-3,B-3,F3,F3,B-4,B-3,r,r,r,A4,r,F3,r,r
891.0,446.0985,68,2.5,r,B-4,r,B-3,B-3,B-3,B-3,B-4,B-3,r,r,r,B-4,r,F3,r,r
891.5,446.3068,68,2.75,r,B-4,r,B-3,B-3,B-3,B-3,B-4,B-3,r,r,r,B4,r,F3,r,r
892.0,446.5152,69,1.0,r,C5,A4,C4,A3,C4,C4,B-4,B-3,r,r,r,C5,r,F#3,B-2,B-1
893.0,446.9318,69,1.5,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,A4,F#3,r,r
893.5,447.1402,69,1.75,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,G#4,F#3,r,r
894.0,447.3485,69,2.0,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,C5,A4,F#3,r,r
894.5,447.5568,69,2.25,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,C5,G#4,F#3,r,r
895.0,447.7652,69,2.5,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,A4,F#3,r,r
895.5,447.9735,69,2.75,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,G#4,F#3,r,r
896.0,448.1818,70,1.0,r,C5,A4,C4,A3,E-3,E-3,B-4,B-3,r,r,r,C5,A4,F#3,r,r
897.0,448.5985,70,1.5,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,r,F#3,r,r
897.5,448.8068,70,1.75,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,B4,r,F#3,r,r
898.0,449.0152,70,2.0,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,C5,r,F#3,r,r
898.5,449.2235,70,2.25,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,B4,r,F#3,r,r
899.0,449.4318,70,2.5,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,r,F#3,r,r
899.5,449.6402,70,2.75,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,B4,r,F#3,r,r
900.0,449.8485,71,1.0,r,C5,A4,C4,A3,C4,C4,B-4,B-3,r,r,r,C5,r,F#3,B-2,B-1
901.0,450.2652,71,1.5,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,r,F#3,r,r
901.5,450.4735,71,1.75,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,B4,r,F#3,r,r
902.0,450.6818,71,2.0,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,C5,r,F#3,r,r
902.5,450.8902,71,2.25,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,B4,r,F#3,r,r
903.0,451.0985,71,2.5,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,r,F#3,r,r
903.5,451.3068,71,2.75,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,B4,r,F#3,r,r
904.0,451.5152,72,1.0,r,C5,A4,C4,A3,E-3,E-3,B-4,B-3,r,r,r,C5,r,F#3,B-2,B-1
905.0,451.9318,72,1.5,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,C5,r,F#3,r,r
905.5,452.1402,72,1.75,r,C5,A4,C4,A3,F#3,F#3,B-4,B-3,r,r,r,B4,r,F#3,r,r
906.0,452.3485,72,2.0,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,C5,r,F#3,r,r
906.5,452.5568,72,2.25,r,C5,A4,C4,A3,A3,A3,B-4,B-3,r,r,r,B4,r,F#3,r,r
907.0,452.7652,72,2.5,r,C5,A4,C4,A3,C4,C4,B-4,B-3,r,r,r,C5,r,F#3,r,r
907.5,452.9735,72,2.75,r,C5,A4,C4,A3,C4,C4,B-4,B-3,r,r,r,C#5,r,F#3,r,r
908.0,453.1818,73,1.0,r,D5,B4,D4,B3,D4,D4,B-4,B-3,r,r,r,D5,r,G#3,B-2,B-1
909.0,453.5985,73,1.5,r,D5,B4,D4,B3,B3,B3,B-4,B-3,r,r,r,D5,B4,G#3,r,r
909.5,453.8068,73,1.75,r,D5,B4,D4,B3,B3,B3,B-4,B-3,r,r,r,D5,B-4,G#3,r,r
910.0,454.0152,73,2.0,r,D5,B4,D4,B3,G#3,G#3,B-4,B-3,r,r,r,D5,B4,G#3,r,r
910.5,454.2235,73,2.25,r,D5,B4,D4,B3,G#3,G#3,B-4,B-3,r,r,r,D5,B-4,G#3,r,r
911.0,454.4318,73,2.5,r,D5,B4,D4,B3,B3,B3,B-4,B-3,r,r,r,D5,B4,G#3,r,r
911.5,454.6402,73,2.75,r,D5,B4,D4,B3,B3,B3,B-4,B-3,r,r,r,D5,B-4,G#3,r,r
912.0,454.8485,74,1.0,r,D5,B4,D4,B3,F3,F3,B-4,B-3,r,r,r,D5,B4,G#3,r,r
913.0,455.2652,74,1.5,r,D5,B4,D4,B3,G#3,G#3,B-4,B-3,r,r,r,D5,r,G#3,r,r
913.5,455.4735,74,1.75,r,D5,B4,D4,B3,G#3,G#3,B-4,B-3,r,r,r,C#5,r,G#3,r,r
914.0,455.6818,74,2.0,r,D5,B4,D4,B3,B3,B3,B-4,B-3,r,r,r,D5,r,G#3,r,r
914.5,455.8902,74,2.25,r,D5,B4,D4,B3,B3,B3,B-4,B-3,r,r,r,C#5,r,G#3,r,r
915.0,456.0985,74,2.5,r,D5,B4,D4,B3,D4,D4,B-4,B-3,r,r,r,D5,r,G#3,B-2,B-1
915.5,456.3068,74,2.75,r,D5,B4,D4,B3,D4,D4,B-4,B-3,r,r,r,D5,r,G#3,B-2,B-1
916.0,456.5152,75,1.0,r,E5,C#5,G4,E4,E4,E4,B-4,B-3,r,r,r,E5,r,B-3,B-2,B-1
917.0,456.9318,75,1.5,r,E5,C#5,G4,E4,C#4,C#4,B-4,B-3,r,r,r,E5,C#5,B-3,r,r
917.5,457.1402,75,1.75,r,E5,C#5,G4,E4,C#4,C#4,B-4,B-3,r,r,r,E5,C5,B-3,r,r
918.0,457.3485,75,2.0,r,E5,C#5,G4,E4,B-3,B-3,B-4,B-3,r,r,r,E5,C#5,B-3,r,r
918.5,457.5568,75,2.25,r,E5,C#5,G4,E4,B-3,B-3,B-4,B-3,r,r,r,E5,C5,B-3,r,r
919.0,457.7652,75,2.5,r,E5,C#5,G4,E4,C#4,C#4,B-4,B-3,r,r,r,E5,C#5,B-3,r,r
919.5,457.9735,75,2.75,r,E5,C#5,G4,E4,C#4,C#4,B-4,B-3,r,r,r,E5,C5,B-3,r,r
920.0,458.1818,76,1.0,E6,E5,C#5,G4,E4,G3,G3,B-4,B-3,r,r,r,E5,C#5,B-3,r,r
921.0,458.5985,76,1.5,E6,E5,C#5,G4,E4,B-3,B-3,B-4,B-3,r,r,r,G5,r,B-3,r,r
921.5,458.8068,76,1.75,E6,E5,C#5,G4,E4,B-3,B-3,B-4,B-3,r,r,r,F#5,r,B-3,r,r
922.0,459.0152,76,2.0,E6,E5,C#5,G4,E4,C#4,C#4,B-4,B-3,r,r,r,G5,r,B-3,r,r
922.5,459.2235,76,2.25,E6,E5,C#5,G4,E4,C#4,C#4,B-4,B-3,r,r,r,F#5,r,B-3,r,r
923.0,459.4318,76,2.5,E6,E5,C#5,G4,E4,E4,E4,B-4,B-3,r,r,r,G5,r,B-3,B-2,B-1
923.5,459.6402,76,2.75,E6,E5,C#5,G4,E4,E4,E4,B-4,B-3,r,r,r,G5,r,B-3,B-2,B-1
924.0,459.8485,77,1.0,F#6,F#5,r,r,r,F#4,F#4,B-4,B-3,r,r,r,A5,F#5,E-4,B-2,B-1
926.0,460.6818,77,2.0,F#6,F#5,r,r,r,F#4,F#4,B-4,B-3,r,r,r,A5,F#5,E-4,B-2,B-1
928.0,461.5152,78,1.0,F#6,F#5,r,r,r,F#4,F#4,B-4,B-3,r,r,r,A5,F#5,E-4,B-2,B-1
930.0,462.3485,78,2.0,F#6,F#5,r,r,r,F#4,F#4,B-4,B-3,r,r,r,A5,F#5,E-4,B-2,B-1
932.0,463.1818,79,1.0,F6,F5,r,r,r,F4,F4,C5,F4,r,r,r,A5,F5,E-4,B-2,B-1
934.0,464.0152,79,2.0,F6,F5,r,C5,A4,F4,F4,C5,F4,C5,F4,B-2,A5,F5,E-4,B-2,B-1
936.0,464.8485,80,1.0,F6,F5,r,C5,A4,F4,F4,C5,F4,C5,F4,B-2,A5,F5,E-4,B-2,B-1
938.0,465.6818,80,2.0,F6,F5,r,C5,A4,F4,F4,C5,F4,C5,F4,B-2,A5,F5,E-4,B-2,B-1
939.0,466.0985,80,2.5,F6,F5,r,C5,A4,F4,F4,C5,F4,r,r,r,A5,F5,F4,F3,F2
939.2,466.1818,80,2.6,F6,F5,r,C5,A4,F4,F4,C5,F4,r,r,r,A5,F5,G4,G3,G2
939.4000000000001,466.2652,80,2.7,F6,F5,r,C5,A4,F4,F4,C5,F4,r,r,r,A5,F5,A4,A3,A2
939.6000000000001,466.3485,80,2.8,F6,F5,r,C5,A4,F4,F4,C5,F4,r,r,r,A5,F5,B-4,B-3,B-2
939.8000000000002,466.4318,80,2.9,F6,F5,r,C5,A4,F4,F4,C5,F4,r,r,r,A5,F5,C5,C4,C3
940.0000000000002,466.5152,81,1.0,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,D4,B-4,D4,B-2,B-5,B-4,D5,D4,D3
940.5000000000002,466.7235,81,1.25,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,D4,B-4,D4,B-2,B-5,B-4,D5,r,r
941.0000000000002,466.9318,81,1.5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,B-4,B-3,B-2
941.5000000000002,467.1402,81,1.75,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,B-4,r,r
942.0000000000002,467.3485,81,2.0,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,F4,F3,F2
942.5000000000002,467.5568,81,2.25,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,F4,r,r
943.0000000000002,467.7652,81,2.5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,B-4,B-3,B-2
943.5000000000002,467.9735,81,2.75,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,B-4,r,r
944.0000000000002,468.1818,82,1.0,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,D4,D3,D2
944.5000000000002,468.3902,82,1.25,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,D4,r,r
945.0000000000002,468.5985,82,1.5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,F4,F3,F2
945.5000000000002,468.8068,82,1.75,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,F4,r,r
946.0000000000002,469.0152,82,2.0,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,B-3,B-2,B-1
946.5000000000002,469.2235,82,2.25,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,B-3,r,r
947.0000000000002,469.4318,82,2.5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,D4,D3,D2
947.5000000000002,469.6402,82,2.75,B-5,B-5,B-4,B-4,B-3,B-3,B-2,B-4,B-3,B-4,B-3,B-2,B-5,B-4,D4,r,r
948.0000000000002,469.8485,83,1.0,E-6,E-5,E-5,E-5,E-4,E-4,E-3,B-4,B-3,B-4,B-3,B-2,E-6,E-5,G3,G2,G1
948.5000000000002,470.0568,83,1.25,E-6,E-5,E-5,E-5,E-4,E-4,E-3,r,r,r,r,r,E-6,E-5,G3,r,r
949.0000000000002,470.2652,83,1.5,E-6,E-5,E-5,E-5,E-4,E-4,E-3,B-4,B-3,B-4,B-3,B-2,E-6,E-5,E-4,E-3,E-2
949.5000000000002,470.4735,83,1.75,E-6,E-5,E-5,E-5,E-4,E-4,E-3,r,r,r,r,r,E-6,E-5,E-4,r,r
950.0000000000002,470.6818,83,2.0,E-6,E-5,E-5,E-5,E-4,E-4,E-3,B-4,B-3,B-4,B-3,B-2,E-6,E-5,C4,C3,C2
950.5000000000002,470.8902,83,2.25,E-6,E-5,E-5,E-5,E-4,E-4,E-3,r,r,r,r,r,E-6,E-5,C4,r,r
951.0000000000002,471.0985,83,2.5,E-6,E-5,E-5,E-5,E-4,E-4,E-3,B-4,B-3,B-4,B-3,B-2,E-6,E-5,B-3,B-2,B-1
951.5000000000002,471.3068,83,2.75,E-6,E-5,E-5,E-5,E-4,E-4,E-3,r,r,r,r,r,E-6,E-5,B-3,r,r
952.0000000000002,471.5152,84,1.0,F6,F5,F5,F5,F4,F4,F3,F4,F3,F4,F3,F2,F6,F5,A3,A2,A1
952.5000000000002,471.7235,84,1.25,F6,F5,F5,F5,F4,F4,F3,r,r,r,r,r,F6,F5,A3,r,r
953.0000000000002,471.9318,84,1.5,F6,F5,F5,F5,F4,F4,F3,F4,F3,F4,F3,F2,F6,F5,F4,F3,F2
953.5000000000002,472.1402,84,1.75,F6,F5,F5,F5,F4,F4,F3,r,r,r,r,r,F6,F5,F4,r,r
954.0000000000002,472.3485,84,2.0,F6,F5,F5,F5,F4,F4,F3,F4,F3,F4,F3,F2,F6,F5,E-4,E-3,E-2
954.5000000000002,472.5568,84,2.25,F6,F5,F5,F5,F4,F4,F3,r,r,r,r,r,F6,F5,E-4,r,r
955.0000000000002,472.7652,84,2.5,F6,F5,F5,F5,F4,F4,F3,F4,F3,F4,F3,F2,F5,F4,C4,C3,C2
955.2000000000003,472.8485,84,2.6,F6,F5,F5,F5,F4,F4,F3,F4,F3,F4,F3,F2,G5,G4,C4,C3,C2
955.4000000000003,472.9318,84,2.7,F6,F5,F5,F5,F4,F4,F3,F4,F3,F4,F3,F2,A5,A4,C4,C3,C2
955.5000000000003,472.9735,84,2.75,F6,F5,F5,F5,F4,F4,F3,r,r,r,r,r,A5,A4,C4,r,r
