score_qstamp,qstamp,measure,beat,729163_tstamp,736761_tstamp,736768_tstamp,736750_tstamp,736757_tstamp
0.0,0.0,1,1.0,1.44,1.1,7.36,5.08,2.96
4.0,4.0,2,1.0,6.8492,7.4136,13.4564,10.5964,8.1804
6.0,6.0,2,2.0,8.9725,9.5035,15.9085,12.4145,10.2945
8.0,8.0,3,1.0,11.1254,11.1127,18.5867,14.6518,12.6854
10.0,10.0,3,2.0,13.2109,13.2727,21.2235,17.049,15.3509
12.0,12.0,4,1.0,15.4491,15.9891,24.1291,19.5291,17.8291
13.0,13.0,4,1.5,16.3982,17.1782,25.2782,20.4782,18.8582
14.0,14.0,4,2.0,17.5203,18.6965,26.7273,21.5673,20.1457
15.0,15.0,4,2.5,18.6564,19.9964,28.0364,23.1132,21.5564
16.0,16.0,5,1.0,20.3455,21.333,29.4855,24.7855,23.0095
20.0,20.0,6,1.0,24.4618,27.0218,35.0818,29.8418,27.7818
21.0,21.0,6,1.5,25.3709,28.7109,36.5999,31.3709,29.0309
22.0,22.0,6,2.0,26.48,29.78,37.86,32.66,30.04
23.0,23.0,6,2.5,27.6491,30.9091,38.9691,34.0091,30.9891
24.0,24.0,7,1.0,28.4982,32.0782,40.1382,35.5094,31.9982
25.0,25.0,7,1.5,29.5273,33.3073,41.3873,36.4873,33.1673
26.0,26.0,7,2.0,30.4764,34.3964,42.4564,37.6676,34.2164
27.0,27.0,7,2.5,31.693,35.7675,43.8275,39.184,35.142
28.0,28.0,8,1.0,32.909,37.169,45.2345,40.7835,36.429
29.0,29.0,8,1.5,33.9636,38.4836,46.5436,42.0036,37.4836
30.0,30.0,8,2.0,34.7527,39.6927,47.7727,43.3927,38.4727
31.0,31.0,8,2.5,35.9218,40.8618,48.9218,44.3818,39.4618
32.0,32.0,9,1.0,36.9818,42.1327,50.1927,45.9309,40.5018
33.0,33.0,9,1.5,37.92,43.4,51.46,46.88,41.5
34.0,34.0,9,2.0,38.9291,44.7091,52.7891,48.0491,42.5091
35.0,35.0,9,2.5,40.1382,46.0582,54.1182,49.1764,43.7564
36.0,36.0,10,1.0,41.5092,47.6473,55.7073,51.073,44.8965
37.0,37.0,10,1.5,42.5364,49.0564,57.1564,52.2564,45.8564
38.0,38.0,10,2.0,43.1855,50.333,58.3255,53.3255,46.7255
39.0,39.0,10,2.5,44.4325,51.9135,59.756,54.8085,47.678
