qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.875,D6,D6,D5,D5,D5,D4,D4,D3,D4,D3,D5,D4,D3,D4,D4,D4,D3,D2
0.125,0.1786,2,1.0,D6,D6,D5,D5,D5,D4,D4,D3,D4,D3,D5,D4,D3,D4,D4,D4,D3,D2
1.625,2.3215,2,2.5,r,r,F#5,A4,r,r,A3,D3,r,r,r,r,r,r,r,r,r,r
2.125,3.0358,2,3.0,r,r,E5,G4,r,r,A3,E3,r,r,r,r,r,r,r,r,r,r
2.625,3.7501,2,3.5,r,r,D5,F#4,r,r,A3,F#3,r,r,r,r,r,r,r,r,r,r
3.125,4.4644,3,1.0,r,r,D5,E4,r,r,A3,G3,r,r,r,r,r,r,r,r,r,r
4.125,5.893,3,2.0,r,r,C#5,E4,r,r,A3,G3,r,r,r,r,r,r,r,r,r,r
5.125,7.3216,3,3.0,r,r,E-5,B4,r,r,A3,F#3,r,r,r,r,r,r,r,r,r,r
6.125,8.7502,4,1.0,r,r,E5,B4,r,r,B3,G3,r,r,r,r,r,r,r,r,r,r
7.625,10.8931,4,2.5,r,r,F#5,B4,r,r,E-4,A3,r,r,r,r,r,r,r,r,r,r
8.125,11.6074,4,3.0,r,r,G5,B4,r,r,E4,G3,r,r,r,r,r,r,r,r,r,r
8.625,12.3217,4,3.5,r,r,B5,B4,r,r,G4,E3,r,r,r,r,r,r,r,r,r,r
9.125,13.036,5,1.0,r,r,D5,A4,r,r,F#4,A3,r,r,r,r,r,r,r,r,r,r
10.125,14.4646,5,2.0,r,r,C#5,A4,r,r,E4,A2,r,r,r,r,r,r,r,r,r,r
10.625,15.1789,5,2.5,E6,C#6,r,r,E5,C#5,E4,C#4,r,r,r,r,r,r,r,r,r,r
11.0,15.7146,5,2.875,D6,B5,r,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,r
11.125,15.8932,5,3.0,C#6,A5,r,r,C#5,A4,C#4,A3,r,r,r,r,r,r,r,r,r,r
11.5,16.4289,5,3.375,B5,G5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,r,r,r
11.625,16.6075,5,3.5,A5,F#5,r,r,A4,F#4,A3,F#3,r,r,r,r,r,r,r,r,r,r
12.0,17.1432,5,3.875,G5,E5,D5,D4,G4,E4,G3,E3,D4,D3,D5,D4,D3,D5,D5,D4,D3,D2
12.125,17.3218,6,1.0,F#5,D5,D5,D4,F#4,D4,F#3,D3,D4,D3,D5,D4,D3,D5,D5,D4,D3,D2
