qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"D, A Timpani",Triangle,Cymbals,Bass Drum,Soprano solo,Alto solo,Tenor solo,Bass solo,Soprano,Alto,Tenor,Bass,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,13.5,,Main Part,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1),P8(Bassoon 2)&P8(Contrabassoon),P8(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,,,,,,,,,,,,
13.5,24.0,,,,Main Part,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Bassoon 2)&P8(Contrabassoon),P8(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),"P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)",P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
24.0,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main)
32.5,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main)
41.0,48.0,,,,,,,,,,,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,,,,,,,,Main Part,P8(Main)
48.0,51.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&P8(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&P8(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&P8(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&U(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&P8(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&U(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&U(Bassoon 2)&P8(Contrabassoon)&P3(D Horn 1)&P8(D Horn 2)&P2(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&U(Bassoon 1)&P8(Contrabassoon)&P3(D Horn 1)&P8(D Horn 2)&P2(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(D Horn 1)&P8(D Horn 2)&P2(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(D Horn 2)&P4(Bb (basso) Horn 3)&P6(Bb (basso) Horn 4),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P3(D Horn 1)&P2(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P4(D Horn 1)&P2(D Horn 2)&P3(Bb (basso) Horn 4),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P6(D Horn 1)&P4(D Horn 2)&P3(Bb (basso) Horn 3),Main Part,"P8(Main)&P8(D, A Timpani)",,,,P8(Main)&P8(D Trumpet 2),,,,,,,,,,,,,,,,
51.0,57.5,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Bb Clarinet 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main),U(Bassoon 2)&P8(Contrabassoon),U(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),"P3(D Horn 2)&P4(Bb (basso) Horn 3)&P6(Bb (basso) Horn 4)&P5(D, A Timpani)","P3(D Horn 1)&P2(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4)&P3(D, A Timpani)","P4(D Horn 1)&P2(D Horn 2)&P3(Bb (basso) Horn 4)&P2(D, A Timpani)","P6(D Horn 1)&P4(D Horn 2)&P3(Bb (basso) Horn 3)&P2(D, A Timpani)",P8(D Trumpet 2),P8(D Trumpet 1),,,,P5(D Horn 1)&P3(D Horn 2)&P2(Bb (basso) Horn 3)&P2(Bb (basso) Horn 4),,,,,,,,,,,,,,,,
57.5,61.5,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,"P3(D, A Timpani)",P3(Bb (basso) Horn 4),P3(Bb (basso) Horn 3),U(D Trumpet 2),U(D Trumpet 1),,,,P3(D Horn 2),,,,,,,,,,,,,,,,
61.5,64.5,,U(Flute 2)&P8(Oboe 2),U(Flute 1)&P8(Oboe 2),,P8(Flute 1)&P8(Flute 2),Main Part,P8(Main),P8(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2),P8(Bassoon 1)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 1),,,U(D Trumpet 2),U(D Trumpet 1),,,,,,,,,,,,,,,,,,,,
64.5,70.5,,Main Part,,,P8(Main),,,P8(Bassoon 2)&P8(Contrabassoon),P8(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),U(D Horn 2),U(D Horn 1),,,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
