qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.0,0.0,a,Fl 1,0,Fl
25.0,9,2.0,0.3333,a,Vln 1,19,Vln
46.0,16,2.0,0.3333,b,Ob 1,2,Ob
52.0,18,2.0,0.3333,b,Fl 1,0,Fl
58.0,20,2.0,0.3333,b,Cl 1,4,Cl
64.0,22,2.0,0.3333,b,Fl 1,0,Fl
75.0,26,1.0,0.0,b,Fl 2,1,Fl
78.0,27,1.0,0.0,b,Fl 1,0,Fl
81.0,28,1.0,0.0,b,Fl 2,1,Fl
84.0,29,1.0,0.0,b,Fl 1,0,Fl
93.0,32,1.0,0.0,b,Ob 1,2,Ob
96.0,33,1.0,0.0,c,Vln 1,19,Vln
120.5,41,1.5,0.1667,c,Vln 1,19,Vln
126.5,43,1.5,0.1667,c,Vln 1,19,Vln
138.5,47,1.5,0.1667,c,Vln 1,19,Vln
149.5,50,3.5,0.8333,c,Vln 1,19,Vln
155.5,52,3.5,0.8333,c,Vln 1,19,Vln
158.5,53,3.5,0.8333,c,Vln 1,19,Vln
161.5,54,3.5,0.8333,c,Vln 1,19,Vln
167.75,56,3.75,0.9167,c,Vln 1,19,Vln
168.75,57,1.75,0.25,c,Fl 1,0,Fl
170.75,57,3.75,0.9167,c,Vln 1,19,Vln
171.75,58,1.75,0.25,c,Fl 1,0,Fl
173.75,58,3.75,0.9167,c,Vln 1,19,Vln
174.75,59,1.75,0.25,c,Fl 1,0,Fl
176.75,59,3.75,0.9167,c,Vln 1,19,Vln
177.75,60,1.75,0.25,c,Fl 1,0,Fl
179.75,60,3.75,0.9167,c,Vln 1,19,Vln
180.75,61,1.75,0.25,c,Fl 1,0,Fl
182.75,61,3.75,0.9167,c,Vln 1,19,Vln
183.75,62,1.75,0.25,c,Fl 1,0,Fl
189.75,64,1.75,0.25,c,Ob 1,2,Ob
192.5,65,1.5,0.1667,d,Cl 1,4,Cl
198.5,67,1.5,0.1667,d,Cl 1,4,Cl
204.5,69,1.5,0.1667,d,Fl 1,0,Fl
216.5,73,1.5,0.1667,d,Fl 2,1,Fl
222.5,75,1.5,0.1667,d,Fl 2,1,Fl
228.5,77,1.5,0.1667,d,Fl 1,0,Fl
234.0,79,1.0,0.0,d,Cl 1,4,Cl
240.0,81,1.0,0.0,e,Vln 1,19,Vln
243.0,82,1.0,0.0,e,Fl 2,1,Fl
246.0,83,1.0,0.0,e,Vln 1,19,Vln
249.0,84,1.0,0.0,e,Fl 2,1,Fl
252.0,85,1.0,0.0,e,Vln 1,19,Vln
255.0,86,1.0,0.0,e,Fl 2,1,Fl
258.0,87,1.0,0.0,e,Vln 1,19,Vln
261.0,88,1.0,0.0,e,Ob 1,2,Ob
264.0,89,1.0,0.0,e,Vln 1,19,Vln
267.0,90,1.0,0.0,e,Ob 1,2,Ob
270.0,91,1.0,0.0,e,Vln 1,19,Vln
273.0,92,1.0,0.0,e,Ob 1,2,Ob
