qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Violoncello,Continuo
0.0,0.0,1,3.0,r,r,B4,F#4,D4,r,F#4,r,r,r,r
0.5,0.625,1,3.5,r,r,B4,F#4,D4,r,D4,r,r,r,r
1.0,1.25,2,1.0,r,r,B4,F#4,D4,r,B3,r,C#4,D3,D3
1.5,1.875,2,1.5,r,r,B4,F#4,B3,r,B3,r,C#4,D3,D3
2.0,2.5,2,2.0,r,r,B4,F#4,D4,r,B3,r,r,D3,r
2.5,3.125,2,2.5,r,r,B4,F#4,B3,r,B3,r,r,D3,r
3.0,3.75,2,3.0,r,r,B4,F#4,D4,r,B3,B3,r,D3,r
3.5,4.375,2,3.5,r,r,B4,F#4,B3,r,B3,G3,r,D3,r
4.0,5.0,3,1.0,r,r,B4,G4,D4,r,G4,E3,r,E3,E3
4.5,5.625,3,1.5,r,r,B4,G4,B3,r,G4,E3,r,E3,E3
5.0,6.25,3,2.0,r,r,B4,G4,D4,r,G4,E3,r,E3,r
5.5,6.875,3,2.5,r,r,B4,G4,B3,r,G4,E3,r,E3,r
6.0,7.5,3,3.0,r,r,B4,G4,D4,r,G4,E3,r,E3,r
6.5,8.125,3,3.5,r,r,B4,G4,B3,r,G4,E3,r,E3,r
7.0,8.75,4,1.0,r,r,B4,E4,C4,r,G4,C4,r,A2,A2
7.5,9.375,4,1.5,r,r,B4,E4,B3,r,G4,C4,r,A2,A2
8.0,10.0,4,2.0,r,r,A4,E4,C4,r,F#4,C4,r,A2,r
8.5,10.625,4,2.5,r,r,A4,E4,B3,r,F#4,C4,r,A2,r
9.0,11.25,4,3.0,r,r,G4,A4,C4,r,E4,C4,r,A2,r
9.5,11.875,4,3.5,r,r,G4,A4,A3,r,E4,C4,r,A2,r
10.0,12.5,5,1.0,r,r,F#4,A4,F#4,r,E-4,C4,r,B2,B2
10.5,13.125,5,1.5,r,r,F#4,A4,B3,r,E-4,C4,r,B2,B2
11.0,13.75,5,2.0,r,r,F#4,G4,E-4,r,E-4,B3,r,B2,r
11.5,14.375,5,2.5,r,r,F#4,G4,B3,r,E-4,B3,r,B2,r
12.0,15.0,5,3.0,r,r,B4,F#4,F#4,r,E-4,A3,r,B2,r
12.5,15.625,5,3.5,r,r,B4,F#4,B3,r,E-4,A3,r,B2,r
13.0,16.25,6,1.0,r,r,B4,B4,G#4,r,r,G#3,r,F2,F2
13.5,16.875,6,1.5,r,r,C#5,B4,F4,r,r,G#3,r,F2,F2
14.0,17.5,6,2.0,r,r,B4,B4,G#4,r,D4,G#3,r,F2,r
