qstamp_start,qstamp_end,Violin,Soprano 1 solo,Soprano 2 solo,Continuo
0.5,17.25,Main Part,,,
17.25,24.0,Main Part,,,
24.0,34.5,Main Part,,,
34.5,36.0,Main Part,P3(Soprano 2 solo),P3(Soprano 1 solo),
36.0,44.5,,Main Part,,
44.5,53.0,Main Part,,,
53.0,55.0,,Main Part,,
55.0,58.5,,,Main Part,
58.5,64.0,Main Part,,,
64.0,68.25,,Main Part,,
68.25,70.0,Main Part,P3(Soprano 2 solo),P3(Soprano 1 solo),
70.0,78.5,,Main Part,,
78.5,87.0,Main Part,,,
87.0,89.0,,,Main Part,
89.0,92.5,,Main Part,,
92.5,98.0,Main Part,,,
98.0,102.5,,,Main Part,
102.5,106.0,Main Part,,,
106.0,111.25,,Main Part,,
111.25,122.5,Main Part,,,
122.5,124.5,Main Part,,,
124.5,128.5,,,Main Part,
128.5,145.25,Main Part,U(Soprano 2 solo),U(Soprano 1 solo),
145.25,152.0,Main Part,,,
152.0,162.5,Main Part,,,
162.5,164.0,Main Part,P3(Soprano 2 solo),P3(Soprano 1 solo),
164.0,172.5,,Main Part,,
172.5,181.0,Main Part,,,
181.0,183.0,,,Main Part,
183.0,186.5,,Main Part,,
186.5,192.5,Main Part,,,
192.5,194.5,,Main Part,,
194.5,198.0,Main Part,,,
198.0,202.0,Main Part,,,
202.0,208.0,,Main Part,,
208.0,216.0,Main Part,P8(Soprano 2 solo),P8(Soprano 1 solo),
216.0,228.5,Main Part,,,
228.5,234.5,,,Main Part,
234.5,236.5,,Main Part,,
236.5,238.5,Main Part,,,
238.5,244.5,,,Main Part,
244.5,246.5,,Main Part,,
246.5,252.5,,,Main Part,
252.5,254.25,,Main Part,,
254.25,263.5,Main Part,,,
263.5,266.5,,Main Part,P3(Main),
266.5,267.5,Main Part,,,
267.5,272.0,,Main Part,,
272.0,286.25,,Main Part,,
286.25,290.5,Main Part,,,
290.5,294.5,,Main Part,,
294.5,298.5,Main Part,,,
298.5,302.5,,Main Part,,
302.5,319.25,Main Part,U(Soprano 2 solo),U(Soprano 1 solo),
319.25,324.0,Main Part,,,
324.0,338.0,Main Part,,,
