qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.0,0.0,a,Vln 1,0,Vln
3.0,1,3.0,0.5,a,Vln 2,1,Vln
6.0,2,1.0,0.0,a,Vln 3,2,Vln
9.0,2,3.0,0.5,a,Vc 1,6,Vc
12.0,3,1.0,0.0,a,Vln 1,0,Vln
21.0,4,3.0,0.5,a,Vla 1,3,Vla
24.0,5,1.0,0.0,a,Vla 2,4,Vla
27.0,5,3.0,0.5,a,Vln 1,0,Vln
30.0,6,1.0,0.0,a,Vc 1,6,Vc
33.0,6,3.0,0.5,a,Vla 2,4,Vla
42.0,8,1.0,0.0,b,Vln 1,0,Vln
45.0,8,3.0,0.5,b,Vln 2,1,Vln
48.0,9,1.0,0.0,b,Vln 3,2,Vln
51.0,9,3.0,0.5,b,Vla 1,3,Vla
57.0,10,3.0,0.5,b,Vln 1,0,Vln
60.0,11,1.0,0.0,c,Vln 1,0,Vln
72.0,13,1.0,0.0,a,Vc 1,6,Vc
78.0,14,1.0,0.0,a,Vla 1,3,Vla
84.0,15,1.0,0.0,d,Vln 1,0,Vln
96.0,17,1.0,0.0,a,Vln 1,0,Vln
99.0,17,3.0,0.5,a,Vln 2,1,Vln
102.0,18,1.0,0.0,a,Vln 3,2,Vln
105.0,18,3.0,0.5,a,Vc 1,6,Vc
108.0,19,1.0,0.0,a,Vln 1,0,Vln
117.0,20,3.0,0.5,a,Vla 1,3,Vla
120.0,21,1.0,0.0,a,Vla 2,4,Vla
123.0,21,3.0,0.5,a,Vln 1,0,Vln
126.0,22,1.0,0.0,a,Vc 1,6,Vc
129.0,22,3.0,0.5,a,Vla 1,3,Vla
138.0,24,1.0,0.0,b,Vln 1,0,Vln
141.0,24,3.0,0.5,b,Vln 2,1,Vln
144.0,25,1.0,0.0,b,Vln 3,2,Vln
147.0,25,3.0,0.5,b,Vla 1,3,Vla
153.0,26,3.0,0.5,b,Vln 1,0,Vln
156.0,27,1.0,0.0,c,Vln 1,0,Vln
168.0,29,1.0,0.0,c,Vla 1,3,Vla
173.0,29,4.3333,0.8333,c,Vln 1,0,Vln
180.25,31,1.1667,0.0417,c,Vla 1,3,Vla
181.75,31,2.1667,0.2917,c,Vln 1,0,Vln
183.25,31,3.1667,0.5417,c,Vla 1,3,Vla
184.75,31,4.1667,0.7917,c,Vln 1,0,Vln
186.0,32,1.0,0.0,b,Vla 1,3,Vla
189.0,32,3.0,0.5,b,Vla 2,4,Vla
192.0,33,1.0,0.0,b,Vla 3,5,Vla
195.0,33,3.0,0.5,b,Vc 1,6,Vc
198.0,34,1.0,0.0,b,Vln 1,0,Vln
201.0,34,3.0,0.5,b,Vla 1,3,Vla
204.0,35,1.0,0.0,d,Vla 1,3,Vla
216.0,37,1.0,0.0,a,Vla 1,3,Vla
219.0,37,3.0,0.5,a,Vla 2,4,Vla
222.0,38,1.0,0.0,a,Vln 1,0,Vln
225.0,38,3.0,0.5,a,Vc 1,6,Vc
228.0,39,1.0,0.0,a,Vla 2,4,Vla
237.0,40,3.0,0.5,a,Vln 1,0,Vln
240.0,41,1.0,0.0,a,Vln 2,1,Vln
243.0,41,3.0,0.5,a,Vla 1,3,Vla
246.0,42,1.0,0.0,a,Vc 1,6,Vc
249.0,42,3.0,0.5,a,Vln 1,0,Vln
258.0,44,1.0,0.0,b,Vla 1,3,Vla
261.0,44,3.0,0.5,b,Vla 2,4,Vla
264.0,45,1.0,0.0,b,Vla 2,4,Vla
267.0,45,3.0,0.5,b,Vln 1,0,Vln
270.0,46,1.0,0.0,b,Vla 1,3,Vla
273.0,46,3.0,0.5,b,Vln 1,0,Vln
276.0,47,1.0,0.0,c,Vln 1,0,Vln
