qstamp,tstamp,measure,beat,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
0.0,0.0,1,1.0,G4,r,r,G4,G4,G4,r,r,r,r,r
0.25,0.1154,1,1.1667,F#4,r,r,G4,G4,G4,r,r,r,r,r
0.5,0.2308,1,1.3333,G4,r,r,B4,B4,B4,r,r,r,r,r
0.75,0.3462,1,1.5,A4,r,r,B4,B4,B4,r,r,r,r,r
1.0,0.4615,1,1.6667,B4,r,r,D5,D5,D5,r,r,r,r,r
1.25,0.5769,1,1.8333,C5,r,r,D5,D5,D5,r,r,r,r,r
1.5,0.6923,1,2.0,D5,r,r,F#4,F#4,F#4,r,r,r,r,r
1.75,0.8077,1,2.1667,E5,r,r,F#4,F#4,F#4,r,r,r,r,r
2.0,0.9231,1,2.3333,D5,r,r,A4,A4,A4,r,r,r,r,r
2.25,1.0385,1,2.5,C5,r,r,A4,A4,A4,r,r,r,r,r
2.5,1.1538,1,2.6667,B4,r,r,D5,D5,D5,r,r,r,r,r
2.75,1.2692,1,2.8333,A4,r,r,D5,D5,D5,r,r,r,r,r
3.0,1.3846,1,3.0,B4,G4,r,G4,G4,G4,r,r,r,r,r
3.25,1.5,1,3.1667,B4,F#4,r,G4,G4,G4,r,r,r,r,r
3.5,1.6154,1,3.3333,D5,G4,r,B4,B4,B4,r,r,r,r,r
3.75,1.7308,1,3.5,D5,A4,r,B4,B4,B4,r,r,r,r,r
4.0,1.8462,1,3.6667,G5,B4,r,D5,D5,D5,r,r,r,r,r
4.25,1.9615,1,3.8333,G5,C5,r,D5,D5,D5,r,r,r,r,r
4.5,2.0769,1,4.0,F#5,D5,r,D4,D4,D4,r,r,r,r,r
4.75,2.1923,1,4.1667,G5,E5,r,D4,D4,D4,r,r,r,r,r
5.0,2.3077,1,4.3333,F#5,D5,r,A4,A4,A4,r,r,r,r,r
5.25,2.4231,1,4.5,E5,C5,r,A4,A4,A4,r,r,r,r,r
5.5,2.5385,1,4.6667,D5,B4,r,D5,D5,D5,r,r,r,r,r
5.75,2.6538,1,4.8333,C5,A4,r,D5,D5,D5,r,r,r,r,r
6.0,2.7692,2,1.0,B4,B4,G4,G4,G4,G4,r,r,r,r,r
6.25,2.8846,2,1.1667,B4,B4,F#4,F#4,F#4,F#4,r,r,r,r,r
6.5,3.0,2,1.3333,G4,D5,G4,G4,G4,G4,r,r,r,r,r
6.75,3.1154,2,1.5,G4,D5,A4,A4,A4,A4,r,r,r,r,r
7.0,3.2308,2,1.6667,D5,G5,B4,B4,B4,B4,r,r,r,r,r
7.25,3.3462,2,1.8333,D5,G5,C5,C5,C5,C5,r,r,r,r,r
7.5,3.4615,2,2.0,D5,F#5,D5,D5,D5,D5,r,r,r,r,r
7.75,3.5769,2,2.1667,D5,G5,E5,E5,E5,E5,r,r,r,r,r
8.0,3.6923,2,2.3333,D5,F#5,D5,D5,D5,D5,r,r,r,r,r
8.25,3.8077,2,2.5,D5,E5,C5,C5,C5,C5,r,r,r,r,r
8.5,3.9231,2,2.6667,D5,D5,B4,B4,B4,B4,r,r,r,r,r
8.75,4.0385,2,2.8333,D5,C5,A4,A4,A4,A4,r,r,r,r,r
9.0,4.1538,2,3.0,D5,B4,B4,G4,G4,G4,G3,G3,G3,G2,G3
9.25,4.2692,2,3.1667,D5,B4,B4,G4,G4,G4,F#3,F#3,F#3,F#2,F#3
9.5,4.3846,2,3.3333,D5,G4,D5,B4,B4,B4,G3,G3,G3,G2,G3
9.75,4.5,2,3.5,D5,G4,D5,B4,B4,B4,A3,A3,A3,A2,A3
10.0,4.6154,2,3.6667,D5,D5,G5,D4,D4,D4,B3,B3,B3,B2,B3
10.25,4.7308,2,3.8333,D5,D5,G5,D4,D4,D4,C4,C4,C4,C3,C4
10.5,4.8462,2,4.0,D5,D5,F#5,A4,A4,A4,D4,D4,D4,D3,D4
10.75,4.9615,2,4.1667,D5,D5,G5,A4,A4,A4,E4,E4,E4,E3,E4
11.0,5.0769,2,4.3333,D5,D5,F#5,C5,C5,C5,D4,D4,D4,D3,D4
11.25,5.1923,2,4.5,D5,D5,E5,C5,C5,C5,C4,C4,C4,C3,C4
11.5,5.3077,2,4.6667,D5,D5,D5,D4,D4,D4,B3,B3,B3,B2,B3
11.75,5.4231,2,4.8333,D5,D5,C5,D4,D4,D4,A3,A3,A3,A2,A3
12.0,5.5385,3,1.0,B5,D5,D5,B4,B4,B4,G3,G3,G3,G2,G3
12.25,5.6538,3,1.1667,C6,D5,E5,B4,B4,B4,F#3,F#3,F#3,F#2,F#3
12.5,5.7692,3,1.3333,B5,G5,D5,B4,B4,B4,G3,G3,G3,G2,G3
12.75,5.8846,3,1.5,A5,G5,C5,B4,B4,B4,A3,A3,A3,A2,A3
13.0,6.0,3,1.6667,G5,D5,B4,B4,B4,B4,B3,B3,B3,B2,B3
13.25,6.1154,3,1.8333,F#5,D5,A4,B4,B4,B4,G3,G3,G3,G2,G3
13.5,6.2308,3,2.0,E5,E5,G4,B4,B4,B4,C4,C4,C4,C3,C4
13.75,6.3462,3,2.1667,D5,F#5,G4,B4,B4,B4,D4,D4,D4,D3,D4
14.0,6.4615,3,2.3333,E5,E5,C5,B4,B4,B4,C4,C4,C4,C3,C4
14.25,6.5769,3,2.5,F#5,D5,C5,B4,B4,B4,B3,B3,B3,B2,B3
14.5,6.6923,3,2.6667,G5,C#5,G4,B4,B4,B4,A3,A3,A3,A2,A3
14.75,6.8077,3,2.8333,E5,B4,G4,B4,B4,B4,G3,G3,G3,G2,G3
15.0,6.9231,3,3.0,A5,C#5,A4,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
15.25,7.0385,3,3.1667,B5,C#5,D5,A4,A4,A4,E3,E3,E3,E2,E3
15.5,7.1538,3,3.3333,A5,F#5,C#5,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
15.75,7.2692,3,3.5,G5,F#5,B4,A4,A4,A4,G3,G3,G3,G2,G3
16.0,7.3846,3,3.6667,F#5,C#5,A4,A4,A4,A4,A3,A3,A3,A2,A3
16.25,7.5,3,3.8333,E5,C#5,G4,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
16.5,7.6154,3,4.0,D5,D5,F#4,A4,A4,A4,B3,B3,B3,B2,B3
16.75,7.7308,3,4.1667,C#5,E5,F#4,A4,A4,A4,C#4,C#4,C#4,C#3,C#4
17.0,7.8462,3,4.3333,D5,D5,B4,A4,A4,A4,B3,B3,B3,B2,B3
17.25,7.9615,3,4.5,E5,C#5,B4,A4,A4,A4,A3,A3,A3,A2,A3
17.5,8.0769,3,4.6667,F#5,B4,F#4,A4,A4,A4,G3,G3,G3,G2,G3
17.75,8.1923,3,4.8333,D5,A4,F#4,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
18.0,8.3077,4,1.0,G5,B4,G4,G4,G4,G4,E3,E3,E3,E2,E3
18.25,8.4231,4,1.1667,A5,B4,C5,G4,G4,G4,D3,D3,D3,D2,D3
18.5,8.5385,4,1.3333,G5,E5,B4,G4,G4,G4,E3,E3,E3,E2,E3
18.75,8.6538,4,1.5,F#5,E5,A4,G4,G4,G4,F#3,F#3,F#3,F#2,F#3
19.0,8.7692,4,1.6667,E5,B4,G4,G4,G4,G4,G3,G3,G3,G2,G3
19.25,8.8846,4,1.8333,D5,B4,F#4,G4,G4,G4,E3,E3,E3,E2,E3
19.5,9.0,4,2.0,C#5,C#5,E4,G4,G4,G4,A3,A3,A3,A2,A3
19.75,9.1154,4,2.1667,B4,C#5,E4,G4,G4,G4,B3,B3,B3,B2,B3
20.0,9.2308,4,2.3333,C#5,E5,A4,G4,G4,G4,A3,A3,A3,A2,A3
20.25,9.3462,4,2.5,D5,E5,A4,G4,G4,G4,G3,G3,G3,G2,G3
20.5,9.4615,4,2.6667,E5,A5,C#5,G4,G4,G4,F#3,F#3,F#3,F#2,F#3
20.75,9.5769,4,2.8333,C#5,A5,C#5,G4,G4,G4,E3,E3,E3,E2,E3
21.0,9.6923,4,3.0,D5,D5,D5,F#4,F#4,F#4,D3,D3,D3,D2,D3
21.25,9.8077,4,3.1667,D5,D5,D5,E4,F#4,F#4,D3,D3,D3,D2,D3
21.5,9.9231,4,3.3333,F#5,F#5,F#5,D4,A4,A4,D3,D3,D3,D2,D3
21.75,10.0385,4,3.5,F#5,F#5,F#5,E4,A4,A4,D3,D3,D3,D2,D3
22.0,10.1538,4,3.6667,A5,A5,A5,F#4,D5,D5,r,r,r,r,r
22.25,10.2692,4,3.8333,A5,A5,A5,G4,D5,D5,r,r,r,r,r
22.5,10.3846,4,4.0,C5,C#5,C#5,A4,E4,E4,A2,A2,A2,A1,A2
22.75,10.5,4,4.1667,C5,C#5,C#5,B4,E4,E4,A2,A2,A2,A1,A2
