qstamp_start,qstamp_end,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
646.5,648.5,,,Main Part,,,,,,
648.5,650.5,,Main Part,,,,,,,
650.5,652.5,,,Main Part,,,,,,
652.5,654.5,,Main Part,,,,,,,
654.5,660.5,,,Main Part,,,,,,
660.5,672.5,,Main Part,,,,,,,
672.5,674.5,,,Main Part,,,,U(Continuo),,U(Violoncello)
674.5,676.5,,Main Part,,,,,U(Continuo),,U(Violoncello)
676.5,678.5,,,Main Part,,,,U(Continuo),,U(Violoncello)
678.5,680.5,,Main Part,,,,,U(Continuo),,U(Violoncello)
680.5,684.5,,,Main Part,,,,U(Continuo),,U(Violoncello)
684.5,688.5,,Main Part,,,,,U(Continuo),,U(Violoncello)
688.5,696.0,U(Violin 1)&P3(Violin 2)&P8(Violone),,Main Part,U(Principal Violin)&P3(Violin 2)&P8(Violone),P3(Principal Violin)&P3(Violin 1)&P3(Violone),,U(Continuo),P8(Principal Violin)&P8(Violin 1)&P3(Violin 2),U(Violoncello)
696.0,712.0,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
712.0,720.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
720.0,728.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
728.0,752.0,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
752.0,768.0,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
768.0,776.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
776.0,784.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
784.0,809.0,Main Part,,,,P8(Viola)&P4(Violoncello)&P4(Violone)&P4(Continuo),P8(Violin 2)&P4(Violoncello)&P4(Violone)&P4(Continuo),P4(Violin 2)&P4(Viola)&P8(Violone)&U(Continuo),P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Continuo),P4(Violin 2)&P4(Viola)&U(Violoncello)&P8(Violone)
809.0,817.0,Main Part,,,U(Main),,,,,
817.0,824.0,U(Violin 1),U(Flute 2),U(Flute 1),U(Principal Violin),Main Part,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
824.0,832.0,U(Violin 1),U(Flute 2),U(Flute 1),U(Principal Violin),,,Main Part,P8(Main)&P8(Continuo),U(Main)&P8(Violone)
832.0,840.0,U(Violin 1),U(Flute 2),U(Flute 1),U(Principal Violin),,Main Part,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
840.0,856.0,U(Violin 1),U(Flute 2),U(Flute 1),U(Principal Violin),Main Part,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
856.0,864.0,U(Violin 1),U(Flute 2),U(Flute 1),U(Principal Violin),,Main Part,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
864.0,873.0,,,,,Main Part,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
873.0,881.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
881.0,889.0,,,,Main Part,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
889.0,896.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
896.0,898.0,Main Part,,P3(Violin 2)&P8(Viola),,P3(Flute 2)&P3(Viola),P8(Flute 2)&P3(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
898.0,917.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
917.0,925.0,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
925.0,933.0,Main Part,U(Flute 2),U(Flute 1),U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
933.0,952.0,Main Part,U(Flute 2),U(Flute 1),U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
952.0,972.0,U(Violin 1),Main Part,U(Main),U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
