qstamp,tstamp,measure,beat,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
0.0,0.0,1,1.0,r,r,r,r,r,D4,r,r,r
1.0,0.2609,1,1.5,r,r,r,r,r,D4,G3,r,G3
1.5,0.3913,1,1.75,r,r,r,r,r,D4,A3,r,A3
2.0,0.5217,1,2.0,r,r,r,r,r,G4,B3,r,B3
2.5,0.6522,1,2.25,r,r,r,r,r,G4,A3,r,A3
3.0,0.7826,1,2.5,r,r,r,r,r,G4,B3,r,B3
3.5,0.913,1,2.75,r,r,r,r,r,G4,G3,r,G3
4.0,1.0435,2,1.0,r,r,r,r,r,G4,A3,r,A3
4.5,1.1739,2,1.25,r,r,r,r,r,G4,G3,r,G3
5.0,1.3043,2,1.5,r,r,r,r,r,F#4,A3,r,A3
5.5,1.4348,2,1.75,r,r,r,r,r,G4,B3,r,B3
6.0,1.5652,2,2.0,r,r,r,r,r,A4,C4,r,C4
6.5,1.6957,2,2.25,r,r,r,r,r,A4,B3,r,B3
7.0,1.8261,2,2.5,r,r,r,r,r,G4,C4,r,C4
7.5,1.9565,2,2.75,r,r,r,r,r,F#4,A3,r,A3
8.0,2.087,3,1.0,r,r,r,r,r,G4,B3,r,B3
9.0,2.3478,3,1.5,r,r,r,r,r,D4,B3,r,B3
10.0,2.6087,3,2.0,r,r,r,r,r,E4,G3,r,G3
11.0,2.8696,3,2.5,r,r,r,r,r,B3,E3,r,E3
12.0,3.1304,4,1.0,r,r,r,r,r,C4,A3,r,A3
13.0,3.3913,4,1.5,r,r,r,r,r,A3,A3,r,A3
14.0,3.6522,4,2.0,r,r,r,r,r,D4,F#3,r,F#3
15.0,3.913,4,2.5,r,r,r,r,r,A3,D3,r,D3
16.0,4.1739,5,1.0,r,r,r,r,G4,B3,G3,r,G3
17.0,4.4348,5,1.5,r,r,r,r,G4,G3,B3,r,B3
17.5,4.5652,5,1.75,r,r,r,r,G4,A3,A3,r,A3
18.0,4.6957,5,2.0,r,r,r,r,D5,B3,G3,r,G3
19.0,4.9565,5,2.5,r,r,r,r,D5,C#4,F#3,r,F#3
19.5,5.087,5,2.75,r,r,r,r,D5,D4,F#3,r,F#3
20.0,5.2174,6,1.0,r,r,r,r,D5,E4,E3,r,E3
21.0,5.4783,6,1.5,r,r,r,r,C#5,F#4,E3,r,E3
21.5,5.6087,6,1.75,r,r,r,r,D5,F#4,E3,r,E3
22.0,5.7391,6,2.0,r,r,r,r,E5,G4,A3,r,A3
23.0,6.0,6,2.5,r,r,r,r,D5,A4,A3,r,A3
23.5,6.1304,6,2.75,r,r,r,r,C#5,A4,A3,r,A3
24.0,6.2609,7,1.0,r,r,r,r,D5,B4,D3,r,D3
25.0,6.5217,7,1.5,r,r,r,r,A4,C#5,D3,r,D3
26.0,6.7826,7,2.0,r,r,r,r,B4,D5,r,r,r
27.0,7.0435,7,2.5,r,r,r,r,F#4,D5,r,r,r
28.0,7.3043,8,1.0,r,r,r,r,G4,D5,r,r,r
29.0,7.5652,8,1.5,r,r,r,r,E4,D5,r,r,r
30.0,7.8261,8,2.0,r,r,r,r,A4,C#5,r,r,r
31.0,8.087,8,2.5,r,r,r,r,E4,C#5,r,r,r
32.0,8.3478,9,1.0,r,r,r,r,F#4,D5,r,r,r
33.0,8.6087,9,1.5,r,r,r,r,D4,D5,r,r,r
33.5,8.7391,9,1.75,r,r,r,r,E4,D5,r,r,r
34.0,8.8696,9,2.0,r,r,r,r,F#4,D4,r,r,r
35.0,9.1304,9,2.5,r,r,r,r,E4,D4,r,r,r
35.5,9.2609,9,2.75,r,r,r,r,D4,D4,r,r,r
36.0,9.3913,10,1.0,r,r,r,r,E4,D4,r,r,r
37.0,9.6522,10,1.5,r,r,r,r,F#4,D4,r,r,r
37.5,9.7826,10,1.75,r,r,r,r,G4,D4,r,r,r
38.0,9.913,10,2.0,r,r,r,r,A4,C4,r,r,r
39.0,10.1739,10,2.5,r,r,r,r,B4,C4,r,r,r
39.5,10.3043,10,2.75,r,r,r,r,C5,C4,r,r,r
40.0,10.4348,11,1.0,D5,r,r,D5,F#4,C4,r,r,r
41.0,10.6957,11,1.5,D5,r,r,D5,G4,C4,r,r,r
41.5,10.8261,11,1.75,D5,r,r,D5,A4,C4,r,r,r
42.0,10.9565,11,2.0,G5,r,r,G5,B4,B3,r,r,r
43.0,11.2174,11,2.5,G5,r,r,G5,A4,B3,r,r,r
43.5,11.3478,11,2.75,G5,r,r,G5,G4,B3,r,r,r
44.0,11.4783,12,1.0,G5,r,r,G5,C5,A3,r,r,r
45.0,11.7391,12,1.5,F#5,r,r,F#5,A4,A3,r,r,r
45.5,11.8696,12,1.75,G5,r,r,G5,B4,A3,r,r,r
46.0,12.0,12,2.0,A5,r,r,A5,C5,D4,r,r,r
47.0,12.2609,12,2.5,G5,r,r,G5,B4,D4,r,r,r
47.5,12.3913,12,2.75,F#5,r,r,F#5,A4,D4,r,r,r
48.0,12.5217,13,1.0,G5,r,r,G5,B4,G3,r,r,r
49.0,12.7826,13,1.5,D5,r,r,D5,B4,A3,r,r,r
49.5,12.913,13,1.75,D5,r,r,D5,B4,B3,r,r,r
50.0,13.0435,13,2.0,E5,r,r,E5,G4,C4,r,r,r
51.0,13.3043,13,2.5,B4,r,r,B4,G4,D4,r,r,r
51.5,13.4348,13,2.75,B4,r,r,B4,G4,E4,r,r,r
52.0,13.5652,14,1.0,C5,r,r,C5,G4,A3,r,r,r
53.0,13.8261,14,1.5,A4,r,r,A4,G4,B3,r,r,r
53.5,13.9565,14,1.75,A4,r,r,A4,G4,C4,r,r,r
54.0,14.087,14,2.0,D5,r,r,D5,F#4,D4,r,r,r
55.0,14.3478,14,2.5,A4,r,r,A4,A4,E4,r,r,r
55.5,14.4783,14,2.75,A4,r,r,A4,A4,F#4,r,r,r
56.0,14.6087,15,1.0,B4,r,r,B4,A4,G4,G3,G2,G3
57.0,14.8696,15,1.5,G4,r,r,G4,B4,D4,G3,G2,G3
57.5,15.0,15,1.75,A4,r,r,A4,A4,D4,G3,G2,G3
58.0,15.1304,15,2.0,B4,r,r,B4,G4,D4,D4,D3,D4
59.0,15.3913,15,2.5,C#5,r,r,C#5,F#4,E4,D4,D3,D4
59.5,15.5217,15,2.75,D5,r,r,D5,F#4,F#4,D4,D3,D4
60.0,15.6522,16,1.0,E5,r,r,E5,E4,G4,D4,D3,D4
61.0,15.913,16,1.5,F#5,r,r,F#5,E4,A4,C#4,C#3,C#4
61.5,16.0435,16,1.75,F#5,r,r,F#5,E4,B4,D4,D3,D4
62.0,16.1739,16,2.0,G5,r,r,G5,E5,C#4,E4,E3,E4
63.0,16.4348,16,2.5,A5,r,r,A5,E5,E4,D4,D3,D4
63.5,16.5652,16,2.75,A5,r,r,A5,E5,E4,C#4,C#3,C#4
64.0,16.6957,17,1.0,F#5,r,r,F#5,E5,A3,D4,D3,D4
65.0,16.9565,17,1.5,A5,r,r,A5,D5,A3,A3,A2,A3
65.5,17.087,17,1.75,A5,r,r,A5,C#5,A3,A3,A2,A3
66.0,17.2174,17,2.0,D5,r,r,D5,D5,F#4,B3,B2,B3
67.0,17.4783,17,2.5,D5,r,r,D5,A4,F#4,F#3,F#2,F#3
68.0,17.7391,18,1.0,D5,r,r,D5,B4,E4,G3,G2,G3
69.0,18.0,18,1.5,D5,r,r,D5,G4,E4,E3,E2,E3
70.0,18.2609,18,2.0,C#5,r,r,C#5,E4,E4,A3,A2,A3
71.0,18.5217,18,2.5,C#5,r,r,C#5,G4,E4,E3,E2,E3
72.0,18.7826,19,1.0,D5,r,r,D5,A4,D4,F#3,F#2,F#3
73.0,19.0435,19,1.5,A4,r,r,A4,F#4,A4,D3,D2,D3
73.5,19.1739,19,1.75,A4,r,r,A4,G4,G4,E3,E2,E3
74.0,19.3043,19,2.0,D5,r,r,D5,A4,F#4,F#3,F#2,F#3
75.0,19.5652,19,2.5,D5,r,r,D5,B4,E4,G#3,G#2,G#3
76.0,19.8261,20,1.0,D5,r,r,D5,B4,E4,A3,A2,A3
77.0,20.087,20,1.5,C5,r,r,C5,A4,E4,E3,E2,E3
77.5,20.2174,20,1.75,B4,r,r,B4,G#4,E4,E3,E2,E3
78.0,20.3478,20,2.0,C5,r,r,C5,A4,E4,A3,A2,A3
79.0,20.6087,20,2.5,D5,r,r,D5,B4,D4,A3,A2,A3
79.5,20.7391,20,2.75,D5,r,r,D5,B4,C4,A3,A2,A3
80.0,20.8696,21,1.0,E5,r,r,E5,E4,B3,A3,A2,A3
80.5,21.0,21,1.25,E5,r,r,E5,F#4,B3,A3,A2,A3
81.0,21.1304,21,1.5,B4,r,r,B4,G4,B4,G3,G2,G3
81.5,21.2609,21,1.75,B4,r,r,B4,A4,A4,F#3,F#2,F#3
82.0,21.3913,21,2.0,E5,r,r,E5,B4,G4,G3,G2,G3
83.0,21.6522,21,2.5,E5,r,r,E5,C5,F#4,A3,A2,A3
84.0,21.913,22,1.0,E5,r,r,E5,F#4,B4,B3,B2,B3
85.0,22.1739,22,1.5,D5,r,r,D5,F#4,B4,F#3,F#2,F#3
85.5,22.3043,22,1.75,C5,r,r,C5,F#4,B4,F#3,F#2,F#3
86.0,22.4348,22,2.0,D5,r,r,D5,F#4,B4,B3,B2,B3
87.0,22.6957,22,2.5,E5,r,r,E5,G4,C5,B3,B2,B3
87.5,22.8261,22,2.75,F#5,r,r,F#5,A4,C5,B3,B2,B3
88.0,22.9565,23,1.0,G5,G5,G5,G5,B4,D5,B3,B2,B3
89.0,23.2174,23,1.5,G5,G5,G5,G5,B4,B3,G2,G1,G2
89.5,23.3478,23,1.75,G5,G5,G5,G5,B4,C#4,A2,A1,A2
90.0,23.4783,23,2.0,F#5,D6,D6,F#5,B4,D4,B2,B1,B2
91.0,23.7391,23,2.5,F#5,D6,D6,F#5,B4,E4,C#3,C#2,C#3
91.5,23.8696,23,2.75,F#5,D6,D6,F#5,B4,F#4,D3,D2,D3
92.0,24.0,24,1.0,E5,D6,D6,E5,B4,G4,E3,E2,E3
93.0,24.2609,24,1.5,E5,C#6,C#6,E5,B4,G4,F#3,F#2,F#3
93.5,24.3913,24,1.75,E5,D6,D6,E5,B4,G4,F#3,F#2,F#3
94.0,24.5217,24,2.0,E5,E6,E6,E5,A4,C#4,G3,G2,G3
95.0,24.7826,24,2.5,E5,D6,D6,E5,A4,C#4,A3,A2,A3
95.5,24.913,24,2.75,E5,C#6,C#6,E5,A4,C#4,A3,A2,A3
96.0,25.0435,25,1.0,D5,D6,D6,D5,A4,B3,B3,B2,B3
97.0,25.3043,25,1.5,D5,A5,A5,D5,G4,E4,C#4,C#3,C#4
98.0,25.5652,25,2.0,r,B5,B5,r,F#4,D4,D4,D3,D4
98.5,25.6957,25,2.25,D5,B5,B5,D5,F#4,D4,D4,D3,D4
99.0,25.8261,25,2.5,C#5,F#5,F#5,C#5,B4,F#4,D4,D3,D4
99.5,25.9565,25,2.75,D5,F#5,F#5,D5,B4,F#4,D4,D3,D4
100.0,26.087,26,1.0,E5,G5,G5,E5,B4,E4,D4,D3,D4
100.5,26.2174,26,1.25,D5,G5,G5,D5,B4,E4,D4,D3,D4
101.0,26.3478,26,1.5,E5,E5,E5,E5,G4,B4,D4,D3,D4
101.5,26.4783,26,1.75,F#5,E5,E5,F#5,G4,B4,D4,D3,D4
102.0,26.6087,26,2.0,E5,A5,A5,E5,E4,A4,C#4,C#3,C#4
102.5,26.7391,26,2.25,F#5,A5,A5,F#5,E4,A4,C#4,C#3,C#4
103.0,26.8696,26,2.5,G5,E5,E5,G5,A4,A4,C#4,C#3,C#4
103.5,27.0,26,2.75,A5,E5,E5,A5,A4,A4,C#4,C#3,C#4
104.0,27.1304,27,1.0,F#5,F#5,F#5,F#5,A4,D4,D4,D3,D4
105.0,27.3913,27,1.5,A5,D5,D5,A5,F#4,D4,C#4,C#3,C#4
