qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,3.0,P8(Oboe 1)&P8(Bb Clarinet 1),,P8(Flute 1)&U(Bb Clarinet 1),,P8(Flute 1)&U(Oboe 1),,,,Main Part,,,,,,,,,,,,,,,,
3.0,12.0,P8(Bb Clarinet 1),,,,P8(Flute 1),,,,Main Part,,,,,,,,,,,,,,,,
12.0,15.0,Main Part,,P8(Main)&U(Bb Clarinet 1),,P8(Main)&U(Oboe 1),,,,,,,,,,,,,,,,,,,,
15.0,24.0,Main Part,,,,P8(Main),,,,,,,,,,,,,,,,,,,,
24.0,27.0,P8(Oboe 1)&P8(Bb Clarinet 1),,P8(Flute 1)&U(Bb Clarinet 1),,P8(Flute 1)&U(Oboe 1),,,,Main Part,,,,,,,,,,,,,,,,
27.0,34.5,,,,,,,,,Main Part,,,,,,,,,,,,,,,,
34.5,36.0,Main Part,,,,P8(F Horn 1),,,,P8(Bb Clarinet 1),,,,,,,,,,,,,,,,
36.0,40.0,Main Part,,,,,,,,,,,,,,,,,,,,,P7(Viola),P7(Violin 2),,
40.0,43.0,,,,,,,,,Main Part,,,,,,,,,,,,P7(Violin 2)&P8(Viola),P7(Violin 1)&P7(Viola),P8(Violin 1)&P7(Violin 2),P8(Contrabass),P8(Violoncello)
43.0,68.0,,,U(Oboe 2),U(Oboe 1),,,,,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
68.0,80.0,U(Flute 2),U(Flute 1),,,Main Part,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
80.0,89.0,,,,,Main Part,U(Main)&U(Bassoon 1)&U(Bassoon 2),U(Main)&U(Bb Clarinet 2)&U(Bassoon 2),U(Main)&U(Bb Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,,,,,,
89.0,101.0,Main Part,,,,U(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2),U(Bb Clarinet 1)&U(Bassoon 1)&U(Bassoon 2),U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 2),U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,,,,,,
101.0,109.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,,
109.0,114.0,,,,,,,,,,,,,,,,,,,,,Main Part,,,,
114.0,121.0,P4(Flute 2),P4(Flute 1),,,,,,,,,,,,,,,,,,,Main Part,,,,
121.0,125.0,,,,,,,,,,,,,,,,,,,,,Main Part,,,,
125.0,129.0,P4(Flute 2),P4(Flute 1),,,,,,,U(F Horn 2),U(F Horn 1),,,,,,,,,,,Main Part,,,,
129.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,Main Part,
