qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
89.0,95.0,P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1),P3(Bassoon 2)&P8(Eb Horn 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1),P8(Flute 1)&P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1),P8(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&U(Eb Horn 1),P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Eb Horn 1),P3(Flute 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1),P8(Flute 2)&P3(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,,P3(Flute 2)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Violoncello)&P8(Contrabass),P3(Flute 2)&U(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Viola)&P8(Contrabass),P3(Flute 2)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P8(Viola)&P8(Violoncello)
95.0,98.0,P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P8(Violin 2),P3(Bassoon 2)&P8(Eb Horn 2)&P8(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P3(Violin 2),P8(Flute 1)&P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P8(Violin 2),P8(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P8(Violin 2),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&U(Eb Horn 1)&P3(Violin 2),P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Eb Horn 1)&U(Violin 2),P3(Flute 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Violin 2),P8(Flute 2)&P3(Bassoon 2)&P8(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P3(Eb Horn 1),P3(Flute 2)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Flute 2)&U(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Viola)&P8(Contrabass),P3(Flute 2)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Viola)&P8(Violoncello)
98.0,101.0,P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P3(Eb Horn 1)&P8(Violin 2),P3(Bassoon 2)&P8(Eb Horn 2)&P8(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Eb Horn 1)&P3(Violin 2),P8(Flute 1)&P3(Oboe 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P3(Eb Horn 1)&P8(Violin 2),P8(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P8(Violin 2),,P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Eb Horn 1)&U(Violin 2),P3(Flute 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Violin 2),P8(Flute 2)&P3(Bassoon 2)&P8(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P3(Eb Horn 1),P3(Flute 2)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Flute 2)&U(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Viola)&P8(Contrabass),P3(Flute 2)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Eb Horn 3)&P3(Main)&P8(Viola)&P8(Violoncello)
101.0,108.0,P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&U(Main),P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 2)&P8(Main),P8(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet 1),P8(Oboe 1),P3(Eb Horn 2),P3(Eb Horn 1),,U(Bb Trumpet 2)&P8(Timpani),U(Bb Trumpet 1)&P8(Timpani),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
108.0,119.0,P8(Eb Horn 3),,P8(Oboe 2),P8(Oboe 1),P8(Bassoon 1)&P8(Bassoon 2),,P8(Bb Clarinet 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Viola),,P8(Flute 1),U(Bb Trumpet 2)&P8(Violoncello)&P8(Contrabass),U(Bb Trumpet 1)&P8(Violoncello)&P8(Contrabass),,Main Part,,P8(Eb Horn 1),P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Contrabass),P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Violoncello)
119.0,125.0,P8(Bb Clarinet 1)&P3(Timpani)&P3(Main)&P8(Violin 2),P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2),,P3(Eb Horn 3),P8(Flute 1)&P3(Timpani)&P3(Main)&U(Violin 2),P8(Flute 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2),U(Viola),P8(Violoncello)&P8(Contrabass),P3(Flute 2)&P3(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),P3(Flute 2)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P3(Oboe 2),P3(Flute 2)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 2),P3(Flute 2)&P3(Bb Clarinet 2)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 1),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Main)&P3(Violin 2),Main Part,P8(Flute 1)&U(Bb Clarinet 1)&P3(Timpani)&P3(Main),U(Bassoon 1),P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
125.0,129.0,P8(Bb Clarinet 1),P3(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Main)&P8(Viola),,P3(Flute 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Main)&P3(Violin 2)&P3(Viola),P8(Flute 1),P8(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Main)&P8(Viola),P8(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 2)&P3(Main)&U(Viola),,P8(Eb Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),P8(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Timpani),,P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 2)&P8(Timpani),U(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Timpani),P8(Eb Horn 1)&U(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,P3(Oboe 2)&P3(Main),P8(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 2)&U(Bassoon 1)&P3(Main),P8(Contrabass),P8(Violoncello)
129.0,133.0,P8(Bb Clarinet 1)&U(Main),P8(Bb Clarinet 2)&P8(Bassoon 1),,,P8(Flute 1)&P8(Main),P8(Flute 2)&P8(Bassoon 1),P8(Flute 2)&P8(Bb Clarinet 2),,P8(Eb Horn 2)&U(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 3)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),U(Eb Horn 1)&P8(Eb Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Bb Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Horn 3)&P8(Bb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
133.0,136.0,,,,,,,,,,,,,,,Main Part,,,,
136.0,139.0,,,,,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
