score_qstamp,qstamp,measure,beat,246970_tstamp,831988_tstamp,728900_tstamp,728913_tstamp,728891_tstamp,728895_tstamp,729159_tstamp,728920_tstamp,736745_tstamp,728955_tstamp,728954_tstamp,728933_tstamp,728925_tstamp,728905_tstamp,728909_tstamp,728942_tstamp,728956_tstamp,728960_tstamp
0.0,0.0,1,1.0,0.26,0.26,2.04,1.28,2.72,1.28,1.0,1.08,4.82,1.56,1.0,2.46,0.72,2.48,4.0,1.06,0.76,1.02
3.0,3.0,2,1.0,1.48,1.48,3.04,3.94,3.8,2.84,2.06,2.6,6.24,2.64,2.04,3.9,2.3,3.36,5.28,2.04,2.04,2.18
6.0,6.0,3,1.0,2.86,2.86,4.32,5.96,5.18,4.3,3.06,4.3,8.12,4.24,3.3,6.74,4.04,6.24,6.78,3.76,5.14,3.74
8.0,8.0,3,3.0,3.5267,3.5267,6.5467,6.6267,7.2067,5.3467,5.7867,5.0068,8.7867,6.4267,5.3867,7.4067,4.9267,6.9267,7.5667,6.0467,5.8067,6.4268
9.0,9.0,4,1.0,3.9,3.88,6.88,6.98,7.54,5.68,6.12,5.38,9.12,6.8,5.72,7.74,5.26,7.26,7.92,6.44,6.14,6.8
11.0,11.0,4,3.0,4.7934,4.7934,7.6867,7.8267,8.4067,6.7667,6.7867,6.1667,10.1467,7.6401,6.5267,8.6067,6.1467,7.9867,8.7467,7.3867,6.8067,7.7867
12.0,12.0,5,1.0,5.16,5.16,8.02,8.16,8.74,7.1,7.16,6.5,10.48,8.02,6.86,8.94,6.62,8.32,9.08,7.72,7.14,8.12
13.0,13.0,5,2.0,5.5333,5.5333,8.5333,8.6066,9.0733,7.6333,7.4933,6.9531,11.0865,8.3933,7.3399,9.4732,7.0733,8.7933,9.5933,8.0533,7.6133,8.6133
14.0,14.0,5,3.0,5.9067,5.9067,8.8667,8.9467,9.4067,8.0067,7.8267,7.3267,11.4467,8.8467,7.6867,9.8267,7.4067,9.1267,9.9267,8.3867,7.9467,9.0067
15.0,15.0,6,1.0,6.26,6.26,9.2,9.4,9.74,8.34,8.16,7.66,11.78,9.18,8.02,10.16,7.74,9.46,10.26,8.72,8.3,9.34
17.0,17.0,6,3.0,7.1136,7.1136,9.9736,10.2004,10.5869,9.2603,8.8267,8.5334,12.8671,9.9601,8.8468,11.0336,8.6135,10.2003,11.2203,9.5669,9.2339,10.367
18.0,18.0,7,1.0,7.6,7.6,10.62,10.72,11.0,9.96,9.3,9.04,13.38,10.52,9.4,11.46,9.1,10.76,11.76,10.0,9.84,11.02
18.5,18.5,7,1.5,7.7667,7.7667,10.8067,10.9067,11.1667,10.1602,9.4667,9.2067,13.5467,10.7667,9.5667,11.9067,9.3267,10.9267,11.9467,10.1667,10.0067,11.1867
19.5,19.5,7,2.5,8.12,8.12,11.14,11.28,11.5,10.58,9.8,9.54,13.88,11.1,9.9,12.36,9.66,11.26,12.28,10.5,10.34,11.52
20.5,20.5,7,3.5,8.4533,8.4533,11.4933,11.6133,11.8333,10.9533,10.1333,9.8733,14.2133,11.4333,10.2333,12.6933,9.9933,11.5933,12.6133,10.8333,10.6733,11.8733
21.0,21.0,8,1.0,8.62,8.62,11.66,11.78,12.0,11.12,10.3,10.06,14.4,11.62,10.4,12.86,10.16,11.76,12.78,11.02,10.84,12.06
21.5,21.5,8,1.5,8.8067,8.8067,11.8267,12.0667,12.4134,11.2934,10.4867,10.2267,14.8068,11.8067,10.5667,13.0267,10.3267,11.9267,13.1068,11.2801,11.0867,12.2667
22.5,22.5,8,2.5,9.14,9.14,12.18,12.42,12.78,11.68,10.82,10.58,15.3,12.16,10.9,13.4,10.74,12.26,13.48,11.64,11.42,12.62
23.5,23.5,8,3.5,9.5133,9.5133,12.5533,12.8133,13.1533,12.0533,11.1533,11.0133,15.6533,12.5133,11.2333,13.7533,11.1466,12.5933,13.8533,11.9733,11.7533,12.9733
24.0,24.0,9,1.0,9.88,9.88,12.72,12.98,13.32,12.22,11.32,11.2,15.98,12.68,11.4,13.92,11.6,12.76,14.12,12.14,11.92,13.36
24.5,24.5,9,1.5,10.1467,10.1467,13.0467,13.1467,13.5267,12.6467,11.4867,11.6667,16.5334,12.8667,11.6867,14.1267,11.8067,13.0067,14.3267,12.5067,12.2467,13.9467
25.0,25.0,9,2.0,10.3266,10.3266,13.2133,13.3666,13.7133,12.8133,11.6533,11.8333,16.7133,13.0733,11.8733,14.2933,12.0333,13.1733,14.4933,12.6733,12.4133,14.1133
25.5,25.5,9,2.5,10.58,10.58,13.38,13.6,13.98,13.0,11.84,12.06,16.94,13.28,12.04,14.48,12.26,13.48,14.68,12.84,12.7,14.32
26.0,26.0,9,3.0,10.7801,10.7801,13.5667,13.9067,14.1667,13.1667,12.0067,12.2267,17.1067,13.4867,12.2067,14.6467,12.4669,13.6467,14.8801,13.0067,12.8667,14.4867
26.5,26.5,9,3.5,10.9933,10.9933,13.8066,14.0933,14.3333,13.5333,12.1933,12.3933,17.2733,13.6533,12.3733,14.8333,12.7133,13.8533,15.0733,13.2333,13.1533,14.7399
27.0,27.0,10,1.0,11.16,11.16,13.98,14.3,14.52,13.74,12.36,12.56,17.44,13.82,12.64,15.0,12.88,14.02,15.24,13.4,13.32,14.92
27.5,27.5,10,1.5,11.4067,11.4067,14.4467,14.8267,14.9067,13.9467,12.5867,12.9867,17.7335,14.2267,13.0067,15.2867,13.0467,14.3867,15.5267,13.7867,13.5267,15.2402
28.0,28.0,10,2.0,11.5933,11.5933,14.6133,14.9933,15.0733,14.1133,12.7533,13.1533,17.9733,14.4333,13.1733,15.4533,13.2133,14.5533,15.6933,13.9533,13.8733,15.4733
28.5,28.5,10,2.5,11.78,11.78,14.8,15.16,15.24,14.28,12.92,13.34,18.14,14.6,13.34,15.64,13.38,14.72,15.86,14.12,14.04,15.7
29.0,29.0,10,3.0,12.0467,12.0467,14.9667,15.3267,15.4067,14.4467,13.0867,13.5067,18.3334,14.7867,13.5067,15.8067,13.5467,14.8867,16.0267,14.2867,14.2867,15.8667
29.5,29.5,10,3.5,12.2133,12.2133,15.1333,15.4933,15.5733,14.6133,13.2533,13.6733,18.5133,14.9533,13.6733,15.9733,13.7133,15.0533,16.1933,14.4533,14.4533,16.0333
30.0,30.0,11,1.0,12.38,12.38,15.3,15.66,15.78,14.78,13.42,13.84,18.68,15.16,13.84,16.14,13.88,15.24,16.36,14.62,14.62,16.2
30.5,30.5,11,1.5,12.5467,12.5467,15.6467,15.9667,16.0601,15.1667,13.7267,14.2467,19.2136,15.4267,14.0467,16.7267,14.0467,15.5067,16.9534,14.8267,14.9067,16.6267
31.0,31.0,11,2.0,12.7133,12.7133,15.8333,16.1333,16.2533,15.3333,13.8933,14.4133,19.4733,15.5933,14.2133,16.8933,14.2133,15.6733,17.1333,14.9933,15.1533,16.7933
32.0,32.0,11,3.0,12.9867,12.9867,16.1667,16.4667,16.5867,15.5467,14.2267,14.7467,19.8067,15.9267,14.6201,17.2267,14.5467,16.0334,17.4667,15.3667,15.4867,17.3467
32.5,32.5,11,3.5,13.0096,13.0096,16.3333,16.6333,16.7533,15.7133,14.3933,14.9133,19.9733,16.0933,14.8533,17.3933,14.7133,16.3066,17.6333,15.5333,15.6533,17.5133
33.0,33.0,12,1.0,13.02,13.02,16.54,16.8,16.94,15.84,14.56,15.1,20.14,16.26,15.02,17.56,14.84,16.48,17.8,15.5409,15.82,17.68
33.5,33.5,12,1.5,13.1267,13.1267,16.7667,17.0267,17.1334,15.8504,14.7267,15.4267,20.3934,16.4867,15.1934,17.7267,15.0067,16.6667,18.1067,15.5418,16.0667,17.8867
34.0,34.0,12,2.0,13.2804,13.2804,16.9533,17.2465,17.3533,15.8733,14.8933,15.5933,20.6133,16.6733,15.3933,17.8933,15.1733,16.8333,18.2733,15.5427,16.2733,18.0733
34.5,34.5,12,2.5,13.2855,13.2855,17.2,17.48,17.56,15.885,15.06,15.78,20.8,16.9,15.56,18.2,15.19,17.08,18.52,15.5436,16.46,18.34
35.0,35.0,12,3.0,13.2905,13.2905,17.3734,17.6467,17.7267,15.8902,15.2468,15.9802,21.0069,17.0667,15.7334,18.3667,15.2004,17.2467,18.7068,15.5445,16.6535,18.6005
35.5,35.5,12,3.5,13.2956,13.2956,17.5733,17.8133,17.9133,15.8954,15.4533,16.2133,21.2733,17.2333,15.9333,18.5533,15.2102,17.4333,18.9133,15.5454,16.8733,18.9533
36.0,36.0,13,1.0,13.32,13.32,17.76,18.1,18.12,15.92,15.62,16.38,21.44,17.4,16.1,18.76,15.22,17.6,19.08,15.5463,17.04,19.12
36.5,36.5,13,1.5,13.4244,13.4244,17.9867,18.3467,18.3067,15.9234,15.7867,16.6867,21.6867,17.6667,16.2801,18.9267,15.2473,17.8667,19.3067,15.5472,17.2667,19.2867
37.0,37.0,13,2.0,13.4356,13.4356,18.2133,18.5133,18.5066,15.9268,15.9533,16.8533,21.8733,17.8333,16.4933,19.1133,15.2557,18.0333,19.4733,15.5481,17.4666,19.4533
37.5,37.5,13,2.5,13.54,13.54,18.46,18.68,18.7,15.9302,16.12,17.02,22.1,18.0,16.68,19.3,15.34,18.24,19.7,15.549,17.68,19.66
38.0,38.0,13,3.0,13.5817,13.5817,18.6467,18.9267,18.8667,15.9336,16.3067,17.2467,22.4067,18.1667,16.8867,19.4667,15.5067,18.4067,19.8667,15.5499,17.9401,19.9536
38.5,38.5,13,3.5,13.584,13.584,18.8133,19.0933,19.1333,15.937,16.4733,17.4133,22.5733,18.3533,17.1133,19.6799,15.6733,18.5866,20.0533,15.5508,18.1333,20.2333
39.0,39.0,14,1.0,13.5862,13.5862,18.98,19.26,19.34,15.9404,16.64,17.58,22.82,18.56,17.28,19.86,15.84,18.8,20.28,15.5517,18.3,20.4
39.5,39.5,14,1.5,13.5885,13.5885,19.2867,19.6667,19.5267,15.9438,16.8867,17.9267,23.1268,18.7667,17.5001,20.2667,16.0067,19.0267,20.5667,15.5526,18.5867,20.6267
40.0,40.0,14,2.0,13.5907,13.5907,19.4533,19.8733,19.7333,15.9472,17.0533,18.0933,23.3533,18.9533,17.7533,20.4533,16.1733,19.1933,20.7466,15.5535,18.7533,20.8266
40.5,40.5,14,2.5,13.593,13.593,19.74,20.1,20.04,15.9506,17.22,18.34,23.58,19.22,17.92,20.7,16.34,19.44,20.98,15.5544,18.96,21.12
41.0,41.0,14,3.0,13.5952,13.5952,19.9134,20.2667,20.2067,15.954,17.3867,18.5335,23.807,19.4001,18.0867,20.8667,16.5067,19.6067,21.2134,15.5553,19.1801,21.3403
41.5,41.5,14,3.5,13.5975,13.5975,20.0933,20.4533,20.3733,15.9574,17.5533,18.7733,24.0933,19.5933,18.2533,21.1533,16.6733,19.8133,21.4533,15.5562,19.4133,21.6333
42.0,42.0,15,1.0,13.5997,13.5997,20.26,20.64,20.54,16.0,17.72,18.94,24.28,19.76,18.48,21.32,16.84,20.0,21.64,15.5571,19.74,21.8
42.5,42.5,15,1.5,13.6009,13.6009,20.8667,21.0067,21.2267,16.0607,17.9267,19.7267,24.4667,20.0267,18.8067,21.7467,17.0067,20.2267,22.1067,15.558,19.9067,22.3667
