qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
2.0,0.9091,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D3
4.0,1.8182,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E3
6.0,2.7273,1,4.0,r,r,r,r,r,r,r,r,r,r,A3,r,r,A3,F#3,F#3
8.0,3.6364,2,1.0,r,r,r,r,r,r,r,r,r,r,B3,r,r,B3,G3,G3
10.0,4.5455,2,2.0,r,r,r,r,r,r,r,r,r,r,C#4,r,r,C#4,F#3,F#3
11.0,5.0,2,2.5,r,r,r,r,r,r,r,r,r,r,C#4,r,r,C#4,E3,E3
12.0,5.4545,2,3.0,r,r,r,r,r,r,r,r,r,r,D4,r,r,D4,F#3,F#3
13.0,5.9091,2,3.5,r,r,r,r,r,r,r,r,r,r,D4,r,r,D4,D3,D3
14.0,6.3636,2,4.0,r,r,r,r,r,D4,r,D4,r,D4,C#4,r,D4,C#4,G3,G3
15.0,6.8182,2,4.5,r,r,r,r,r,D4,r,D4,r,D4,B3,r,D4,B3,G3,G3
16.0,7.2727,3,1.0,r,r,r,r,r,E4,r,E4,r,E4,C#4,r,E4,C#4,G3,G3
17.0,7.7273,3,1.5,r,r,r,r,r,E4,r,E4,r,E4,A3,r,E4,A3,G3,G3
18.0,8.1818,3,2.0,r,r,r,r,A4,F#4,A4,F#4,A4,F#4,D4,A4,F#4,D4,F#3,F#3
20.0,9.0909,3,3.0,r,r,r,r,B4,G4,B4,G4,B4,G4,D4,B4,G4,D4,E3,E3
22.0,10.0,3,4.0,r,r,r,r,C#5,F#4,C#5,F#4,C#5,F#4,C#4,C#5,F#4,C#4,E3,E3
23.0,10.4545,3,4.5,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,C#4,C#5,E4,C#4,E3,E3
24.0,10.9091,4,1.0,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,B3,D5,F#4,B3,D3,D3
25.0,11.3636,4,1.5,r,r,r,r,D5,D4,D5,D4,D5,D4,B3,D5,D4,B3,D3,D3
26.0,11.8182,4,2.0,r,r,r,r,C#5,G4,C#5,G4,C#5,G4,B3,C#5,G4,B3,D3,D3
27.0,12.2727,4,2.5,r,r,r,r,B4,G4,B4,G4,B4,G4,B3,B4,G4,B3,D3,D3
28.0,12.7273,4,3.0,r,r,r,r,C#5,G4,C#5,G4,C#5,G4,A3,C#5,G4,A3,r,A3
29.0,13.1818,4,3.5,r,r,r,r,A4,G4,A4,G4,A4,G4,A3,A4,G4,A3,r,A3
30.0,13.6364,4,4.0,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,A3,D5,F#4,A3,r,A3
32.0,14.5455,5,1.0,r,r,r,r,D5,E4,D5,E4,D5,E4,r,D5,E4,r,r,E4
34.0,15.4545,5,2.0,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,r,C#5,E4,r,A3,A3
36.0,16.3636,5,3.0,r,r,r,r,B4,D4,B4,D4,B4,D4,r,B4,D4,r,A3,A3
37.0,16.8182,5,3.5,r,r,r,r,B4,D4,B4,D4,B4,D4,r,B4,D4,r,A3,A3
38.0,17.2727,5,4.0,r,r,r,r,B4,D4,B4,D4,B4,D4,D4,B4,D4,D4,G#3,G#3
39.0,17.7273,5,4.5,r,r,r,r,B4,D4,B4,D4,B4,D4,D4,B4,D4,D4,G#3,G#3
40.0,18.1818,6,1.0,r,r,r,r,A4,r,A4,r,A4,r,D4,A4,r,D4,A3,A3
41.0,18.6364,6,1.5,r,r,r,r,A4,r,A4,r,A4,r,D4,A4,r,D4,G3,G3
41.5,18.8636,6,1.75,r,r,r,r,A4,r,A4,r,A4,r,D4,A4,r,D4,F#3,F#3
42.0,19.0909,6,2.0,r,r,r,r,A4,r,A4,r,A4,r,C#4,A4,r,C#4,E3,E3
42.5,19.3182,6,2.25,r,r,r,r,A4,r,A4,r,A4,r,C#4,A4,r,C#4,F#3,F#3
