qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,F Horn 1,F Horn 2,C Horn 3,C Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Triangle,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,C7,C6,C6,C6,E5,E5,C5,C3,C3,C2,C5,C4,G4,E4,C5,C4,C3,r,C6,E5,C5,C3,C2
0.5,0.25,1,1.5,B6,B5,B5,B5,G5,G5,B4,E3,E3,E2,r,r,G4,E4,r,r,r,r,B5,G5,B4,E3,E2
1.0,0.5,1,2.0,A6,A5,A5,A5,C5,F5,A4,F3,F3,F2,r,r,F4,C4,r,r,r,r,A5,C5,A4,F3,F2
1.5,0.75,1,2.5,G6,G5,G5,G5,B4,D5,B4,G3,G3,G2,r,r,D4,G3,r,r,r,r,G5,B4,G4,G3,G2
2.0,1.0,2,1.0,F6,F5,F5,F5,C5,F5,C5,A3,A3,A2,r,r,F4,C4,r,r,r,r,F5,C5,F4,A3,A2
3.0,1.5,2,2.0,G6,G5,G5,G5,B4,D5,B4,G3,G3,G2,r,r,D4,G3,r,r,r,r,G5,B4,D4,G3,G2
4.0,2.0,3,1.0,C7,C6,C6,C6,E5,E5,C5,C3,C3,C2,C5,C4,G4,E4,C5,C4,C3,r,C6,E5,C5,C3,C2
4.5,2.25,3,1.5,B6,B5,B5,B5,G5,G5,B4,E3,E3,E2,r,r,G4,E4,r,r,r,r,B5,G5,B4,E3,E2
5.0,2.5,3,2.0,A6,A5,A5,A5,C5,F5,A4,F3,F3,F2,r,r,F4,C4,r,r,r,r,A5,C5,A4,F3,F2
5.5,2.75,3,2.5,F6,F5,F5,F5,D5,F5,A4,D3,D3,D2,r,r,F4,D4,r,r,r,r,F5,D5,A4,D3,D2
6.0,3.0,4,1.0,D6,D5,D5,D5,B4,D5,B4,G3,G3,G2,r,r,D4,G3,r,r,r,r,D5,B4,B4,G3,G2
7.0,3.5,4,2.0,E6,E5,E5,E5,G4,B4,B3,E3,E3,E2,r,r,E4,G3,r,r,r,r,E5,G4,G4,E3,E2
8.0,4.0,5,1.0,r,r,r,r,r,A3,F3,A2,F2,F1,F3,F2,A3,A3,r,r,F2,r,A3,A3,A3,F2,F1
10.0,5.0,6,1.0,r,r,r,r,r,A3,F3,A2,F2,F1,F3,F2,A3,A3,r,r,F2,r,A3,A3,A3,F2,F1
11.0,5.5,6,2.0,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,A5,D5,B4,F3,F2
11.25,5.625,6,2.25,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,A5,D5,B4,F3,F2
11.5,5.75,6,2.5,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,A5,D5,B4,F3,F2
12.0,6.0,7,1.0,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,G5,E5,G4,E3,E2
12.25,6.125,7,1.25,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,G5,E5,G4,E3,E2
12.5,6.25,7,1.5,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,G5,E5,G4,E3,E2
13.0,6.5,7,2.0,E6,C6,C6,E5,C5,G4,E4,G3,E3,r,r,r,E4,C4,C5,C4,C3,r,E5,G4,E4,C3,C2
13.25,6.625,7,2.25,E6,C6,C6,E5,C5,G4,E4,G3,E3,r,r,r,E4,C4,C5,C4,C3,r,C5,G4,E4,C3,C2
13.5,6.75,7,2.5,E6,C6,C6,E5,C5,G4,E4,G3,E3,r,r,r,E4,C4,C5,C4,C3,r,E5,G4,E4,C3,C2
13.75,6.875,7,2.75,E6,C6,C6,E5,C5,G4,E4,G3,E3,r,r,r,E4,C4,C5,C4,C3,r,G5,G4,E4,C3,C2
14.0,7.0,8,1.0,D6,B5,B5,D5,B4,B4,D4,B3,G3,r,r,r,G4,G3,G4,G3,G2,r,D5,B4,G4,G3,G2
14.25,7.125,8,1.25,D6,B5,B5,D5,B4,B4,D4,B3,G3,r,r,r,G4,G3,G4,G3,G2,r,D5,B4,G4,G3,G2
14.5,7.25,8,1.5,D6,B5,B5,D5,B4,B4,D4,B3,G3,r,r,r,G4,G3,G4,G3,G2,r,D5,B4,G4,G3,G2
15.0,7.5,8,2.0,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,A5,D5,B4,F3,F2
15.25,7.625,8,2.25,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,F5,D5,B4,F3,F2
15.5,7.75,8,2.5,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,A5,D5,B4,F3,F2
15.75,7.875,8,2.75,A6,B5,B5,A5,B4,D5,B4,D4,B3,r,A4,F4,r,r,D5,B4,F2,r,D6,D5,B4,F3,F2
16.0,8.0,9,1.0,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,G5,E5,G4,E3,E2
16.25,8.125,9,1.25,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,E5,E5,G4,E3,E2
16.5,8.25,9,1.5,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,G5,E5,G4,E3,E2
16.75,8.375,9,1.75,G6,C6,C6,G5,C5,E5,C5,E4,C4,r,C5,C4,r,r,G4,G4,C3,r,C6,E5,G4,E3,E2
17.0,8.5,9,2.0,E6,C6,C6,E5,C5,A4,F#4,A3,F#3,r,r,r,E4,C4,C5,C4,C3,r,E5,A4,F#4,C3,C2
17.25,8.625,9,2.25,E6,C6,C6,E5,C5,A4,F#4,A3,F#3,r,r,r,E4,C4,C5,C4,C3,r,C5,A4,F#4,C3,C2
17.5,8.75,9,2.5,E6,C6,C6,E5,C5,A4,F#4,A3,F#3,r,r,r,E4,C4,C5,C4,C3,r,E5,A4,F#4,C3,C2
17.75,8.875,9,2.75,E6,C6,C6,E5,C5,A4,F#4,A3,F#3,r,r,r,E4,C4,C5,C4,C3,r,A5,A4,F#4,C3,C2
18.0,9.0,10,1.0,D6,B5,B5,D5,B4,B4,G4,B3,G3,r,r,r,D4,G3,G4,G3,G2,r,D5,B4,D4,G3,G2
18.25,9.125,10,1.25,D6,B5,B5,D5,B4,B4,G4,B3,G3,r,r,r,D4,G3,G4,G3,G2,r,D5,B4,D4,G3,G2
18.5,9.25,10,1.5,D6,B5,B5,D5,B4,B4,G4,B3,G3,r,r,r,r,r,r,r,G2,r,D5,B4,D4,G3,G2
19.0,9.5,10,2.0,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,G3,G2,G1
19.1667,9.5833,10,2.1667,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,E-3,B-2,G1
19.3333,9.6667,10,2.3333,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,E-3,B-2,G1
19.5,9.75,10,2.5,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,B-3,G3,G1
19.6667,9.8333,10,2.6667,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,E-4,B-3,G1
19.8333,9.9167,10,2.8333,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,E-4,B-3,G1
20.0,10.0,11,1.0,G6,E-6,E-6,G5,E-5,G5,B-4,G3,G2,G1,G4,E-4,G4,B-3,E-5,G4,G2,r,G5,E-5,B-4,G4,G1
21.0,10.5,11,2.0,F6,D6,D6,F5,D5,F5,D5,B-3,B-2,B-1,F4,D4,F4,B-3,B-4,B-4,r,r,F5,D5,B-4,B-2,B-1
21.3333,10.6667,11,2.3333,E-6,B-5,B-5,E-5,B-4,E-5,B-4,B-3,B-2,B-1,E-4,E-4,E-4,B-3,B-4,B-4,r,r,E-5,B-4,B-4,B-2,B-1
21.6667,10.8333,11,2.6667,F6,D6,D6,F5,D5,F5,D5,B-3,B-2,B-1,F4,D4,F4,B-3,B-4,B-4,r,r,F5,D5,B-4,B-2,B-1
22.0,11.0,12,1.0,G6,E-6,E-6,G5,E-5,G5,B-4,E-4,E-3,E-2,G4,E-4,G4,E-4,G4,G4,r,r,G5,E-5,B-4,E-3,E-2
23.0,11.5,12,2.0,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,G3,G2,G1
23.1667,11.5833,12,2.1667,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,E-3,B-2,G1
23.3333,11.6667,12,2.3333,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,E-3,B-2,G1
23.5,11.75,12,2.5,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,B-3,G3,G1
23.6667,11.8333,12,2.6667,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,E-4,B-3,G1
23.8333,11.9167,12,2.8333,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,E-4,B-3,G1
24.0,12.0,13,1.0,B-6,G6,G6,B-5,E-5,G5,B-4,G3,G2,G1,B-4,E-4,B-4,B-3,E-5,G4,G2,r,B-5,E-5,B-4,G4,G1
25.0,12.5,13,2.0,G#6,D6,D6,G#5,D5,D5,G#4,B-3,B-2,B-1,G#4,D4,G#4,B-3,B-4,B-4,r,r,G#5,D5,G#4,B-2,B-1
25.3333,12.6667,13,2.3333,G6,D6,D6,G5,D5,D5,G#4,B-3,B-2,B-1,G4,D4,G4,B-3,B-4,B-4,r,r,G5,D5,G#4,B-2,B-1
25.6667,12.8333,13,2.6667,F6,D6,D6,F5,D5,D5,G#4,B-3,B-2,B-1,F4,D4,F4,B-3,B-4,B-4,r,r,F5,D5,G#4,B-2,B-1
26.0,13.0,14,1.0,G6,E-6,E-6,G5,E-5,E-5,G4,E-4,E-3,E-2,G4,E-4,G4,E-4,G4,G4,r,r,G5,E-5,G4,E-3,E-2
27.0,13.5,14,2.0,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,G3,G2,G1
27.1667,13.5833,14,2.1667,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,D3,B2,G1
27.3333,13.6667,14,2.3333,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,D3,B2,G1
27.5,13.75,14,2.5,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,B3,G3,G1
27.6667,13.8333,14,2.6667,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,D4,B3,G1
27.8333,13.9167,14,2.8333,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,D4,B3,G1
28.0,14.0,15,1.0,G6,B5,B5,G5,B4,D5,B4,G3,G2,G1,D4,B3,G4,G3,D5,G4,G2,r,G5,D5,B4,G4,G1
29.0,14.5,15,2.0,F6,C6,C6,F5,C5,F5,C5,G#3,G#3,G#2,F4,C4,C4,C3,C5,C4,C3,r,F5,C5,C4,G#3,G#2
29.3333,14.6667,15,2.3333,E-6,C6,C6,E-5,C5,E-5,C5,G#3,G#3,G#2,E-4,C4,C4,C3,C5,C4,C3,r,E-5,C5,C4,G#3,G#2
29.6667,14.8333,15,2.6667,F6,C6,C6,F5,C5,F5,C5,G#3,G#3,G#2,F4,C4,C4,C3,C5,C4,C3,r,F5,C5,C4,G#3,G#2
30.0,15.0,16,1.0,G6,B5,B5,G5,B4,D5,B4,G3,G3,G2,G4,B3,G4,G3,G4,G4,G2,r,G5,B4,G3,G3,G2
31.0,15.5,16,2.0,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,G3,G2,G1
31.1667,15.5833,16,2.1667,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,D3,B2,G1
31.3333,15.6667,16,2.3333,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,D3,B2,G1
31.5,15.75,16,2.5,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,B3,G3,G1
31.6667,15.8333,16,2.6667,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,D4,B3,G1
31.8333,15.9167,16,2.8333,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,D4,B3,G1
32.0,16.0,17,1.0,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,B3,G2,G1
32.1667,16.0833,17,1.1667,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,G3,B2,G1
32.3333,16.1667,17,1.3333,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,G3,B2,G1
32.5,16.25,17,1.5,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,D4,G3,G1
32.6667,16.3333,17,1.6667,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,G4,B3,G1
32.8333,16.4167,17,1.8333,D7,F6,F6,D6,F5,B5,D5,G3,G2,G1,F4,D4,G4,G3,D5,G4,G2,r,D6,B5,G4,B3,G1
33.0,16.5,17,2.0,G6,D6,D6,G5,G5,G5,G4,G3,G3,G2,F4,D4,G3,G3,G4,G3,G2,r,B5,F5,D5,G4,G2
33.3333,16.6667,17,2.3333,G6,D6,D6,G5,G5,G5,G4,G3,G3,G2,F4,D4,G3,G3,G4,G3,G2,r,G5,D5,B4,G4,G2
33.6667,16.8333,17,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
34.0,17.0,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F4,r,r
34.3333,17.1667,18,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,r,r
34.6667,17.3333,18,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,r,r
35.0,17.5,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,A3,A3,r
35.3333,17.6667,18,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,A3,F3,F3,r
35.6667,17.8333,18,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,F3,D3,r
36.0,18.0,19,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,D3,B2,G2
36.1667,18.0833,19,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G3,D3,B2,G2
