qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,F Horn 1,F Horn 2,C Horn 3,C Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Triangle,Violin 1,Violin 2,Viola,Violoncello,Contrabass
47.0,49.0,,,,Main Part,P8(Bassoon 2),,,P8(Main),P8(Oboe 2),,P3(F Horn 2),P3(F Horn 1),P8(C Horn 4),P8(C Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,,,P6(Viola),P6(Violin 2),P8(Contrabass),P8(Violoncello)
49.0,51.0,,,,P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P3(Violoncello)&P3(Contrabass),,,P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P3(Violoncello)&P3(Contrabass),,Main Part,P3(Main),P8(C Horn 4),P8(C Horn 3),P3(Oboe 1)&U(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 2)&P3(Violoncello)&P3(Contrabass),P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&P8(C Trumpet 1)&P3(Violoncello)&P3(Contrabass),,,,,,P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Contrabass),P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Violoncello)
51.0,58.0,,,,Main Part,,,,,,,,,P8(C Horn 4),P8(C Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,,,,,P8(Contrabass),P8(Violoncello)
58.0,62.0,,,,Main Part,P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),,U(F Horn 2),U(F Horn 1),P8(C Horn 4)&U(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2),U(C Horn 3)&P8(C Horn 4)&P8(C Trumpet 2),P8(C Horn 3)&U(C Horn 4)&P8(C Trumpet 1),P5(Violoncello),,,,,P5(Timpani),
62.0,68.0,,,,Main Part,U(Bb Clarinet 2),,U(Oboe 2),,,U(Contrabass),U(F Horn 2),U(F Horn 1),,P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(C Horn 4)&P8(C Trumpet 2)&P8(Timpani),P8(C Horn 4)&P8(C Trumpet 1)&P8(Timpani),P8(C Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),,P8(Violin 2),P8(Violin 1),,,U(Contrabassoon)
68.0,72.0,,,,,,,,U(Bassoon 2)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),P8(Main),,,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),,Main Part,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
72.0,79.0,,U(Flute 2),U(Flute 1),,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,,P8(C Horn 4),P8(C Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
79.0,86.0,,U(Flute 2),U(Flute 1),,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,P8(Timpani),P8(C Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 3)&P8(C Horn 4)&P8(C Trumpet 2),P8(C Horn 3)&P8(C Horn 4)&P8(C Trumpet 1),P8(F Horn 2),,Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
86.0,90.0,P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 3)&P5(C Horn 4)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&U(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 3)&P3(C Horn 4)&P3(C Trumpet 1)&P3(C Trumpet 2),P3(Piccolo)&U(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 3)&P3(C Horn 4)&P3(C Trumpet 1)&P3(C Trumpet 2),P8(Piccolo)&P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 3)&P5(C Horn 4)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 3)&P3(C Horn 4)&P3(C Trumpet 1)&P3(C Trumpet 2),P8(Piccolo)&P3(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 3)&P5(C Horn 4)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 3)&P3(C Horn 4)&P3(C Trumpet 1)&P3(C Trumpet 2),P5(Piccolo)&P3(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 2)&U(C Horn 3)&U(C Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Piccolo)&P3(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),,,,P5(Piccolo)&P3(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Piccolo)&P3(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Piccolo)&P3(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4)&U(C Trumpet 2),P5(Piccolo)&P3(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4)&U(C Trumpet 1),,,,,Main Part,P8(Contrabass),P8(Violoncello)
90.0,94.0,,P8(Bb Clarinet 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bb Clarinet 1),,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
