qstamp_start,qstamp_end,Violin,Alto,Continuo
1.5,9.5,Main Part,,
9.5,17.5,Main Part,,
17.5,25.5,Main Part,,
25.5,32.0,Main Part,,
32.0,34.0,,Main Part,
34.0,36.5,Main Part,,
36.5,38.5,,Main Part,
38.5,40.5,Main Part,,
40.5,42.5,,Main Part,
42.5,44.5,Main Part,,
44.5,45.5,,Main Part,
45.5,49.5,Main Part,,
49.5,51.0,,Main Part,
51.0,51.5,Main Part,,
51.5,53.0,,Main Part,
53.0,53.5,Main Part,,
53.5,55.0,,Main Part,
55.0,55.5,Main Part,,
55.5,59.5,,Main Part,
59.5,61.5,Main Part,,
61.5,64.5,,Main Part,
64.5,65.5,,Main Part,
65.5,73.5,Main Part,,
73.5,74.5,,Main Part,
74.5,75.5,Main Part,,
75.5,78.0,,Main Part,
78.0,81.0,Main Part,,
81.0,89.5,,Main Part,
89.5,95.5,Main Part,,
95.5,104.0,Main Part,,
104.0,106.0,,Main Part,
106.0,108.5,Main Part,,
108.5,114.0,,Main Part,
114.0,116.5,Main Part,,
116.5,120.0,,Main Part,
120.0,122.0,,Main Part,
122.0,124.5,Main Part,,
124.5,126.5,,Main Part,
126.5,128.5,Main Part,,
128.5,130.5,,Main Part,
130.5,133.5,Main Part,,
133.5,135.0,,Main Part,
135.0,135.5,Main Part,,
135.5,137.0,,Main Part,
137.0,137.5,Main Part,,
137.5,139.0,,Main Part,
139.0,139.5,Main Part,,
139.5,145.5,,Main Part,
145.5,146.5,Main Part,,
146.5,153.5,,Main Part,
153.5,154.5,Main Part,,
154.5,157.5,,Main Part,
157.5,160.5,Main Part,,
160.5,161.5,,Main Part,
161.5,165.5,Main Part,,
165.5,168.5,,Main Part,
168.5,177.5,,Main Part,
177.5,192.0,Main Part,,
