qstamp,tstamp,measure,beat,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
92.5,27.75,24,1.25,D5,G#4,D5,G#4,B3,D5,E4,B3,G#3,E3
93.0,27.9,24,1.5,C#5,A4,C#5,A4,A3,C#5,E4,A3,E3,F#3
93.5,28.05,24,1.75,C#5,B4,C#5,B4,G#3,C#5,E4,G#3,E3,G#3
94.0,28.2,24,2.0,C#5,C#5,C#5,C#5,A3,C#5,E4,A3,A3,A3
94.5,28.35,24,2.25,C#5,D5,C#5,D5,A3,C#5,E4,A3,A3,A3
95.0,28.5,24,2.5,F#5,C#5,F#5,C#5,A3,F#5,D4,A3,D3,D3
95.5,28.65,24,2.75,F#5,B4,F#5,B4,A3,F#5,D4,A3,D3,D3
96.0,28.8,25,1.0,E5,C#5,E5,C#5,A3,E5,E4,A3,C#3,C#3
96.5,28.95,25,1.25,E5,C#5,E5,C#5,B3,E5,E4,B3,C#3,C#3
97.0,29.1,25,1.5,A4,E4,A4,E4,C#4,A4,E4,C#4,C#3,C#3
97.5,29.25,25,1.75,A4,E4,A4,E4,A3,A4,E4,A3,C#3,C#3
98.0,29.4,25,2.0,A4,F#4,A4,F#4,D4,A4,F#4,D4,B2,B2
98.5,29.55,25,2.25,A4,F#4,A4,F#4,C#4,A4,F#4,C#4,B2,B2
99.0,29.7,25,2.5,G#4,D4,G#4,D4,B3,G#4,D4,B3,B2,B2
99.5,29.85,25,2.75,G#4,D4,G#4,D4,D4,G#4,D4,D4,B2,B2
100.0,30.0,26,1.0,A4,E4,A4,E4,C#4,A4,E4,C#4,A2,A2
100.5,30.15,26,1.25,C#5,E4,C#5,E4,C#4,A4,E4,C#4,A2,G2
101.0,30.3,26,1.5,D5,F#4,D5,F#4,A3,A4,F#4,A3,A2,F#2
101.5,30.45,26,1.75,E5,G4,E5,G4,A3,A4,G4,A3,A2,E2
102.0,30.6,26,2.0,F#5,A4,F#5,A4,r,F#5,A4,r,r,D2
102.5,30.75,26,2.25,F#5,A4,F#5,A4,r,F#5,A4,r,r,E2
103.0,30.9,26,2.5,F#5,A4,F#5,A4,D4,F#5,A4,D4,A2,F#2
103.5,31.05,26,2.75,F#5,A4,F#5,A4,D4,F#5,A4,D4,A2,D2
104.0,31.2,27,1.0,F#5,A4,F#5,A4,D4,F#5,A4,D4,B2,G2
104.5,31.35,27,1.25,F#5,A4,F#5,A4,D4,F#5,A4,D4,D3,D3
105.0,31.5,27,1.5,E5,G4,E5,G4,B3,E5,G4,B3,E3,E3
105.5,31.65,27,1.75,D5,A4,D5,A4,B3,D5,A4,B3,F#3,F#3
106.0,31.8,27,2.0,E5,B4,E5,B4,B3,E5,B4,B3,G3,G3
106.5,31.95,27,2.25,F#5,A4,F#5,A4,B3,F#5,A4,B3,G3,G3
107.0,32.1,27,2.5,E5,G4,E5,G4,E4,E5,G4,E4,G3,G3
107.5,32.25,27,2.75,D5,F#4,D5,F#4,E4,D5,F#4,E4,G3,G3
108.0,32.4,28,1.0,C#5,E4,C#5,E4,E4,C#5,E4,E4,G3,G3
108.5,32.55,28,1.25,A4,E4,A4,E4,C#4,A4,E4,C#4,G3,G3
