qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,1,0.0,a,Fl,0
4.0,2,1,0.0,a,Vln,1
8.0,3,1,0.0,a,Fl,0
13.0,4,2,0.25,a,Fl,0
16.25,5,1.25,0.062,a,Continuo,6
17.25,5,2.25,0.312,a,Fl,0
21.25,6,2.25,0.312,a,Fl,0
24.0,7,1,0.0,a,Fl,0
36.0,10,1,0.0,a,Fl,0
44.0,12,1,0.0,a,Fl,0
52.0,14,1,0.0,a,Fl,0
64.0,17,1,0.0,b,T,5
66.0,17,3,0.5,b,S,4
68.0,18,1,0.0,a,Vln,1
72.0,19,1,0.0,a,Fl,0
76.5,20,1.5,0.125,b,S,4
80.0,21,1,0.0,b,S,4
87.25,22,4.25,0.812,a,Fl,0
96.0,25,1,0.0,b,S,4
98.0,25,3,0.5,b,T,5
102.0,26,3,0.5,b,S,4
104.0,27,1,0.0,a,Vln,2
108.0,28,1,0.0,b,Fl,0
118.0,30,3,0.5,a,Fl,0
120.0,31,1,0.0,a,S,4
121.0,31,2,0.25,a,Vln,1
122.0,31,3,0.5,a,Fl,0
124.0,32,1,0.0,a,T,5
125.0,32,2,0.25,a,Vln,1
126.0,32,3,0.5,a,S,4
136.0,35,1,0.0,a,T,5
137.0,35,2,0.25,a,Vln,1
138.0,35,3,0.5,a,Fl,0
140.0,36,1,0.0,a,S,4
141.0,36,2,0.25,a,Vln,1
142.0,36,3,0.5,a,T,5
145.0,37,2,0.25,a,S,4
150.0,38,3,0.5,a,Vln,2
151.5,38,4.5,0.875,a,Fl,0
152.0,39,1,0.0,a,S,4
154.0,39,3,0.5,a,Vln,1
155.5,39,4.5,0.875,a,S,4
156.0,40,1,0.0,a,Fl,0
157.5,40,2.5,0.375,a,S,4
159.0,40,4,0.75,c,S,4
161.25,41,2.25,0.312,c,T,5
162.25,41,3.25,0.562,c,S,4
163.25,41,4.25,0.812,c,T,5
164.25,42,1.25,0.062,c,S,4
166.0,42,3,0.5,c,Vln,1
167.0,42,4,0.75,c,T,5
169.25,43,2.25,0.312,c,S,4
170.25,43,3.25,0.562,c,T,5
171.25,43,4.25,0.812,c,S,4
172.25,44,1.25,0.062,c,T,5
174.0,44,3,0.5,c,S,4
185.0,47,2,0.25,a,Fl,0
188.5,48,1.5,0.125,a,S,4
191.0,48,4,0.75,a,Fl,0
194.0,49,3,0.5,a,S,4
195.0,49,4,0.75,a,T,5
199.0,50,4,0.75,b,T,5
201.0,51,2,0.25,b,S,4
206.0,52,3,0.5,b,T,5
209.0,53,2,0.25,b,S,4
214.0,54,3,0.5,b,S,4
216.0,55,1,0.0,b,T,5
218.5,55,3.5,0.625,b,S,4
220.5,56,1.5,0.125,b,T,5
223.25,56,4.25,0.812,a,Fl,0
225.0,57,2,0.25,b,S,4
236.0,60,1,0.0,a,Fl,0
240.0,61,1,0.0,a,Vln,1
244.0,62,1,0.0,a,Fl,0
249.0,63,2,0.25,a,Fl,0
252.25,64,1.25,0.062,a,Vln,1
253.25,64,2.25,0.312,a,Fl,0
256.0,65,1,0.0,a,Fl,0
264.0,67,1,0.0,a,Fl,0
276.0,70,1,0.0,a,Fl,0
284.0,72,1,0.0,a,Fl,0
292.0,74,1,0.0,a,Fl,0
296.0,75,1,0.0,d,S,4
304.0,77,1,0.0,d,T,5
309.0,78,2,0.25,d,S,4
319.25,80,4.25,0.812,a,Fl,0
336.0,85,1,0.0,d,S,4
344.0,87,1,0.0,d,S,4
359.25,90,4.25,0.812,a,Fl,0
361.0,91,2,0.25,d,S,4
