qstamp_start,qstamp_end,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
0.0,3.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),,,,,
3.0,6.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),,,,,
6.0,9.0,,Main Part,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
9.0,12.0,,Main Part,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
12.0,21.0,,,Main Part,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
21.0,24.0,,U(Main),Main Part,,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
24.0,27.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),,U(Viola 3),U(Viola 2),Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
27.0,30.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),,U(Viola 3),U(Viola 2),Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
30.0,33.0,Main Part,U(Main)&U(Violin 3),U(Main)&U(Violin 2),,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
33.0,42.0,Main Part,U(Main)&U(Violin 3),U(Main)&U(Violin 2),,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
