score_qstamp,qstamp,measure,beat,83286_tstamp
0.0,0.0,1,1.0,0.9818
0.25,0.25,1,1.1667,0.9923
0.5,0.5,1,1.3333,1.021
0.75,0.75,1,1.5,1.0315
1.0,1.0,1,1.6667,1.0431
1.25,1.25,1,1.8333,1.0596
1.5,1.5,1,2.0,1.1011
1.75,1.75,1,2.1667,1.1116
2.0,2.0,1,2.3333,1.1233
2.25,2.25,1,2.5,1.1398
2.5,2.5,1,2.6667,1.1813
2.75,2.75,1,2.8333,1.1917
3.0,3.0,1,3.0,1.2031
3.25,3.25,1,3.1667,1.2175
3.5,3.5,1,3.3333,1.3039
3.75,3.75,1,3.5,1.3708
4.0,4.0,1,3.6667,1.4666
4.25,4.25,1,3.8333,1.5415
4.5,4.5,1,4.0,1.6424
4.75,4.75,1,4.1667,1.6589
5.0,5.0,1,4.3333,1.7626
5.25,5.25,1,4.5,1.8431
5.5,5.5,1,4.6667,1.9426
5.75,5.75,1,4.8333,1.9591
6.0,6.0,2,1.0,2.0212
6.25,6.25,2,1.1667,2.026
6.5,6.5,2,1.3333,2.0308
6.75,6.75,2,1.5,2.0356
7.0,7.0,2,1.6667,2.041
7.25,7.25,2,1.8333,2.0515
7.5,7.5,2,2.0,2.0618
7.75,7.75,2,2.1667,2.0714
8.0,8.0,2,2.3333,2.0811
8.25,8.25,2,2.5,2.0916
8.5,8.5,2,2.6667,2.1019
8.75,8.75,2,2.8333,2.1115
9.0,9.0,2,3.0,2.1213
9.25,9.25,2,3.1667,2.1317
9.5,9.5,2,3.3333,2.1422
9.75,9.75,2,3.5,2.1527
10.0,10.0,2,3.6667,2.1807
10.25,10.25,2,3.8333,2.1859
10.5,10.5,2,4.0,2.1912
10.75,10.75,2,4.1667,2.1964
11.0,11.0,2,4.3333,2.2208
11.25,11.25,2,4.5,2.2266
11.5,11.5,2,4.6667,2.2324
11.75,11.75,2,4.8333,2.2382
12.0,12.0,3,1.0,2.3185
12.25,12.25,3,1.1667,2.4338
12.5,12.5,3,1.3333,2.5492
12.75,12.75,3,1.5,2.6646
13.0,13.0,3,1.6667,2.78
13.25,13.25,3,1.8333,2.8417
13.5,13.5,3,2.0,2.8453
13.75,13.75,3,2.1667,2.8489
14.0,14.0,3,2.3333,2.8525
14.25,14.25,3,2.5,2.8562
14.5,14.5,3,2.6667,2.8598
14.75,14.75,3,2.8333,2.8806
15.0,15.0,3,3.0,2.8814
15.25,15.25,3,3.1667,2.8822
15.5,15.5,3,3.3333,2.883
15.75,15.75,3,3.5,2.8838
16.0,16.0,3,3.6667,2.8846
16.25,16.25,3,3.8333,2.8854
16.5,16.5,3,4.0,2.8862
16.75,16.75,3,4.1667,2.887
