score_qstamp,qstamp,measure,beat,246959_tstamp
0.0,0.0,1,4.0,0.8
0.75,0.75,1,4.75,1.8338
1.0,1.0,2,1.0,2.0451
2.0,2.0,2,2.0,3.0301
2.75,2.75,2,2.75,3.7039
3.0,3.0,2,3.0,4.0952
4.0,4.0,2,4.0,4.9403
5.0,5.0,3,1.0,6.1506
5.5,5.5,3,1.5,7.2079
5.625,5.625,3,1.625,7.3135
5.75,5.75,3,1.75,7.4192
5.875,5.875,3,1.875,7.5344
6.0,6.0,3,2.0,7.7104
6.75,6.75,3,2.75,9.1084
7.0,7.0,3,3.0,9.3555
8.0,8.0,3,4.0,10.5206
8.75,8.75,3,4.75,11.3744
9.0,9.0,4,1.0,11.6696
9.5,9.5,4,1.5,12.3282
10.0,10.0,4,2.0,12.7721
10.5,10.5,4,2.5,13.6132
11.0,11.0,4,3.0,14.1558
11.5,11.5,4,3.5,14.8783
12.0,12.0,4,4.0,15.3016
12.5,12.5,4,4.5,16.214
13.0,13.0,5,1.0,16.8059
13.5,13.5,5,1.5,17.2285
14.0,14.0,5,2.0,17.899
14.75,14.75,5,2.75,19.1048
15.0,15.0,5,3.0,19.3161
16.0,16.0,5,4.0,20.6011
16.5,16.5,5,4.5,21.1437
17.0,17.0,6,1.0,21.7262
17.5,17.5,6,1.5,22.3148
18.0,18.0,6,2.0,23.1112
18.5,18.5,6,2.5,23.9538
18.75,18.75,6,2.75,24.1651
19.0,19.0,6,3.0,24.3763
20.0,20.0,6,4.0,25.5614
20.5,20.5,6,4.5,26.1156
21.0,21.0,7,1.0,27.0265
22.0,22.0,7,2.0,28.229
22.5,22.5,7,2.5,29.0141
23.0,23.0,7,3.0,29.4366
23.5,23.5,7,3.5,30.0592
24.0,24.0,7,4.0,30.7617
24.5,24.5,7,4.5,31.4642
25.0,25.0,8,1.0,31.9868
25.5,25.5,8,1.5,32.4093
26.0,26.0,8,2.0,32.999
26.5,26.5,8,2.5,33.7544
27.0,27.0,8,3.0,34.1769
27.5,27.5,8,3.5,34.6794
28.0,28.0,8,4.0,35.288
28.5,28.5,8,4.5,36.1245
29.0,29.0,9,1.0,36.547
29.5,29.5,9,1.5,37.0184
30.0,30.0,9,2.0,37.7289
30.5,30.5,9,2.5,38.4946
31.0,31.0,9,3.0,38.9888
32.0,32.0,9,4.0,40.2053
32.5,32.5,9,4.5,40.9248
33.0,33.0,10,1.0,41.3473
34.0,34.0,10,2.0,42.9124
34.5,34.5,10,2.5,43.3549
35.0,35.0,10,3.0,43.8175
35.5,35.5,10,3.5,44.24
36.0,36.0,10,4.0,44.7025
36.75,36.75,10,4.75,45.8763
37.0,37.0,11,1.0,46.0876
38.0,38.0,11,2.0,47.5781
39.0,39.0,11,3.0,48.6177
39.5,39.5,11,3.5,49.5403
40.0,40.0,11,4.0,50.1028
40.5,40.5,11,4.5,50.6254
41.0,41.0,12,1.0,51.0479
42.0,42.0,12,2.0,52.606
43.0,43.0,12,3.0,53.758
43.5,43.5,12,3.5,54.6806
44.0,44.0,12,4.0,55.3031
44.75,44.75,12,4.75,56.0169
45.0,45.0,13,1.0,56.2282
46.0,46.0,13,2.0,57.8248
46.5,46.5,13,2.5,58.3358
47.0,47.0,13,3.0,58.8383
47.5,47.5,13,3.5,59.592
48.0,48.0,13,4.0,60.2834
48.5,48.5,13,4.5,61.1459
48.75,48.75,13,4.75,61.3572
49.0,49.0,14,1.0,61.6195
49.5,49.5,14,1.5,62.411
50.0,50.0,14,2.0,62.8935
50.5,50.5,14,2.5,63.6361
50.75,50.75,14,2.75,63.8546
51.0,51.0,14,3.0,64.2386
