qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,"B basso Horn 1 [sic, B not Bb]","B basso Horn 2 [sic, B not Bb]","B Trumpet 1 [sic, B not Bb]","B Trumpet 2 [sic, B not Bb]",Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
271.5,289.5,Main Part,,,,,,,,,,,,U(Trombone 2),U(Trombone 1),,,,,,,,
289.5,292.5,P8(A Clarinet 1),P5(Trombone 1)&P5(Trombone 2),U(A Clarinet 2),,P8(Flute 1),U(Oboe 1),Main Part,P8(Main)&U(Contrabass),,,,,P5(Flute 2)&U(Trombone 2),P5(Flute 2)&U(Trombone 1),,,,,,,,P8(Main)&U(Bassoon 2)
292.5,304.0,U(Flute 2),U(Flute 1),,,Main Part,,P8(Bassoon 2),P8(Bassoon 1),,,,,U(Trombone 2),U(Trombone 1),,,,,P8(Violoncello),,P8(Violin 2),
304.0,316.0,"P8(B basso Horn 1 [sic, B not Bb])&P8(Timpani)",,Main Part,,,,P8(Bassoon 2),P8(Bassoon 1),P8(Flute 1)&P8(Timpani),,,,,,,,"P8(Flute 1)&P8(B basso Horn 1 [sic, B not Bb])",,,,,
316.0,326.0,Main Part,,"P8(Main)&P8(B basso Horn 1 [sic, B not Bb])",,"P7(A Clarinet 2)&P4(B basso Horn 2 [sic, B not Bb])&P4(Tuba)","P7(A Clarinet 1)&P4(B basso Horn 2 [sic, B not Bb])&P4(Tuba)",P8(Bassoon 2),P8(Bassoon 1),P8(Main)&P8(Oboe 1),P4(A Clarinet 1)&P4(A Clarinet 2)&U(Tuba),,,,,,"P4(A Clarinet 1)&P4(A Clarinet 2)&U(B basso Horn 2 [sic, B not Bb])",,,,,,
326.0,334.0,,,,,,,Main Part,U(Main),"P8(B Trumpet 1 [sic, B not Bb])&U(B Trumpet 2 [sic, B not Bb])&U(Trombone 1)&U(Trombone 2)&P4(Trombone 3)&P5(Tuba)",,"P8(B basso Horn 1 [sic, B not Bb])&P8(B Trumpet 2 [sic, B not Bb])&P8(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P5(Tuba)","U(B basso Horn 1 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&U(Trombone 1)&U(Trombone 2)&P4(Trombone 3)&P5(Tuba)","U(B basso Horn 1 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&U(B Trumpet 2 [sic, B not Bb])&U(Trombone 2)&P4(Trombone 3)&P5(Tuba)","U(B basso Horn 1 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&U(B Trumpet 2 [sic, B not Bb])&U(Trombone 1)&P4(Trombone 3)&P5(Tuba)","P4(B basso Horn 1 [sic, B not Bb])&P4(B Trumpet 1 [sic, B not Bb])&P4(B Trumpet 2 [sic, B not Bb])&P4(Trombone 1)&P4(Trombone 2)&P2(Tuba)","P5(B basso Horn 1 [sic, B not Bb])&P5(B Trumpet 1 [sic, B not Bb])&P5(B Trumpet 2 [sic, B not Bb])&P5(Trombone 1)&P5(Trombone 2)&P2(Trombone 3)",,,,,,
334.0,340.0,,,,,,,,P8(Contrabass),Main Part,,"P8(B Trumpet 2 [sic, B not Bb])","P8(B Trumpet 1 [sic, B not Bb])",U(Main),,,,,,,,,P8(Bassoon 2)
340.0,347.0,,,,,,,Main Part,,,,"P5(B Trumpet 2 [sic, B not Bb])","P5(B Trumpet 1 [sic, B not Bb])",,,,,,,,,P8(Contrabass),P8(Violoncello)
347.0,378.0,,,,,,,,,,,"P5(B Trumpet 2 [sic, B not Bb])","P5(B Trumpet 1 [sic, B not Bb])",,,,,,Main Part,P8(Main),,,
378.0,392.0,Main Part,,,,"P8(B basso Horn 2 [sic, B not Bb])",,,,P8(Main),P8(A Clarinet 1),,,,,,,,P4(Violin 2),P4(Violin 1),,P8(Contrabass),P8(Violoncello)
392.0,402.0,,,,,P2(A Clarinet 2)&P8(Trombone 1)&P8(Trombone 2)&P2(Trombone 3)&P8(Tuba)&P8(Timpani),P2(A Clarinet 1)&P2(Trombone 1)&P2(Trombone 2)&P8(Trombone 3)&P2(Tuba)&P2(Timpani),,,"U(B basso Horn 2 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&P8(B Trumpet 2 [sic, B not Bb])","U(B basso Horn 1 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&P8(B Trumpet 2 [sic, B not Bb])","P8(B basso Horn 1 [sic, B not Bb])&P8(B basso Horn 2 [sic, B not Bb])&U(B Trumpet 2 [sic, B not Bb])","P8(B basso Horn 1 [sic, B not Bb])&P8(B basso Horn 2 [sic, B not Bb])&U(B Trumpet 1 [sic, B not Bb])",P8(A Clarinet 1)&P2(A Clarinet 2)&U(Trombone 2)&P2(Trombone 3)&U(Tuba)&P8(Timpani),P8(A Clarinet 1)&P2(A Clarinet 2)&U(Trombone 1)&P2(Trombone 3)&U(Tuba)&P8(Timpani),P2(A Clarinet 1)&P8(A Clarinet 2)&P2(Trombone 1)&P2(Trombone 2)&P2(Tuba)&P2(Timpani),P8(A Clarinet 1)&P2(A Clarinet 2)&U(Trombone 1)&U(Trombone 2)&P2(Trombone 3)&P8(Timpani),P8(A Clarinet 1)&P2(A Clarinet 2)&P8(Trombone 1)&P8(Trombone 2)&P2(Trombone 3)&P8(Tuba),Main Part,,,,
402.0,424.5,,,,,,,,,,,,,,,,,,Main Part,,,,
424.5,456.0,,,,,,,,,,,,,,,,,,Main Part,,,,
456.0,464.0,Main Part,,P8(Main),,,,,"U(B basso Horn 2 [sic, B not Bb])",,U(Bassoon 2),,,,,,,P3(Violin 2)&U(Contrabass),P4(Violoncello),P3(Timpani)&P3(Contrabass),,P4(Violin 1),U(Timpani)&P3(Violin 2)
464.0,473.0,,,,,P8(Bassoon 2),,,P8(A Clarinet 1),,,,,,,,,,Main Part,,,,
473.0,481.0,"P4(Flute 2)&P5(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 2)&P8(Bassoon 1)&P5(B basso Horn 1 [sic, B not Bb])&P4(B basso Horn 2 [sic, B not Bb])&P4(B Trumpet 1 [sic, B not Bb])&P5(B Trumpet 2 [sic, B not Bb])","P4(Flute 1)&P2(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 2)&P4(Bassoon 1)&P2(B basso Horn 1 [sic, B not Bb])&P8(B basso Horn 2 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&P2(B Trumpet 2 [sic, B not Bb])","P5(Flute 1)&P2(Flute 2)&P5(Oboe 2)&P2(A Clarinet 2)&P5(Bassoon 1)&P8(B basso Horn 1 [sic, B not Bb])&P2(B basso Horn 2 [sic, B not Bb])&P2(B Trumpet 1 [sic, B not Bb])&P8(B Trumpet 2 [sic, B not Bb])","P8(Flute 1)&P4(Flute 2)&P5(Oboe 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P5(B basso Horn 1 [sic, B not Bb])&P4(B basso Horn 2 [sic, B not Bb])&P4(B Trumpet 1 [sic, B not Bb])&P5(B Trumpet 2 [sic, B not Bb])",Main Part,"P4(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P4(Bassoon 1)&P2(B basso Horn 1 [sic, B not Bb])&P8(B basso Horn 2 [sic, B not Bb])&U(B Trumpet 1 [sic, B not Bb])&P2(B Trumpet 2 [sic, B not Bb])","P8(Flute 1)&P4(Flute 2)&P5(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 2)&P5(B basso Horn 1 [sic, B not Bb])&P4(B basso Horn 2 [sic, B not Bb])&P4(B Trumpet 1 [sic, B not Bb])&P5(B Trumpet 2 [sic, B not Bb])",,"P5(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P2(A Clarinet 2)&P5(Bassoon 1)&P2(B basso Horn 2 [sic, B not Bb])&P2(B Trumpet 1 [sic, B not Bb])&U(B Trumpet 2 [sic, B not Bb])","P4(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 2)&P4(Bassoon 1)&P2(B basso Horn 1 [sic, B not Bb])&P8(B Trumpet 1 [sic, B not Bb])&P2(B Trumpet 2 [sic, B not Bb])","P4(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&U(A Clarinet 2)&P4(Bassoon 1)&P2(B basso Horn 1 [sic, B not Bb])&P8(B basso Horn 2 [sic, B not Bb])&P2(B Trumpet 2 [sic, B not Bb])","P5(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P2(A Clarinet 2)&P5(Bassoon 1)&U(B basso Horn 1 [sic, B not Bb])&P2(B basso Horn 2 [sic, B not Bb])&P2(B Trumpet 1 [sic, B not Bb])",,,,,,,,,,
