qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.5,1,1.5,0.1667,a,S. II,13,S
3.5,2,1.5,0.1667,a,B.,16,B
6.5,3,1.5,0.1667,a,S. I,12,S
9.5,4,1.5,0.1667,a,B.,16,B
13.5,5,2.5,0.5,b,Vln. I,9,Vln
16.5,6,2.5,0.5,b,Vln. I,9,Vln
19.5,7,2.5,0.5,b,Fl. trv. I,4,Fl
21.0,8,1.0,0.0,a,T.,15,T
24.0,9,1.0,0.0,a,S. I,12,S
27.5,10,1.5,0.1667,a,A.,14,A
30.5,11,1.5,0.1667,a,S. II,13,S
33.5,12,1.5,0.1667,a,B.,16,B
37.5,13,2.5,0.5,b,Fl. trv. I,4,Fl
40.5,14,2.5,0.5,b,Fl. trv. I,4,Fl
43.5,15,2.5,0.5,b,Vln. I,9,Vln
45.0,16,1.0,0.0,a,T.,15,T
48.5,17,1.5,0.1667,a,B.,16,B
51.5,18,1.5,0.1667,a,S. I,12,S
54.5,19,1.5,0.1667,a,A.,14,A
61.0,21,2.0,0.3333,b,S. I,12,S
64.0,22,2.0,0.3333,b,S. I,12,S
67.0,23,2.0,0.3333,b,S. I,12,S
70.0,24,2.0,0.3333,b,S. I,12,S
72.5,25,1.5,0.1667,a,Tr. I,0,Tpt
75.5,26,1.5,0.1667,a,Tr. I,0,Tpt
78.5,27,1.5,0.1667,a,Tr. I,0,Tpt
81.5,28,1.5,0.1667,a,Tr. I,0,Tpt
84.5,29,1.5,0.1667,a,Tr. I,0,Tpt
87.5,30,1.5,0.1667,a,Tr. I,0,Tpt
89.5,30,3.5,0.8333,a,S. I,12,S
105.0,36,1.0,0.0,a,S. II,13,S
106.5,36,2.5,0.5,a,S. I,12,S
109.5,37,2.5,0.5,a,T.,15,T
124.5,42,2.5,0.5,a,A.,14,A
145.5,49,2.5,0.5,a,S. I,12,S
147.5,50,1.5,0.1667,a,T.,15,T
159.5,54,1.5,0.1667,a,S. II,13,S
160.5,54,2.5,0.5,a,B.,16,B
162.5,55,1.5,0.1667,a,A.,14,A
170.0,57,3.0,0.6667,a,S. II,13,S
175.25,59,2.25,0.4167,a,S. II,13,S
176.25,59,3.25,0.75,a,B.,16,B
183.5,62,1.5,0.1667,a,S. I,12,S
189.5,64,1.5,0.1667,a,Fl. trv. I,4,Fl
195.5,66,1.5,0.1667,a,Vln. I,9,Vln
198.5,67,1.5,0.1667,a,Fl. trv. I,4,Fl
201.0,68,1.0,0.0,a,S. I,12,S
204.5,69,1.5,0.1667,a,S. I,12,S
208.5,70,2.5,0.5,b,Vln. I,9,Vln
211.5,71,2.5,0.5,b,Vln. I,9,Vln
214.5,72,2.5,0.5,b,Fl. trv. I,4,Fl
216.5,73,1.5,0.1667,a,S. I,12,S
220.5,74,2.5,0.5,a,S. I,12,S
225.5,76,1.5,0.1667,a,Fl. trv. I,4,Fl
228.5,77,1.5,0.1667,a,Fl. trv. I,4,Fl
231.5,78,1.5,0.1667,a,Fl. trv. I,4,Fl
234.5,79,1.5,0.1667,a,Fl. trv. I,4,Fl
236.5,79,3.5,0.8333,a,S. II,13,S
238.5,80,2.5,0.5,a,S. I,12,S
252.5,85,1.5,0.1667,a,S. II,13,S
253.5,85,2.5,0.5,a,A.,14,A
254.5,85,3.5,0.8333,a,B.,16,B
255.5,86,1.5,0.1667,a,T.,15,T
258.5,87,1.5,0.1667,a,S. II,13,S
259.5,87,2.5,0.5,a,B.,16,B
267.5,90,1.5,0.1667,a,S. II,13,S
268.5,90,2.5,0.5,a,T.,15,T
269.5,90,3.5,0.8333,a,B.,16,B
270.5,91,1.5,0.1667,a,S. I,12,S
271.5,91,2.5,0.5,a,S. II,13,S
282.5,95,1.5,0.1667,a,S. I,12,S
283.5,95,2.5,0.5,a,S. II,13,S
284.5,95,3.5,0.8333,a,B.,16,B
285.5,96,1.5,0.1667,a,A.,14,A
286.5,96,2.5,0.5,a,S. I,12,S
297.5,100,1.5,0.1667,a,S. I,12,S
298.5,100,2.5,0.5,a,B.,16,B
300.5,101,1.5,0.1667,a,A.,14,A
309.0,104,1.0,0.0,a,S. II,13,S
312.25,105,1.25,0.0833,a,A.,14,A
313.5,105,2.5,0.5,a,B.,16,B
318.25,107,1.25,0.0833,a,A.,14,A
324.0,109,1.0,0.0,a,S. I,12,S
330.5,111,1.5,0.1667,a,Ob. I,6,Ob
333.5,112,1.5,0.1667,a,Ob. I,6,Ob
333.5,112,1.5,0.1667,a,S. I,12,S
336.5,113,1.5,0.1667,a,Ob. I,6,Ob
339.5,114,1.5,0.1667,a,Ob. I,6,Ob
342.5,115,1.5,0.1667,a,Ob. I,6,Ob
345.5,116,1.5,0.1667,a,Ob. I,6,Ob
347.5,116,3.5,0.8333,a,S. I,12,S
363.5,122,1.5,0.1667,a,Tr. I,0,Tpt
375.25,126,1.25,0.0833,a,Fl. trv. I,4,Fl
376.5,126,2.5,0.5,a,Tr. I,0,Tpt
