qstamp,measure,beat,label,partName,partNum
0.0,1,1,X,Bsn,8
3.0,1,2,x,Vln,23
4.0,1,2.33,x,Vc,27
7.0,2,1.33,x,Eng Hn,11
10.0,2,2.33,x,Eng Hn,10
14.0,3,1.67,a,Cl,7
18.0,4,1,a,Cl,5
24.0,5,1,a,Fl,1
42.0,8,1,x,Eng Hn,10
44.0,8,1.67,x,Tpt,14
47.0,8,2.67,x,Tpt,15
55.0,10,1.33,b,Vln,22
113.0,19,2.67,a,Vc,26
138.0,24,1,a,Vc,26
140.0,24,1.67,a,Vln,22
161.0,27,2.67,c,Ob,3
173.0,29,2.67,d,Fl,1
185.0,31,2.67,c,Vln,22
209.0,35,2.67,c,Vln,22
234.0,40,1,X,Cl,7
235.5,40,1.5,d,Tpt,14
240.5,41,1.17,e,Vln,23
258.0,44,1,f,Tpt,14
261.0,44,2,f,Vln,23
282.5,48,1.17,f,Tpt,14
288.0,49,1,g,Vln,23
305.0,51,2.67,a,Eng Hn,10
311.0,52,2.67,a,Cl,7
318.5,54,1.17,aa,Ob,3
321.5,54,2.17,aa,Fl,1
325.0,55,1.33,a',Vln,23
344.0,58,1.67,aa,Eng Hn,11
345.0,58,2,aa,Tpt,14
351.0,59,2,a,Cl,5
353.0,59,2.67,a,Vc,27
366.0,62,1,a,Vc,27
377.0,63,2.67,a,Cl,5
400.5,67,2.5,b,Vln,23
425.0,71,2.67,b,Vln,23
443.0,74,2.67,a,Vc,27
466.0,78,2.33,X,Eng Hn,10
477.5,80,2.17,X,Vln,24
480.0,81,1,X,Vla,25
488.0,82,1.67,a,Cl,7
492.0,83,1,X,Cl,5
494.0,83,1.67,h,Ob,3
504.0,85,1,a',Vln,22
552.0,93,1,b',Vln,22
579.0,98,1,b',Fl,1
587.0,99,1.67,b',Ob,3
599.5,101,3.5,i,Vln,23
603.5,102,2.17,ii,Vln,22
605.5,102,2.83,i,Vln,23
609.5,103,2.17,ii,Vln,22
612.0,104,1,b',Cl,7
615.5,104,2.17,b',Cl,5
618.0,105,1,i,Vln,23
622.5,105,2.5,X!,Eng Hn,10
624.0,106,1,b'',Bsn,8
627.0,106,2,b'',Ob,3
648.0,110,1,X,Ob,3
649.0,110,1.33,X,Vln,23
651.0,110,2,X,Ob,3
652.0,110,2.33,X,Vln,23
660.0,112,1,b',Vc,27
663.0,112,2,b',Cl,5
666.0,113,1,b',Vc,27
669.0,113,2,b',Cl,5
683.0,115,2.67,i,Tpt,14
687.0,116,2,i,Ob,3
690.0,117,1,b',Vln,23
738.0,125,1,X,Eng Hn,10
741.0,125,2,X,Cl,5
747.0,126,2,X,Eng Hn,10
751.0,127,1.33,X,Ob,3
758.0,128,1.67,X,Cl,7
782.0,132,1.67,X,Vc,27
786.0,133,1,X,Vln,23
809.0,136,2.67,X,Cl,5
815.0,137,2.67,X,Cl,7
820.5,138,2.5,X,Vc,26
825.0,139,2,X,Cl,7
831.5,140,2.17,X,Vln,22
858.0,145,1,X,Cl,7
