qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1 (orig. E and A),E Horn 2 (orig. E and A),Violin 1,Violin 2,Viola,Violoncello,Contrabass
70.5,76.5,,,,,P4(A Clarinet 2),P4(A Clarinet 1),,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
76.5,81.0,,,,,P8(Viola),P8(Bassoon 1),P8(A Clarinet 2),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,P8(A Clarinet 1),P8(Contrabass),P8(Violoncello)
81.0,91.5,P8(A Clarinet 1),,,,P8(Flute 1),,,,,,Main Part,,,,
91.5,98.25,,,,,,,P8(Viola),U(Violoncello)&P8(Contrabass),,,Main Part,,P8(Bassoon 1),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
98.25,99.75,Main Part,,,,,,,,,,P8(Violin 2)&P4(Viola)&P6(Violoncello)&P6(Contrabass),P8(Violin 1)&P4(Viola)&P6(Violoncello)&P6(Contrabass),P4(Violin 1)&P4(Violin 2)&P3(Violoncello)&P3(Contrabass),P6(Violin 1)&P6(Violin 2)&P3(Viola)&P8(Contrabass),P6(Violin 1)&P6(Violin 2)&P3(Viola)&P8(Violoncello)
99.75,101.25,,,,,P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P3(A Clarinet 1)&P4(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&U(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&U(E Horn 1 (orig. E and A)),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
101.25,102.25,,,,,Main Part,,,,U(E Horn 2 (orig. E and A)),U(E Horn 1 (orig. E and A)),P3(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P3(Violin 1)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P2(Violin 1)&P2(Violin 2)&U(Violoncello)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&U(Viola)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Violoncello)
102.25,103.25,,,,,P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P3(A Clarinet 1)&P4(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&U(E Horn 2 (orig. E and A)),P2(A Clarinet 1)&P2(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&U(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
103.25,104.25,,,,,Main Part,,,,U(E Horn 2 (orig. E and A)),U(E Horn 1 (orig. E and A)),P3(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P3(Violin 1)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P2(Violin 1)&P2(Violin 2)&U(Violoncello)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&U(Viola)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Violoncello)
104.25,106.25,U(Flute 2),U(Flute 1),,,,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
