qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1 (orig. E and A),E Horn 2 (orig. E and A),Violin 1,Violin 2,Viola,Violoncello,Contrabass
247.0,259.0,,,,,Main Part,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,,,P8(Contrabass),P8(Violoncello)
259.0,271.0,,,,,,,,P8(E Horn 1 (orig. E and A)),P8(Bassoon 2),,Main Part,,,,
271.0,283.25,,,,,Main Part,P8(Bassoon 2),P8(Main),P8(A Clarinet 2),P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,,,P8(Contrabass),P8(Violoncello)
283.25,286.25,,,,,Main Part,,P8(Main),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,,,P8(Contrabass),P8(Violoncello)
286.25,289.25,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(E Horn 2 (orig. E and A))&U(Violin 2),P8(E Horn 1 (orig. E and A))&P8(Violin 2),Main Part,U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),,P8(Contrabass),P8(Violoncello)
289.25,292.25,,,,,Main Part,,P8(Main),,P8(E Horn 2 (orig. E and A))&U(Violin 2),P8(E Horn 1 (orig. E and A))&P8(Violin 2),,U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),,P8(Contrabass),P8(Violoncello)
292.25,296.0,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
296.0,297.5,,,,,,,,,,,Main Part,,,,
297.5,299.0,,,Main Part,,,,,,,,,,,,
299.0,300.5,,,,,,,,,,,Main Part,,,,
300.5,302.0,P3(Bassoon 2),,Main Part,,,,,P3(Flute 1),,,,,,,
302.0,304.75,Main Part,,,P5(A Clarinet 1)&P3(A Clarinet 2),P5(Oboe 2)&P3(A Clarinet 2),P3(Oboe 2)&P3(A Clarinet 1),,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),P8(Main),,,P8(Contrabass),P8(Violoncello)
304.75,306.25,,,Main Part,U(Main)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),,,,,P8(Main)&P8(Oboe 2)&U(E Horn 2 (orig. E and A)),P8(Main)&P8(Oboe 2)&U(E Horn 1 (orig. E and A)),,,,P8(Contrabass),P8(Violoncello)
306.25,309.25,,,U(Oboe 2)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),U(Oboe 1)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),,,,,P8(Oboe 1)&P8(Oboe 2)&U(E Horn 2 (orig. E and A)),P8(Oboe 1)&P8(Oboe 2)&U(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
309.25,314.25,,,U(Oboe 2),U(Oboe 1),,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
314.25,322.5,,,,,P5(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P5(A Clarinet 1)&P5(Bassoon 1)&P3(Bassoon 2),P8(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 2),P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1),,,Main Part,,,P8(Contrabass),P8(Violoncello)
322.5,327.0,,,,,P8(Bassoon 1),U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P8(A Clarinet 1),,U(A Clarinet 2)&P8(E Horn 2 (orig. E and A)),P8(A Clarinet 2)&P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
327.0,336.0,P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A)),,,,P8(Bassoon 1),,P8(A Clarinet 1),,P3(Flute 1)&P8(E Horn 2 (orig. E and A)),P3(Flute 1)&P8(E Horn 1 (orig. E and A)),Main Part,,,,
336.0,337.5,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main),,P8(E Horn 2 (orig. E and A))&U(Violoncello)&P8(Contrabass),P8(E Horn 2 (orig. E and A))&U(Viola)&P8(Contrabass),P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Violoncello)
337.5,338.75,U(Flute 2)&P8(A Clarinet 1)&P8(E Horn 2 (orig. E and A)),U(Flute 1)&P8(A Clarinet 1)&P8(E Horn 2 (orig. E and A)),,,P8(Flute 1)&P8(Flute 2)&P8(E Horn 2 (orig. E and A)),,P8(Bassoon 2)&P6(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P6(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1),Main Part,P6(Bassoon 1)&P6(Bassoon 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P6(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P6(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P6(Violin 2)&P8(Viola)&P8(Violoncello)
338.75,344.25,Main Part,U(Main),P3(A Clarinet 2),,,P3(Oboe 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,,,P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
344.25,345.75,,,Main Part,,,,,,,,P5(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
345.75,347.25,,,P3(Oboe 2)&P7(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P3(Oboe 1)&P5(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),,,P7(Oboe 1)&P5(Oboe 2)&P6(Bassoon 2)&P6(E Horn 1 (orig. E and A))&P6(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(Bassoon 2)&U(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(Bassoon 2)&U(E Horn 1 (orig. E and A)),Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
347.25,348.25,,,Main Part,P3(Main),,,,,U(E Horn 2 (orig. E and A)),U(E Horn 1 (orig. E and A)),P3(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P3(Violin 1)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Violoncello)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Violoncello)
348.25,349.25,,,P3(Oboe 2)&P7(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P3(Oboe 1)&P5(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),,,P7(Oboe 1)&P5(Oboe 2)&P6(Bassoon 2)&P6(E Horn 1 (orig. E and A))&P6(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(Bassoon 2)&U(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(Bassoon 2)&U(E Horn 1 (orig. E and A)),Main Part,P3(Main),,P8(Contrabass),P8(Violoncello)
349.25,350.25,,,Main Part,P3(Main),,,,,U(E Horn 2 (orig. E and A)),U(E Horn 1 (orig. E and A)),P3(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P3(Violin 1)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Violoncello)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Violoncello)
350.25,351.25,,,P3(Oboe 2)&P7(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),P3(Oboe 1)&P5(Bassoon 1)&P2(Bassoon 2)&P2(E Horn 1 (orig. E and A))&P2(E Horn 2 (orig. E and A)),,,P7(Oboe 1)&P5(Oboe 2)&P6(Bassoon 2)&P6(E Horn 1 (orig. E and A))&P6(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(E Horn 1 (orig. E and A))&U(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 2 (orig. E and A)),P2(Oboe 1)&P2(Oboe 2)&P6(Bassoon 1)&U(Bassoon 2)&P8(E Horn 1 (orig. E and A)),Main Part,P3(Main),,P8(Contrabass),P8(Violoncello)
351.25,352.25,P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 1)&U(A Clarinet 1)&P8(A Clarinet 2),Main Part,P3(Main)&P3(Violin 1)&P8(Violin 2),P8(Flute 1)&U(Flute 2)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1),,U(Viola)&P8(Violoncello)&P8(Contrabass),P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),P8(Main)&P3(Oboe 2)&P3(Violin 2),P3(Main)&P8(Oboe 2)&P3(Violin 1),U(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
352.25,360.0,,P8(Main)&P8(Bassoon 1),,P8(Violin 2),Main Part,,P8(Flute 2)&P8(Main),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,P8(Oboe 2),,P8(Contrabass),P8(Violoncello)
360.0,363.0,,,,,,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
363.0,364.0,,,P2(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2),,P2(Oboe 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P4(Bassoon 2),P5(Oboe 1)&P6(A Clarinet 1)&P8(Bassoon 1)&P3(Bassoon 2),P5(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P4(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1),Main Part,P8(Main)&P8(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),,U(Main)&P8(E Horn 2 (orig. E and A))&P5(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P5(E Horn 2 (orig. E and A))&P5(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Main)&P3(E Horn 2 (orig. E and A))&P3(Violin 2)&P3(Viola)&P8(Contrabass),P3(Main)&P3(E Horn 2 (orig. E and A))&P3(Violin 2)&P3(Viola)&P8(Violoncello)
364.0,364.5,,,P2(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2),,P2(Oboe 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P4(Bassoon 2),P5(Oboe 1)&P6(A Clarinet 1)&P8(Bassoon 1)&P3(Bassoon 2),P5(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P4(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1),P8(E Horn 2 (orig. E and A))&U(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P8(E Horn 1 (orig. E and A))&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),Main Part,U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P4(Viola)&P4(Violoncello)&P4(Contrabass),P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 2)&U(Violoncello)&P8(Contrabass),P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 2)&U(Viola)&P8(Contrabass),P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 2)&P8(Viola)&P8(Violoncello)
364.5,365.5,,,P3(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2),,P3(Oboe 1)&P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P4(Oboe 1)&P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P3(Oboe 1)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2),P4(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1),Main Part,P8(Main)&P8(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,U(Main)&P8(E Horn 2 (orig. E and A))&P4(Viola)&P4(Violoncello)&P4(Contrabass),P4(Main)&P4(E Horn 2 (orig. E and A))&P4(Violin 2)&U(Violoncello)&P8(Contrabass),P4(Main)&P4(E Horn 2 (orig. E and A))&P4(Violin 2)&U(Viola)&P8(Contrabass),P4(Main)&P4(E Horn 2 (orig. E and A))&P4(Violin 2)&P8(Viola)&P8(Violoncello)
365.5,368.25,,,,,,,,,,,Main Part,,,,
368.25,371.25,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,,,,Main Part,,P8(Main),
371.25,374.25,,,,,Main Part,,P8(Main),,,,,,,P8(Contrabass),P8(Violoncello)
374.25,377.25,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,,
377.25,381.0,Main Part,,,,,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,,,,
381.0,382.5,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
382.5,384.0,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,Main Part,P8(Main),,,,P8(Contrabass),P8(Violoncello)
384.0,385.0,P3(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P3(Bassoon 2),P5(Flute 1)&P3(Flute 2)&U(Oboe 2)&P5(A Clarinet 2)&P5(Bassoon 2),P5(Flute 1)&P3(Flute 2)&U(Oboe 1)&P5(A Clarinet 2)&P5(Bassoon 2),P8(Bassoon 1),P8(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(Bassoon 2),P8(A Clarinet 1),P8(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 2),,P8(Violoncello)&P8(Contrabass),Main Part,P3(Viola),P3(Violin 2),P8(E Horn 2 (orig. E and A))&P8(Contrabass),P8(E Horn 2 (orig. E and A))&P8(Violoncello)
385.0,389.25,Main Part,,U(Oboe 2),U(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,P8(Violoncello)&P8(Contrabass),,P8(Main),,P8(E Horn 2 (orig. E and A))&P8(Contrabass),P8(E Horn 2 (orig. E and A))&P8(Violoncello)
389.25,394.5,P6(Flute 2)&P2(Oboe 1)&P2(Oboe 2),P6(Flute 1)&P5(Oboe 1)&P5(Oboe 2),P2(Flute 1)&P5(Flute 2)&U(Oboe 2),P2(Flute 1)&P5(Flute 2)&U(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,Main Part,,,P8(Contrabass),P8(Violoncello)
394.5,396.25,,,,,Main Part,P8(Bassoon 2),P8(Main),P8(A Clarinet 2),P8(E Horn 2 (orig. E and A))&U(Violin 1),P8(E Horn 1 (orig. E and A))&P8(Violin 1),U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),,,P8(Contrabass),P8(Violoncello)
396.25,397.5,Main Part,,,,P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P3(Violin 1)&P8(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P3(Violin 1)&U(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 1)&P6(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 2 (orig. E and A))&U(Violin 1)&P3(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1 (orig. E and A))&P8(Violin 1)&P3(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P3(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P8(A Clarinet 1)&P6(A Clarinet 2)&U(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P3(Violin 1)&P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 1)&P6(Violin 2)&U(Violoncello)&P8(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 1)&P6(Violin 2)&U(Viola)&P8(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1 (orig. E and A))&P4(E Horn 2 (orig. E and A))&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)
397.5,399.25,,,,,Main Part,P8(Bassoon 2)&P8(Viola),P8(Main)&U(Violin 2),P8(A Clarinet 2)&U(Viola),P8(E Horn 2 (orig. E and A))&U(Violin 1),P8(E Horn 1 (orig. E and A))&P8(Violin 1),U(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P8(Main)&U(Bassoon 1),P8(A Clarinet 2)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
399.25,400.5,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2)&P8(Viola),P8(A Clarinet 1),P8(A Clarinet 2)&U(Viola),P8(E Horn 2 (orig. E and A))&P8(Violoncello)&P8(Contrabass),P8(E Horn 1 (orig. E and A))&P8(Violoncello)&P8(Contrabass),,,P8(A Clarinet 2)&U(Bassoon 2),P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Contrabass),P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Violoncello)
400.5,402.25,,,,,Main Part,P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Violin 2),P8(Main)&U(Violin 1),U(Viola)&P8(Violoncello)&P8(Contrabass),P8(A Clarinet 2)&P8(E Horn 2 (orig. E and A))&P8(Violin 2),P8(A Clarinet 2)&P8(E Horn 1 (orig. E and A))&P8(Violin 2),P8(Main)&U(Bassoon 1),P8(A Clarinet 2)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),U(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
402.25,403.5,Main Part,,,,P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(A Clarinet 1)&P3(Bassoon 1),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(A Clarinet 1)&P3(Bassoon 1),P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),P3(Violin 2),P3(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
403.5,403.75,,,,,Main Part,P3(Main)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main)&P3(A Clarinet 2)&P3(Bassoon 2)&P5(E Horn 1 (orig. E and A))&P5(E Horn 2 (orig. E and A))&P5(Viola)&P5(Violoncello)&P5(Contrabass),P3(Main)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(E Horn 2 (orig. E and A))&U(Viola)&P8(Violoncello)&P8(Contrabass),P5(Main)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(E Horn 1 (orig. E and A))&U(Viola)&P8(Violoncello)&P8(Contrabass),,,P5(Main)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(E Horn 1 (orig. E and A))&U(E Horn 2 (orig. E and A))&P8(Violoncello)&P8(Contrabass),P5(Main)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Contrabass),P5(Main)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Violoncello)
403.75,405.0,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,U(Viola)&P8(Violoncello)&P8(Contrabass),P3(Violin 2),P3(Violin 1),U(E Horn 2 (orig. E and A))&P8(Violoncello)&P8(Contrabass),P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Contrabass),P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Violoncello)
405.0,405.25,,,,,Main Part,P6(Main)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P6(A Clarinet 2)&P6(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P6(E Horn 2 (orig. E and A))&P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(Main)&P8(A Clarinet 2)&P6(Bassoon 1)&P4(E Horn 1 (orig. E and A))&U(E Horn 2 (orig. E and A))&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Main)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(E Horn 2 (orig. E and A))&P4(Viola)&P4(Violoncello)&P4(Contrabass),P6(Main)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1 (orig. E and A))&U(Viola)&U(Violoncello)&P8(Contrabass),,,P6(Main)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1 (orig. E and A))&U(E Horn 2 (orig. E and A))&U(Violoncello)&P8(Contrabass),P6(Main)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1 (orig. E and A))&U(E Horn 2 (orig. E and A))&U(Viola)&P8(Contrabass),P6(Main)&P8(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P8(Viola)&P8(Violoncello)
405.25,406.5,Main Part,U(Oboe 1)&P6(Oboe 2),U(Flute 2)&P6(Oboe 2),P6(Flute 2)&P6(Oboe 1),P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P6(E Horn 2 (orig. E and A))&P6(Violoncello)&P6(Contrabass),P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 2 (orig. E and A))&P8(Violoncello)&P8(Contrabass),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2)&P6(E Horn 2 (orig. E and A))&P6(Violoncello)&P6(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(E Horn 2 (orig. E and A))&U(Violoncello)&P8(Contrabass),,P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&U(Violoncello)&P8(Contrabass),,,,P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&U(E Horn 2 (orig. E and A))&P8(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 2 (orig. E and A))&P8(Violoncello)
406.5,412.5,,,,,Main Part,,,,,,,,,P8(Contrabass),P8(Violoncello)
