score_qstamp,qstamp,measure,beat,736442_tstamp,729168_tstamp,711708_tstamp,723422_tstamp
0.0,0.0,1,1.0,2.3,1.94,3.22,3.44
0.5,0.5,1,1.3333,3.1522,2.6122,4.0722,4.3522
1.0,1.0,1,1.6667,3.9086,3.4443,5.0043,5.2043
1.5,1.5,2,1.0,4.9165,4.3565,5.899,6.413
2.0,2.0,2,1.3333,5.7087,5.0487,6.8261,7.0687
2.5,2.5,2,1.6667,6.6236,5.8609,8.0809,9.3209
3.0,3.0,3,1.0,7.333,6.513,8.733,9.993
3.5,3.5,3,1.3333,8.1616,7.1652,9.4556,11.0572
3.875,3.875,3,1.5833,8.7686,7.7543,10.2143,11.9372
4.0,4.0,3,1.6667,8.9974,7.9174,10.3774,12.2496
4.5,4.5,4,1.0,9.9296,8.5896,11.2496,13.4696
5.0,5.0,4,1.3333,10.6451,9.2417,12.1417,14.5617
5.5,5.5,4,1.6667,11.5939,10.0539,13.0539,15.8573
6.0,6.0,5,1.0,12.4061,10.8061,13.9661,17.1027
6.5,6.5,5,1.3333,13.0783,11.4783,14.7332,18.1783
7.0,7.0,5,1.6667,13.9704,12.2504,15.6504,19.0904
7.5,7.5,6,1.0,14.8156,13.0556,16.6312,20.5026
8.5,8.5,6,1.6667,16.537,14.67,18.429,22.93
9.0,9.0,7,1.0,17.5391,15.4391,19.6791,24.6191
9.5,9.5,7,1.3333,18.4113,16.2513,20.3313,25.3713
10.0,10.0,7,1.6667,19.1235,16.967,21.2375,26.16
10.375,10.375,7,1.9167,19.7126,17.5126,21.9726,28.0126
10.5,10.5,8,1.0,19.9228,17.8428,22.277,28.2357
10.75,10.75,8,1.1667,20.3017,18.3817,22.8217,28.8417
11.0,11.0,8,1.3333,20.6478,18.7078,23.1678,29.3078
11.25,11.25,8,1.5,21.0017,19.0939,23.7095,29.8878
11.5,11.5,8,1.6667,21.4,19.42,24.12,30.44
11.75,11.75,8,1.8333,21.7983,19.8315,24.5722,31.0261
12.0,12.0,9,1.0,22.2722,20.4122,25.2522,32.391
12.25,12.25,9,1.1667,22.5983,20.7383,25.7383,33.1383
12.5,12.5,9,1.3333,22.9443,21.0643,26.0729,33.4522
12.75,12.75,9,1.5,23.2904,21.3904,26.4304,33.7704
13.0,13.0,9,1.6667,23.6165,21.7165,26.7565,34.0965
13.25,13.25,9,1.8333,24.0626,22.0652,27.2426,34.8426
13.5,13.5,10,1.0,24.6601,22.4887,27.6661,35.2487
13.75,13.75,10,1.1667,25.2348,22.8148,28.2548,35.8948
14.0,14.0,10,1.3333,25.5609,23.2209,28.5827,36.3335
14.25,14.25,10,1.5,25.887,23.567,28.967,36.947
14.5,14.5,10,1.6667,26.213,24.033,29.313,37.313
14.75,14.75,10,1.8333,26.5591,24.4191,29.6391,38.3991
15.0,15.0,11,1.0,26.906,24.7452,30.2452,39.0024
15.25,15.25,11,1.1667,27.2913,25.0713,30.5913,39.7313
15.5,15.5,11,1.3333,27.6174,25.3974,31.0974,40.0974
15.75,15.75,11,1.5,28.0835,25.7835,31.6635,40.427
15.875,15.875,11,1.5833,28.2465,25.9595,31.8265,40.799
16.0,16.0,11,1.6667,28.4688,26.1696,32.0376,41.1296
16.25,16.25,11,1.8333,28.8357,26.5157,32.5157,41.8757
16.5,16.5,12,1.0,29.2834,26.8417,32.8672,42.2153
16.75,16.75,12,1.1667,29.6478,27.6034,33.4678,43.4312
17.0,17.0,12,1.3333,30.0139,27.9539,33.7939,43.7939
17.25,17.25,12,1.5,30.4,28.28,34.16,44.12
17.5,17.5,12,1.6667,30.8183,28.6061,34.6383,44.5559
17.75,17.75,12,1.8333,31.1722,28.9722,35.1122,45.2922
18.0,18.0,13,1.0,31.4983,29.3183,35.4383,45.6183
18.25,18.25,13,1.1667,31.9043,29.6643,35.7643,45.9843
18.5,18.5,13,1.3333,32.2304,29.9904,36.0904,46.3104
18.75,18.75,13,1.5,32.6365,30.3365,36.6565,47.2765
19.0,19.0,13,1.6667,33.0016,30.6626,37.0564,47.7112
19.25,19.25,13,1.8333,33.5887,31.0287,37.6287,48.3287
19.5,19.5,14,1.0,33.9148,31.3748,37.9548,48.7896
19.75,19.75,14,1.1667,34.3409,32.0809,38.6609,50.5209
20.25,20.25,14,1.5,35.013,32.733,39.333,51.213
20.5,20.5,14,1.6667,35.3391,33.0591,39.7191,51.5391
20.75,20.75,14,1.8333,35.8052,33.5652,40.3052,52.2032
21.0,21.0,15,1.0,36.1313,33.8913,40.6313,52.8452
21.25,21.25,15,1.1667,36.7574,34.4374,41.0374,53.2774
21.5,21.5,15,1.3333,37.1035,34.8635,41.4265,53.6235
21.75,21.75,15,1.5,37.4992,35.1896,42.1496,54.2992
22.0,22.0,15,1.6667,37.8357,35.5557,42.4757,55.1727
22.25,22.25,15,1.8333,38.4017,36.0617,43.1417,56.1017
22.375,22.375,15,1.9167,38.5648,36.2248,43.3048,56.3648
22.5,22.5,16,1.0,38.7512,36.3878,43.5146,56.5356
22.75,22.75,16,1.1667,39.2339,36.8139,44.2139,57.0539
23.0,23.0,16,1.3333,39.58,37.14,44.54,58.08
23.5,23.5,16,1.6667,40.2322,37.9322,45.3142,59.0474
23.875,23.875,16,1.9167,40.7491,38.4543,45.9395,59.7691
24.0,24.0,17,1.0,41.1043,38.9443,46.4043,60.7443
24.5,24.5,17,1.3333,41.7565,39.5965,47.1965,61.3965
25.0,25.0,17,1.6667,42.4809,40.2687,48.1087,62.6087
25.5,25.5,18,1.0,43.3281,41.0218,49.2609,63.8609
26.0,26.0,18,1.3333,44.533,41.813,50.253,65.193
26.5,26.5,18,1.6667,45.1852,42.4852,51.1252,66.4652
26.875,26.875,18,1.9167,45.7286,43.0458,51.8029,67.1115
27.0,27.0,19,1.0,46.0348,43.3174,52.107,67.8358
27.5,27.5,19,1.3333,46.7288,43.9888,52.9992,68.6296
28.0,28.0,19,1.6667,47.5502,44.7634,53.9617,69.8817
28.5,28.5,20,1.0,48.3139,45.4539,54.8939,70.5339
29.0,29.0,20,1.3333,49.3061,46.4861,56.1261,72.3261
29.5,29.5,20,1.6667,50.0983,47.1383,56.8183,73.1983
30.0,30.0,21,1.0,51.0904,47.8304,57.5608,74.0704
31.0,31.0,21,1.6667,52.7948,49.3496,59.4844,76.7548
31.25,31.25,21,1.8333,53.3036,49.7436,60.0009,77.2054
31.5,31.5,22,1.0,53.891,50.187,60.369,78.229
31.75,31.75,22,1.1667,54.373,50.553,60.813,78.633
32.0,32.0,22,1.3333,54.8791,51.1191,61.6391,79.5982
32.5,32.5,22,1.6667,55.6426,51.9339,62.3339,80.6965
33.0,33.0,23,1.0,56.5635,52.6435,63.2635,81.9235
33.5,33.5,23,1.3333,57.3157,53.3557,64.0785,83.2127
33.75,33.75,23,1.5,57.7217,53.6834,64.7017,83.7617
34.0,34.0,23,1.6667,58.0678,54.1878,65.1678,84.3878
34.25,34.25,23,1.8333,58.4339,54.5139,65.6217,84.8939
34.5,34.5,24,1.0,59.08,55.12,66.24,85.74
35.0,35.0,24,1.3333,59.8122,55.9922,67.1722,86.7922
35.5,35.5,24,1.6667,60.4643,56.6443,67.8243,87.6643
