qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,C6,r,C5,E4,C5,r,E3,C3,r,r,r,r,r,r,C4,r,G3,r,r
1.5,1.0,1,2.0,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
2.5,1.6667,1,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
3.0,2.0,2,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
4.5,3.0,2,2.0,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
5.5,3.6667,2,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
6.0,4.0,3,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
6.5,4.3333,3,1.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
7.0,4.6667,3,1.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
7.5,5.0,3,2.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
8.0,5.3333,3,2.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
8.5,5.6667,3,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
9.0,6.0,4,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
9.5,6.3333,4,1.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
10.0,6.6667,4,1.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
10.5,7.0,4,2.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
11.0,7.3333,4,2.3333,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
11.5,7.6667,4,2.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,G3,r,r
12.0,8.0,5,1.0,r,r,r,r,C5,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
13.5,9.0,5,2.0,r,r,r,r,C5,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
14.5,9.6667,5,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
15.0,10.0,6,1.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
16.5,11.0,6,2.0,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
17.5,11.6667,6,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
18.0,12.0,7,1.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
18.5,12.3333,7,1.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
19.0,12.6667,7,1.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
19.5,13.0,7,2.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
20.0,13.3333,7,2.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
20.5,13.6667,7,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
21.0,14.0,8,1.0,r,r,r,r,r,r,r,r,G4,r,r,r,r,r,r,r,G3,C3,r
21.5,14.3333,8,1.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,G3,C3,r
22.0,14.6667,8,1.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,G3,C3,r
22.5,15.0,8,2.0,r,r,r,r,r,r,r,r,A4,r,r,r,r,r,r,A4,A3,C3,r
23.0,15.3333,8,2.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,A4,A3,C3,r
23.5,15.6667,8,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,A4,A3,C3,r
24.0,16.0,9,1.0,r,r,r,r,A4,F4,A3,F3,A4,r,r,r,r,r,A5,A4,A3,C3,r
24.5,16.3333,9,1.3333,r,r,r,r,A4,F4,A3,F3,A4,r,r,r,r,r,A5,r,C4,r,r
25.5,17.0,9,2.0,r,r,r,r,A4,F4,A3,F3,A4,r,r,r,r,r,F5,r,C4,r,r
26.5,17.6667,9,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,C6,r,C4,F3,r
27.0,18.0,10,1.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,F3,r
28.5,19.0,10,2.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,F5,r,C4,r,r
29.5,19.6667,10,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,C5,r,C4,F3,r
30.0,20.0,11,1.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,F5,r,C4,F3,r
31.0,20.6667,11,1.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,r,r
31.5,21.0,11,2.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,C6,r,C4,r,r
32.5,21.6667,11,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,F3,r
33.0,22.0,12,1.0,r,r,r,r,B-4,F4,F3,D3,r,r,r,r,r,r,B-5,r,D4,D3,r
34.5,23.0,12,2.0,r,r,r,r,B-4,F4,F3,D3,r,r,r,r,r,r,B-5,r,D4,r,r
35.5,23.6667,12,2.6667,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,G5,r,C4,E3,r
36.0,24.0,13,1.0,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,B-5,r,C4,E3,r
37.5,25.0,13,2.0,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,G5,r,C4,r,r
38.5,25.6667,13,2.6667,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,C6,r,C4,C3,r
39.0,26.0,14,1.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,F3,r
40.5,27.0,14,2.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,F5,r,D4,D3,r
41.5,27.6667,14,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,D4,A2,r
42.0,28.0,15,1.0,r,r,r,r,G4,F4,G3,F3,r,r,r,r,r,r,G5,r,D4,B-2,r
43.0,28.6667,15,1.6667,r,r,r,r,G4,F4,G3,F3,r,r,r,r,r,r,D5,r,D4,r,r
43.5,29.0,15,2.0,r,r,r,r,G4,E4,G3,E3,C4,C3,r,r,r,r,E5,r,G3,C3,r
44.5,29.6667,15,2.6667,r,r,r,r,G4,E4,G3,E3,C4,C3,r,r,r,r,C5,r,C4,C2,r
45.0,30.0,16,1.0,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,C5,r,C4,F2,r
45.5,30.3333,16,1.3333,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,F5,r,C4,F2,r
46.5,31.0,16,2.0,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,F5,r,C4,r,r
47.5,31.6667,16,2.6667,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,A5,r,C4,r,r
48.0,32.0,17,1.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
