qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
417.0,422.5,P8(F Horn 1)&P8(Violin 1),P8(C Trumpet 1)&P8(C Trumpet 2),P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P3(F Horn 2),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bassoon 2)&P3(F Horn 2),,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 2),P8(Flute 1)&P8(Violin 1),P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Flute 2)&P8(C Trumpet 2),P8(Flute 2)&P8(C Trumpet 1),P8(Tenor Trombone),P8(Alto Trombone),P8(Flute 1)&P8(F Horn 1),,Main Part,U(Main),
422.5,428.5,P8(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1)&P8(F Horn 1)&P8(F Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2),P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Oboe 1)&P8(Bb Clarinet 1),,P8(Flute 1)&P8(Flute 2)&P8(F Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2),P8(Flute 1)&P8(Flute 2)&P8(F Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1)&U(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1),,,Main Part,,U(Violoncello),U(Viola),
428.5,435.0,P8(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2),,,P5(Flute 1)&P5(Flute 2)&P3(Bb Clarinet 2)&P5(F Horn 1)&P5(F Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1)&P3(F Horn 1)&P3(F Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),,,P8(Flute 1)&P8(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2),P8(Flute 1)&P8(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1)&U(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 2),P8(Flute 1)&P8(Flute 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1),,,,,Main Part,U(Main),
435.0,436.5,,,,P8(Bassoon 1)&P6(Bassoon 2),,,P8(Oboe 2)&P6(Bassoon 2),P6(Oboe 2)&P6(Bassoon 1),U(F Horn 2)&P3(Viola)&P3(Violoncello),U(F Horn 1)&P3(Viola)&P3(Violoncello),,,,,Main Part,,P3(F Horn 1)&P3(F Horn 2)&U(Violoncello),P3(F Horn 1)&P3(F Horn 2)&U(Viola),
436.5,438.0,U(Flute 2),U(Flute 1),P3(Oboe 2),P3(Oboe 1),,,,,U(F Horn 2),U(F Horn 1),,,,,,,Main Part,U(Main),
438.0,439.5,,,P8(Bassoon 1)&P3(Bassoon 2),,,,P8(Oboe 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Bassoon 1),U(F Horn 2),U(F Horn 1),,,,,Main Part,,U(Violoncello),U(Viola),
439.5,441.0,,P2(Violin 1),,,P3(Bb Clarinet 2)&P3(Contrabass),P3(Bb Clarinet 1)&P8(Contrabass),P3(Bassoon 2),P3(Bassoon 1),U(F Horn 2),U(F Horn 1),,,,,P2(Flute 2),,Main Part,U(Main),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)
441.0,453.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,,
453.0,459.0,,,P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,,
459.0,465.0,,,P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,,
465.0,472.5,,,P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,,
472.5,478.0,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1),,P3(Flute 1)&P3(Oboe 2)&P8(Bb Clarinet 1),P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 1),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2),P3(Bassoon 1)&P8(Bassoon 2),P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Bb Clarinet 2)&P3(Bassoon 1),,,P8(C Trumpet 2),P8(C Trumpet 1),P8(Tenor Trombone),P8(Alto Trombone),Main Part,,,,
478.0,483.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),P3(Tenor Trombone),P3(Alto Trombone),Main Part,,,,
483.0,489.0,,,U(Main),,,,,,P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,P8(Contrabass),P8(Violoncello)
489.0,504.0,P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P6(F Horn 1)&P6(F Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P6(Contrabass),P8(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P6(F Horn 1)&P6(F Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P6(Contrabass),P8(Flute 1)&U(Flute 2)&P3(Oboe 2)&P6(F Horn 1)&P6(F Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P6(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(F Horn 1)&P4(F Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&P4(Contrabass),,,,,P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(F Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P6(Alto Trombone)&U(Tenor Trombone)&P8(Contrabass),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(F Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P8(Contrabass),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P8(Contrabass),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&U(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1)&P6(Alto Trombone)&U(Tenor Trombone)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P6(F Horn 1)&P6(F Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P6(Tenor Trombone)&P6(Contrabass),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&U(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P6(Alto Trombone)&P8(Contrabass),Main Part,,,,P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(F Horn 1)&P8(F Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)
504.0,515.5,,,,,P4(Bb Clarinet 2)&P3(Bassoon 1)&P2(Bassoon 2),P4(Bb Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2),P3(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 2),P2(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1),,,,,,,,Main Part,,,
515.5,521.5,,P5(Oboe 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P5(Violoncello)&P5(Contrabass),P3(Bb Clarinet 2),P5(Flute 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violoncello)&P8(Contrabass),P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P3(Oboe 1),P3(Bassoon 2),P3(Bb Clarinet 1)&P3(Bassoon 1)&P5(F Horn 1)&P5(F Horn 2),P3(Bb Clarinet 1)&P5(Bassoon 2)&P8(F Horn 2),P3(Bb Clarinet 1)&P5(Bassoon 2)&P8(F Horn 1),U(Flute 2)&P5(Oboe 2)&P8(C Trumpet 2)&P5(Violoncello)&P5(Contrabass),P8(Flute 2)&P5(Oboe 2)&P8(C Trumpet 1)&P5(Violoncello)&P5(Contrabass),,,,,Main Part,P5(Flute 2)&P8(Oboe 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Contrabass),P5(Flute 2)&P8(Oboe 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violoncello)
521.5,528.0,P8(Flute 2)&P3(Bb Clarinet 1)&P8(F Horn 1)&P3(Violin 2)&P8(Viola),P8(Flute 1)&P3(Bb Clarinet 1)&P8(F Horn 1)&P3(Violin 2)&P8(Viola),P3(Oboe 2)&P8(Bassoon 1),P3(Oboe 1)&P3(Bassoon 1),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(F Horn 1)&P8(Violin 2)&P3(Viola),P3(Bb Clarinet 1)&P8(Bassoon 2)&P3(Violin 2),P8(Oboe 1)&P3(Oboe 2),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Violin 2),P8(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P3(Violin 2)&P8(Viola),,P8(C Trumpet 2),P8(C Trumpet 1),,,,P3(Flute 1)&P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(F Horn 1)&P3(Viola),P8(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(F Horn 1)&P3(Violin 2),Main Part,
528.0,545.5,P8(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&U(Violin 1)&P8(Viola),P8(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&U(F Horn 1)&P3(F Horn 2)&P8(Violin 1)&P8(Viola),U(Flute 1)&P8(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&U(Violin 1)&P8(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P3(Violin 1)&P3(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P3(Violin 1)&P3(Viola),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(F Horn 1)&P3(F Horn 2)&P8(Violin 1)&P8(Viola),Main Part,U(Main),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(F Horn 2)&P8(Violin 1)&P8(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 1)&P3(Violin 1)&P3(Viola),,,,,U(Flute 1)&P8(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P8(Viola),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P8(Violin 1),,
545.5,557.5,P3(Oboe 1)&P8(Bassoon 1)&P3(Bassoon 2),,P3(Flute 1)&P3(Bassoon 1)&P8(Bassoon 2),,,,P8(Flute 1)&P3(Oboe 1)&P3(Bassoon 2),P3(Flute 1)&P8(Oboe 1)&P3(Bassoon 1),,,,,,,,Main Part,,,
557.5,567.0,P3(Oboe 1),,P3(Flute 1),U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 2),U(Oboe 2)&P3(Bb Clarinet 2)&P3(F Horn 2),P3(Oboe 2)&P3(Bb Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),,P3(Oboe 2)&P3(Bb Clarinet 1),P8(C Trumpet 2)&P6(Alto Trombone)&P4(Tenor Trombone),P8(C Trumpet 1)&P6(Alto Trombone)&P4(Tenor Trombone),P6(C Trumpet 1)&P6(C Trumpet 2)&P3(Tenor Trombone),P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Alto Trombone),Main Part,,,,
567.0,585.0,Main Part,,P8(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1),,P3(Bb Clarinet 2),P3(Bb Clarinet 1),P8(Oboe 1)&P3(Bassoon 2)&P3(F Horn 1),P3(Oboe 1)&P3(Bassoon 1)&P8(F Horn 1),P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,P8(C Trumpet 2),P8(C Trumpet 1),,,,,,,
585.0,597.0,,,,,,,,,,,,,,,Main Part,,,,
597.0,608.5,P5(Oboe 2),U(C Trumpet 1)&P8(C Trumpet 2),,P5(Flute 1),P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),,,U(Flute 2)&P8(C Trumpet 2),P8(Flute 2)&P8(C Trumpet 1),,,Main Part,,,,
608.5,615.0,P8(Flute 2)&P3(Bb Clarinet 1)&P8(F Horn 1)&P3(Violin 2),P8(Flute 1)&P3(Bb Clarinet 1)&P8(F Horn 1)&P3(Violin 2),P3(Oboe 2),P3(Oboe 1),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P3(F Horn 1)&P8(Violin 2),P3(Bb Clarinet 1)&P3(Violin 2),,,P8(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P3(Violin 2),P8(Viola),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,P3(Flute 1)&P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 1),P8(F Horn 2),,
615.0,630.0,P8(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 2)&U(Violin 1)&P3(Violin 2),P8(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(F Horn 2)&P8(Violin 1)&P3(Violin 2),U(Flute 1)&P8(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 2)&U(Violin 1)&P3(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 2)&P3(Violin 1)&P8(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2)&P8(F Horn 2)&P3(Violin 1)&P8(Violin 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(F Horn 2)&P8(Violin 1)&P3(Violin 2),U(Bassoon 2)&U(Main),U(Bassoon 1)&U(Main),,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Violin 1)&P8(Violin 2),,,,,U(Flute 1)&P8(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 2)&P3(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 2)&P3(Violin 1),,Main Part,
630.0,632.5,,,,,,,U(Bassoon 2),U(Bassoon 1),Main Part,,,,,,,,,,
632.5,636.0,Main Part,,,,,,P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,
636.0,638.5,,,,,,,Main Part,,,,,,,,,,,,
638.5,641.5,,,Main Part,,,,P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,
641.5,644.5,,,,,,,,,Main Part,,,,,,,,,P8(Contrabass),P8(Violoncello)
644.5,654.0,Main Part,,P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),,P3(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),,P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),,,P8(C Trumpet 2)&P6(Alto Trombone)&P4(Tenor Trombone),P8(C Trumpet 1)&P6(Alto Trombone)&P4(Tenor Trombone),P6(C Trumpet 1)&P6(C Trumpet 2)&P3(Tenor Trombone),P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Alto Trombone),,,,P8(Contrabass),P8(Violoncello)
654.0,684.0,Main Part,,,,,,,,,,P8(C Trumpet 2),P8(C Trumpet 1),,,U(Main),,,P8(Contrabass),P8(Violoncello)
684.0,708.0,Main Part,,,P8(Tenor Trombone),,,,,P8(F Horn 2),P8(F Horn 1),U(C Trumpet 2),U(C Trumpet 1),,P8(Oboe 2),,,,P8(Contrabass),P8(Violoncello)
708.0,732.0,P8(Oboe 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Oboe 2)&P3(Bb Clarinet 2),P8(Flute 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Flute 2)&P3(Bb Clarinet 2),P3(Bassoon 1),P3(Flute 2)&P3(Oboe 2),P3(Bb Clarinet 1),P8(Flute 1)&P8(Oboe 1)&P8(F Horn 1)&U(F Horn 2)&P8(Contrabass),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2)&P8(F Horn 2)&P8(Contrabass),P8(Flute 1)&P8(Oboe 1)&U(Bassoon 2)&P8(F Horn 1)&P8(Contrabass),,,,,Main Part,,,,P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)
732.0,737.5,P8(Bb Clarinet 2)&P8(Violin 2),P8(Bb Clarinet 1)&U(Main)&P6(Viola),P8(F Horn 1),,P8(Flute 2)&P8(Main)&P6(Viola),P8(Flute 1)&P8(Violin 2),P8(Bassoon 2),P8(Bassoon 1),P8(Oboe 1),,,,,,Main Part,P8(Flute 1)&P8(Bb Clarinet 2),P6(Flute 2)&P6(Bb Clarinet 1)&P6(Main),P8(Contrabass),P8(Violoncello)
737.5,743.5,,,Main Part,,,,,,,,,,,,P3(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Contrabass),P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violoncello)
743.5,749.5,,,P3(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P6(F Horn 1)&P3(F Horn 2),P3(Oboe 1)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P4(F Horn 1)&P8(F Horn 2),P6(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P6(Bassoon 2)&P8(F Horn 1)&P4(F Horn 2),P8(Oboe 1)&P3(Oboe 2)&P6(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P6(F Horn 1)&P3(F Horn 2),P3(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P4(F Horn 1)&P8(F Horn 2),P8(Oboe 1)&P3(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P6(F Horn 1)&P3(F Horn 2),P6(Oboe 1)&P4(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P6(Bassoon 2)&P4(F Horn 2),P3(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P4(F Horn 1),,,,,Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
749.5,755.5,,,Main Part,P3(Bb Clarinet 2),P8(F Horn 1),P3(Oboe 2),P3(Bassoon 2),P3(Bassoon 1),P8(Bb Clarinet 1),,,,,,P3(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Contrabass),P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violoncello)
755.5,777.0,,,Main Part,,,,P3(Violin 2),,,,P8(C Trumpet 2),P8(C Trumpet 1),P3(Tenor Trombone),P3(Alto Trombone),,P3(Bassoon 1),,P8(Contrabass),P8(Violoncello)
777.0,789.0,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Bassoon 2),P8(Bassoon 1),Main Part,P4(C Trumpet 1)&P4(C Trumpet 2),P4(F Horn 2)&P8(C Trumpet 2),P4(F Horn 2)&P8(C Trumpet 1),P8(Tenor Trombone),P8(Alto Trombone),,,,P8(Contrabass),P8(Violoncello)
