qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
120.0,121.5,P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),,P8(F Horn 1)&P8(F Horn 2),P8(Flute 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),P8(Oboe 1)&U(F Horn 2),P8(Oboe 1)&U(F Horn 1),,,,,,,Main Part,U(Main),
121.5,135.0,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,U(F Horn 2),U(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),P3(Tenor Trombone),P3(Alto Trombone),Main Part,,,,
135.0,141.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),U(F Horn 2),U(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),P3(Tenor Trombone),P3(Alto Trombone),Main Part,,,,
141.0,148.5,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1),P8(Flute 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1),,P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),P3(Tenor Trombone),P3(Alto Trombone),Main Part,,,,
148.5,154.0,,,,,,,,,P8(F Horn 2)&P8(Viola),P8(F Horn 1)&P8(Viola),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,P8(Main),P8(F Horn 1)&P8(F Horn 2),,
154.0,159.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,,,P8(Contrabass),P8(C Trumpet 1),P8(F Horn 2),,P3(Tenor Trombone),P3(Alto Trombone),Main Part,,,,P8(F Horn 1)
159.0,170.0,,P3(Oboe 1)&P8(Oboe 2),P3(Flute 2)&P3(Oboe 2)&P3(F Horn 1)&P3(F Horn 2),P8(Flute 2)&P3(Oboe 1),U(Bb Clarinet 2),U(Bb Clarinet 1),,,P3(Oboe 1)&P8(F Horn 2),P3(Oboe 1)&P8(F Horn 1),,,P3(Tenor Trombone),P3(Alto Trombone),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
170.0,175.5,Main Part,,,,,,,,,,,,,,,P3(Viola),P3(Violin 2),,
175.5,178.5,,,Main Part,,P8(F Horn 2),,,,,P8(Bb Clarinet 1),,,,,,P3(Viola),P3(Violin 2),,
178.5,183.0,,,,,Main Part,,P3(F Horn 1),,P3(Bassoon 1),P3(Violin 2)&P5(Viola),,,,,,P3(F Horn 2)&P3(Viola),P5(F Horn 2)&P3(Violin 2),,
