qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,1,0.0,a,T,5
24.0,4,1,0.0,a,B,6
40.0,6,1,0.0,a,A,4
64.0,9,1,0.0,a,S,2
88.0,12,1,0.0,a,S,3
104.0,14,1,0.0,a,Vln,0
128.0,17,1,0.0,a,Vln,1
140.0,18,3,0.5,a,T,5
164.0,21,3,0.5,a,A,4
188.0,24,3,0.5,a,S,3
200.0,26,1,0.0,a,S,2
224.0,29,1,0.0,a,Vln,1
236.0,30,3,0.5,a,Vln,0
268.0,34,3,0.5,a,S,3
270.0,34,4,0.75,a,S,2
300.0,38,3,0.5,a,Vln,0
314.0,40,2,0.25,a,S,2
334.0,42,4,0.75,a,S,2
341.0,43,3.5,0.625,a,A,4
342.0,43,4,0.75,a,S,3
353.0,45,1.5,0.125,a,Vln,1
