qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,1.67,0.0,a,S,11
2.5,3,1.33,0.333,a,Fl,4
4.0,4,1.33,0.333,a,Ob,6
5.5,5,1.33,0.333,a,Vln,8
7.0,6,1.33,0.333,a,Tpt,0
9.0,7,1.67,0.667,a,S,11
15.0,11,1.67,0.667,a,S,11
16.5,12,1.67,0.667,a,S,15
18.0,13,1.67,0.667,a,Tpt,0
21.0,15,1.67,0.667,a,A,12
24.0,17,1.67,0.667,a,S,11
27.0,19,1.67,0.667,a,B,14
30.0,21,1.67,0.667,a,T,13
34.5,24,1.67,0.667,a,Fl,4
39.0,27,1.67,0.667,a,Tpt,0
41.75,29,1.5,0.5,a,Fl,4
45.0,31,1.67,0.667,a,S,15
47.75,33,1.5,0.5,a,Fl,4
51.0,35,1.67,0.667,a,S,15
54.0,37,1.67,0.667,a,Fl,4
57.0,39,1.67,0.667,a,T,17
60.0,41,1.67,0.667,a,A,16
63.0,43,1.67,0.667,a,B,18
66.0,45,1.67,0.667,a,S,15
70.5,48,1.67,0.667,a,Fl,4
75.0,51,1.67,0.667,a,Tpt,0
77.75,53,1.5,0.5,a,Fl,4
81.0,55,1.67,0.667,a,S,11
83.75,57,1.5,0.5,a,Fl,4
87.0,59,1.67,0.667,a,Tpt,0
89.75,61,1.5,0.5,a,Fl,4
93.0,63,1.67,0.667,a,B,14
96.0,65,1.67,0.667,a,T,13
99.0,67,1.67,0.667,a,A,12
102.0,69,1.67,0.667,a,S,11
105.0,71,1.67,0.667,a,S,15
108.0,73,1.67,0.667,a,A,16
111.0,75,1.67,0.667,a,T,17
114.0,77,1.67,0.667,a,B,18
117.0,79,1.67,0.667,a,Fl,4
120.0,81,1.67,0.667,a,Tpt,0
123.0,83,1.67,0.667,a,S,15
126.0,85,1.67,0.667,a,S,11
127.5,86,1.67,0.667,a,S,15
129.0,87,1.67,0.667,a,S,11
130.0,88,1.33,0.333,a,Fl,4
133.5,90,1.67,0.667,a,S,11
135.0,91,1.67,0.667,a,S,15
138.0,93,1.67,0.667,a,S,11
141.0,95,1.67,0.667,a,A,12
144.0,97,1.67,0.667,a,S,11
147.0,99,1.67,0.667,a,A,12
150.0,101,1.67,0.667,a,Tpt,0
156.0,105,1.67,0.667,a,T,13
159.0,107,1.67,0.667,a,T,17
162.0,109,1.67,0.667,a,Tpt,1
168.0,113,1.67,0.667,a,S,11
169.5,114,1.67,0.667,a,S,15
171.0,115,1.67,0.667,a,Tpt,0
174.0,117,1.67,0.667,a,Fl,4
180.0,121,1.67,0.667,a,Tpt,0
182.5,123,1.33,0.333,a,Tpt,1
185.5,125,1.33,0.333,a,Tpt,0
192.0,129,1.67,0.667,a,Fl,4
199.0,134,1.33,0.333,a,Fl,4
202.0,136,1.33,0.333,a,Fl,4
208.0,140,1.33,0.333,a,Fl,4
209.75,141,1.5,0.5,a,Ob,7
210.75,142,1.17,0.167,a,Fl,4
216.0,145,1.67,0.667,a,Tpt,0
