qstamp,tstamp,measure,beat,Oboe d’amore 1,Oboe d’amore 2,Violin 1,Violin 2,Viola,Soprano 1 solo,Alto solo,Continuo
0.0,0.0,1,1.0,G4,G4,G4,r,B3,r,r,G2
0.5,0.4054,1,1.5,G4,G4,G4,r,C4,r,r,A2
1.0,0.8108,1,2.0,r,r,r,G4,D4,r,r,B2
1.5,1.2162,1,2.5,G4,G4,G4,G4,B3,r,r,G2
2.0,1.6216,1,3.0,A4,A4,A4,r,E4,r,r,C3
2.5,2.027,1,3.5,G4,G4,G4,G4,D4,r,r,B2
3.0,2.4324,1,4.0,r,r,r,A4,E4,r,r,C3
3.5,2.8378,1,4.5,r,r,r,G4,D4,r,r,B2
4.0,3.2432,2,1.0,A4,A4,A4,r,E4,r,r,C3
4.5,3.6486,2,1.5,B4,B4,B4,r,D4,r,r,B2
5.0,4.0541,2,2.0,C5,C5,C5,E4,C4,r,r,A2
5.5,4.4595,2,2.5,C5,C5,C5,F#4,D4,r,r,D3
6.0,4.8649,2,3.0,C5,C5,C5,G4,D4,r,r,G2
6.5,5.2703,2,3.5,B4,B4,B4,G4,G3,r,r,G3
6.75,5.473,2,3.75,C5,C5,C5,G4,G3,r,r,G3
7.0,5.6757,2,4.0,D5,D5,D5,G4,B3,r,r,r
7.25,5.8784,2,4.25,B4,B4,B4,G4,B3,r,r,r
7.5,6.0811,2,4.5,G4,G4,G4,G4,E4,r,r,E3
7.75,6.2838,2,4.75,B4,B4,B4,G4,E4,r,r,E3
8.0,6.4865,3,1.0,A4,A4,A4,G4,r,r,r,C#3
8.5,6.8919,3,1.5,B4,B4,B4,F#4,D4,r,r,D3
8.75,7.0946,3,1.75,C#5,C#5,C#5,E4,D4,r,r,D3
9.0,7.2973,3,2.0,D5,D5,D5,F#4,B3,r,r,r
9.25,7.5,3,2.25,A4,A4,A4,F#4,B3,r,r,r
9.5,7.7027,3,2.5,F#4,F#4,F#4,F#4,D4,r,r,B2
9.75,7.9054,3,2.75,A4,A4,A4,F#4,D4,r,r,B2
10.0,8.1081,3,3.0,G4,G4,G4,F#4,r,r,r,E3
10.5,8.5135,3,3.5,G4,G4,G4,E4,B3,r,r,G3
10.75,8.7162,3,3.75,G4,G4,G4,F#4,B3,r,r,G3
11.0,8.9189,3,4.0,G4,G4,G4,G4,E3,r,r,r
11.25,9.1216,3,4.25,G4,G4,G4,E4,E3,r,r,r
11.5,9.3243,3,4.5,G4,G4,G4,B3,G3,r,r,E3
11.75,9.527,3,4.75,G4,G4,G4,D4,G3,r,r,E3
12.0,9.7297,4,1.0,G4,G4,G4,C#4,r,r,r,A3
12.25,9.9324,4,1.25,G4,G4,G4,B3,r,r,r,A3
12.5,10.1351,4,1.5,B4,B4,B4,C#4,G4,r,r,A2
12.75,10.3378,4,1.75,B4,B4,B4,D4,G4,r,r,A2
13.0,10.5405,4,2.0,A4,A4,A4,E4,C#4,r,r,r
