score_qstamp,qstamp,measure,beat,589447_tstamp,736429_tstamp,736435_tstamp,729158_tstamp,711706_tstamp,723420_tstamp,735784_tstamp,736413_tstamp
0.0,0.0,1,1.0,2.1,1.04,3.58,0.38,0.0044,0.84,1.0,1.62
1.5,1.5,1,2.5,8.7371,1.116,8.8771,0.3962,0.0169,8.3371,7.1771,9.1971
1.875,1.875,1,2.875,9.4714,1.1714,9.5914,0.4514,0.0211,9.1228,7.9514,10.128
2.0,2.0,2,1.0,9.7895,1.2895,9.8485,0.6495,0.0895,9.3695,8.1295,10.5295
3.375,3.375,2,2.375,12.4686,1.3325,12.1886,0.8971,0.3125,11.7286,10.2286,13.7486
3.5,3.5,2,2.5,12.7067,1.3344,12.3867,0.8996,0.3144,11.9667,10.4067,13.9867
3.875,3.875,2,2.875,13.442,1.3399,13.061,0.9195,0.321,12.661,11.061,14.703
4.0,4.0,3,1.0,13.699,1.3599,13.299,1.099,0.3599,12.919,11.259,14.979
5.25,5.25,3,2.25,16.22,1.4371,15.26,1.6717,0.552,14.94,13.24,17.82
5.375,5.375,3,2.375,16.4181,1.44,15.4181,1.6737,0.554,15.5524,13.4381,17.9581
5.5,5.5,3,2.5,16.6962,1.444,15.6562,1.6758,0.556,15.8162,13.6162,18.1962
5.75,5.75,3,2.75,17.1724,1.4521,16.1324,1.6799,0.5724,16.3048,13.9524,18.6972
6.0,6.0,4,1.0,17.863,1.4686,16.6286,1.7486,0.6643,16.9486,14.3486,19.223
7.1667,7.1667,4,2.1667,20.2309,1.7211,18.5909,4.0109,0.8112,19.1709,16.4909,21.6909
7.3333,7.3333,4,2.3333,20.5282,1.8605,18.8482,4.2482,0.8141,19.7082,16.6282,21.9282
7.5,7.5,4,2.5,20.8657,1.8792,19.1657,4.4457,0.8171,20.0257,16.9257,22.2457
7.6667,7.6667,4,2.6667,21.2728,1.8898,19.4832,4.7632,0.8202,20.4864,17.2832,22.5632
7.8333,7.8333,4,2.8333,21.6842,1.9006,19.806,5.1502,0.8406,20.883,17.6102,22.8812
8.0,8.0,5,1.0,22.4305,2.0981,20.3581,5.7781,0.9395,21.7848,18.5639,23.4181
9.25,9.25,5,2.25,25.139,3.0104,22.8019,8.139,1.8293,24.549,21.158,26.1263
9.375,9.375,5,2.375,25.3571,3.0137,22.8771,8.3771,1.8327,24.8542,21.4484,26.3371
9.5,9.5,5,2.5,25.5952,3.0169,23.1856,8.6152,1.8362,25.2808,21.6752,26.6056
9.625,9.625,5,2.625,25.8533,3.0333,23.5264,8.7733,1.8396,25.5666,21.9133,26.8533
9.75,9.75,5,2.75,26.1856,3.2514,23.8456,8.9514,1.9914,25.9856,22.2656,27.1142
9.875,9.875,5,2.875,26.516,3.3695,24.1295,9.1895,2.1895,26.497,22.5295,27.379
10.0,10.0,6,1.0,26.9132,3.4406,24.7284,9.4276,2.4008,26.9676,22.8276,27.7656
11.25,11.25,6,2.25,29.4486,4.2686,28.4405,11.9802,4.1609,29.2086,24.1286,30.9686
11.5,11.5,6,2.5,29.5648,4.3648,28.5848,11.9903,4.2448,29.5648,24.1848,31.0648
11.75,11.75,6,2.75,29.681,4.441,28.681,12.021,4.361,29.681,24.261,31.161
12.0,12.0,7,1.0,29.7371,4.5371,28.7771,12.1171,4.4399,29.7771,24.3771,31.2371
12.25,12.25,7,1.25,29.8733,4.6733,28.8933,12.1733,4.5533,29.8533,24.4533,31.3333
12.5,12.5,7,1.5,29.9295,4.7192,29.0095,12.3284,4.6295,29.9895,24.5695,31.4495
12.75,12.75,7,1.75,30.0028,4.7857,29.0828,12.3657,4.7257,30.0857,24.6257,31.5257
13.0,13.0,7,2.0,30.1419,4.8419,29.1619,12.6419,4.8019,30.1619,24.7219,31.6019
13.5,13.5,7,2.5,30.4093,4.9695,29.5483,12.7694,5.0901,30.5482,24.7919,31.9872
14.0,14.0,8,1.0,30.5667,5.0004,29.7067,12.8867,5.3867,30.6867,25.1534,32.1467
14.25,14.25,8,1.25,30.6519,5.0057,29.7919,12.9719,5.4719,30.7719,25.3319,32.2519
14.5,14.5,8,1.5,30.7571,5.0111,29.8771,13.1342,5.5571,30.9571,25.4171,32.3884
14.75,14.75,8,1.75,30.8823,5.0164,29.9623,13.2223,5.6423,31.1223,25.5023,32.5023
15.0,15.0,8,2.0,30.9876,5.0292,30.0876,13.3076,5.7276,31.2076,25.5876,32.5876
15.25,15.25,8,2.25,31.0728,5.0655,30.1728,13.3928,5.8128,31.2928,25.6728,32.6728
15.5,15.5,8,2.5,31.158,5.0797,30.258,13.478,5.8593,31.378,25.758,32.758
15.75,15.75,8,2.75,31.3033,5.1516,30.4033,13.5633,5.9233,31.4633,25.8433,32.8433
16.0,16.0,9,1.0,31.397,5.2285,30.4885,13.6485,6.0085,31.5485,25.9485,32.9285
16.25,16.25,9,1.25,31.4937,5.2617,30.5937,13.7337,6.0937,31.6537,26.0474,33.0137
16.5,16.5,9,1.5,31.5789,5.2643,30.6978,13.8589,6.1789,31.8156,26.1389,33.0989
16.75,16.75,9,1.75,31.6842,5.267,30.7842,13.9442,6.2642,31.9242,26.2242,33.1842
17.0,17.0,9,2.0,31.7694,5.2697,30.9294,14.0494,6.3494,32.0188,26.3094,33.2694
17.25,17.25,9,2.25,31.8546,5.2723,31.0346,14.1346,6.4346,32.1346,26.3946,33.3546
17.5,17.5,9,2.5,31.9398,5.275,31.1396,14.2198,6.5398,32.2596,26.4798,33.4398
17.75,17.75,9,2.75,32.0404,5.2777,31.2251,14.3051,6.6251,32.3502,26.5851,33.5651
18.0,18.0,10,1.0,32.2012,5.2903,31.3206,14.3903,6.7103,32.4503,26.6703,33.6503
18.25,18.25,10,1.25,32.3755,5.3607,31.4155,14.4755,6.7955,32.5955,26.7555,33.7355
18.5,18.5,10,1.5,32.4608,5.3648,31.5008,14.5608,6.8808,32.6808,26.8408,33.8208
18.75,18.75,10,1.75,32.546,5.3689,31.586,14.706,6.966,32.826,26.944,33.906
19.0,19.0,10,2.0,32.6312,5.3729,31.8112,14.8512,7.0512,32.9112,27.0912,34.036
19.25,19.25,10,2.25,32.7164,5.377,31.8964,14.9364,7.1364,32.9964,27.1764,34.1564
19.5,19.5,10,2.5,32.8017,5.3908,32.0017,15.0417,7.2817,33.1417,27.2617,34.2617
19.75,19.75,10,2.75,32.8869,5.4669,32.1069,15.1269,7.3669,33.2269,27.3469,34.4069
20.0,20.0,11,1.0,33.0163,5.5521,32.2163,15.2242,7.5126,33.3484,27.4442,34.4921
20.25,20.25,11,1.25,33.1373,5.6373,32.3173,15.3173,7.6373,33.4573,27.5373,34.5773
20.5,20.5,11,1.5,33.2226,5.7226,32.4026,15.4026,7.7226,33.5426,27.6226,34.6626
20.75,20.75,11,1.75,33.3078,5.8078,32.4878,15.4878,7.8078,33.6678,27.7078,34.7478
21.0,21.0,11,2.0,33.393,5.8618,32.573,15.573,7.893,33.753,27.793,34.846
21.25,21.25,11,2.25,33.4783,5.8666,32.6783,15.6583,7.9783,33.8383,27.8783,34.9383
21.5,21.5,11,2.5,33.6235,5.8713,32.8035,15.7435,8.2035,34.1435,27.9635,35.0435
21.75,21.75,11,2.75,33.7087,5.876,32.8887,15.8287,8.2887,34.2287,28.0687,35.1287
22.0,22.0,12,1.0,33.7939,5.887,33.0539,15.9878,8.3739,34.3139,28.1939,35.2539
22.25,22.25,12,1.25,33.9392,5.9592,33.1392,16.1592,8.4592,34.3992,28.3192,35.3392
22.5,22.5,12,1.5,34.0244,5.9644,33.2244,16.2444,8.4907,34.4844,28.4044,35.4244
22.75,22.75,12,1.75,34.1296,5.9689,33.3096,16.3296,8.5296,34.5696,28.4896,35.5296
23.0,23.0,12,2.0,34.2148,5.9734,33.4244,16.4148,8.6148,34.6548,28.5748,35.6548
23.25,23.25,12,2.25,34.3001,5.9779,33.6001,16.5001,8.7,34.7603,28.6602,35.7401
23.5,23.5,12,2.5,34.3959,6.0253,33.6906,16.5853,8.7653,34.8853,28.7653,35.8253
23.75,23.75,12,2.75,34.5105,6.0541,33.7905,16.6705,8.8505,34.9705,28.8505,35.9105
24.0,24.0,13,1.0,34.5958,6.1158,33.8916,16.7558,8.9358,35.0558,28.9358,35.9958
24.5,24.5,13,1.5,34.7862,6.2862,34.1462,16.9262,9.1462,35.311,29.1262,36.2186
25.0,25.0,13,2.0,35.0101,6.4567,34.3167,17.1567,9.3167,35.5367,29.2967,36.4167
25.25,25.25,13,2.25,35.1019,6.5419,34.4219,17.2419,9.4019,35.6219,29.3819,36.5019
25.5,25.5,13,2.5,35.2271,6.6342,34.5071,17.3271,9.4871,35.7142,29.4742,36.5942
25.75,25.75,13,2.75,35.3523,6.7323,34.6292,17.4523,9.5723,35.8123,29.5723,36.6923
26.0,26.0,14,1.0,35.4376,6.8752,34.7376,17.5376,9.6576,35.9576,29.6576,36.7976
27.5,27.5,14,2.5,36.0089,7.4289,35.4489,18.2289,10.2689,36.6689,30.1889,37.5689
28.0,28.0,15,1.0,36.2994,7.6388,35.6194,18.3994,10.4794,36.917,30.4758,37.6994
28.5,28.5,15,1.5,36.4894,7.8098,35.8098,18.5698,10.6498,37.0898,30.6498,37.8698
29.0,29.0,15,2.0,36.7009,8.0006,36.0603,18.7403,10.8203,37.2612,30.8403,38.0403
29.5,29.5,15,2.5,36.9308,8.2108,36.2308,18.9108,11.0308,37.5108,31.0108,38.2416
30.0,30.0,16,1.0,37.1024,8.3824,36.4612,19.1812,11.2212,37.7212,31.1812,38.4636
30.5,30.5,16,1.5,37.3117,8.6317,36.6434,19.3717,11.4317,37.9917,31.3917,38.6717
31.0,31.0,16,2.0,37.5042,8.8063,36.9221,19.5421,11.6042,38.2126,31.5642,38.8863
31.5,31.5,16,2.5,37.7326,9.0526,37.143,19.7126,11.8326,38.4726,31.8726,39.1526
32.0,32.0,17,1.0,37.903,9.223,37.403,19.923,12.003,38.643,32.043,39.323
32.5,32.5,17,1.5,38.0735,9.3935,37.6475,20.161,12.1735,38.8405,32.2135,39.5535
33.0,33.0,17,2.0,38.2634,9.6039,37.8439,20.3839,12.4278,39.1039,32.3839,39.7239
33.5,33.5,17,2.5,38.5288,9.7888,38.0576,20.5544,12.6144,39.3032,32.5544,39.9088
34.0,34.0,18,1.0,38.7248,9.9848,38.2448,20.7248,12.7848,39.5048,32.7248,40.0848
34.5,34.5,18,1.5,38.9753,10.2259,38.4153,20.9553,12.9553,39.7153,32.8953,40.2953
35.0,35.0,18,2.0,39.1458,10.4458,38.6858,21.1516,13.1516,39.9374,33.0716,40.4858
35.5,35.5,18,2.5,39.3162,10.6486,38.8924,21.4562,13.3962,40.1762,33.3162,40.7362
36.0,36.0,19,1.0,39.5267,10.8267,39.1667,21.6267,13.5667,40.3467,33.4867,40.9067
36.5,36.5,19,1.5,39.7171,10.9971,39.3742,21.7971,13.7371,40.5855,33.6571,41.1371
37.0,37.0,19,2.0,39.9152,11.1676,39.6276,21.9676,13.9276,40.8276,33.8552,41.3076
37.5,37.5,19,2.5,40.098,11.374,39.798,22.138,14.098,40.998,34.038,41.478
38.0,38.0,20,1.0,40.3025,11.5685,39.9885,22.3085,14.2685,41.1685,34.2085,41.6485
38.5,38.5,20,1.5,40.5189,11.7389,40.1589,22.5356,14.4389,41.3389,34.4389,41.8189
39.0,39.0,20,2.0,40.7694,11.9588,40.3894,22.7094,14.6482,41.6694,34.6094,41.9894
39.5,39.5,20,2.5,40.9398,12.1398,40.6592,22.9196,14.8596,41.8398,34.7798,42.2398
40.0,40.0,21,1.0,41.1509,12.3103,40.8806,23.1006,15.0303,42.0806,34.9703,42.4309
40.5,40.5,21,1.5,41.3624,12.5024,41.1224,23.2832,15.2808,42.2656,35.1408,42.7208
41.0,41.0,21,2.0,41.5936,12.7448,41.3312,23.5224,15.4848,42.5736,35.3224,42.8912
41.5,41.5,21,2.5,41.8017,12.9417,41.6217,23.7817,15.6817,42.8017,35.5017,43.1417
42.0,42.0,22,1.0,42.0084,13.1121,41.7921,23.9521,15.8521,42.9721,35.6721,43.3121
42.5,42.5,22,1.5,42.2226,13.3626,41.9626,24.1278,16.0226,43.1426,35.9626,43.5426
43.0,43.0,22,2.0,42.393,13.533,42.133,24.333,16.206,43.365,36.133,43.726
43.5,43.5,22,2.5,42.6035,13.7235,42.3635,24.5035,16.3835,43.5705,36.3035,43.907
44.0,44.0,23,1.0,42.7739,13.8939,42.6695,24.6739,16.5539,43.7939,36.4739,44.1139
44.5,44.5,23,1.5,43.0844,14.1088,42.8844,24.9844,16.7532,44.002,36.6444,44.3088
45.0,45.0,23,2.0,43.2548,14.3244,43.0696,25.1548,16.9748,44.2348,36.8548,44.5244
45.5,45.5,23,2.5,43.4253,14.5253,43.2653,25.3253,17.1453,44.4053,37.0253,44.7453
46.0,46.0,24,1.0,43.6158,14.7274,43.4958,25.4958,17.3316,44.5758,37.1958,44.9158
46.5,46.5,24,1.5,43.8862,14.9662,43.7862,25.7062,17.5262,44.8262,37.3662,45.1048
47.0,47.0,24,2.0,44.0567,15.1367,43.9567,25.8767,17.6967,44.9967,37.5367,45.3167
47.5,47.5,24,2.5,44.2271,15.3271,44.1342,26.0542,17.8671,45.2471,37.7071,45.4871
48.0,48.0,25,1.0,44.3976,15.4976,44.3176,26.2376,18.0376,45.4176,37.8776,45.6576
48.5,48.5,25,1.5,44.588,15.696,44.54,26.508,18.208,45.64,38.048,45.892
49.0,49.0,25,2.0,44.8585,15.897,44.7585,26.6785,18.4555,45.8585,38.3185,46.0985
49.5,49.5,25,2.5,45.0289,16.0889,45.0178,26.8578,18.6289,46.0489,38.4889,46.2889
50.0,50.0,26,1.0,45.1994,16.2594,45.1994,27.0394,18.7994,46.2194,38.6594,46.4594
50.5,50.5,26,1.5,45.4996,16.4898,45.4094,27.2698,19.0196,46.4792,38.8498,46.6898
51.0,51.0,26,2.0,45.6809,16.6603,45.6206,27.4406,19.2003,46.6806,39.0203,46.8606
51.5,51.5,26,2.5,45.8908,16.8508,45.8108,27.6308,19.3908,46.8708,39.1908,47.0508
