qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,11.25,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
11.25,27.5,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
27.5,44.5,,,,,,,,,,,,,,Main Part,,,,
44.5,58.0,,,,,,,,,P8(C Trumpet 1),,P8(C Horn 1),,,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
58.0,62.5,P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(C Horn 1)&U(C Trumpet 1),,P8(Flute 1)&P3(Flute 2)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Oboe 1)&P8(C Trumpet 1),P8(C Trumpet 2),U(Oboe 1)&P8(C Horn 1),P8(C Horn 2),,Main Part,,P8(Flute 1)&P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Viola)&P8(Violoncello)
62.5,66.0,P8(C Clarinet 1)&P8(Bassoon 1),,P3(Oboe 2)&P8(C Horn 1)&P3(C Horn 2)&U(C Trumpet 1)&P3(C Trumpet 2),P3(Oboe 1)&P3(C Horn 1)&P8(C Horn 2)&P3(C Trumpet 1)&U(C Trumpet 2),P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(C Clarinet 1),,P8(Oboe 1)&P3(Oboe 2)&P3(C Horn 2)&P8(C Trumpet 1)&P3(C Trumpet 2),P3(Oboe 1)&P8(Oboe 2)&P3(C Horn 1)&P3(C Trumpet 1)&P8(C Trumpet 2),U(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 2),P3(Oboe 1)&U(Oboe 2)&P3(C Horn 1)&P8(C Horn 2)&P3(C Trumpet 1),,Main Part,P8(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
66.0,70.5,P8(C Clarinet 1)&P8(Bassoon 1),,P8(Main)&U(C Trumpet 1),,P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(C Clarinet 1),,Main Part,P8(C Trumpet 2),U(Oboe 1)&P8(Main),P8(C Horn 2),,P8(Violin 2),P8(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
70.5,75.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(C Clarinet 1),P8(C Clarinet 2),Main Part,,P3(C Trumpet 2),P3(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
75.0,79.0,,,P8(C Clarinet 2)&P8(Bassoon 2)&P8(Viola),U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1)&U(Violin 2),U(Oboe 2)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1)&U(Violin 2),P8(Oboe 1)&P8(Bassoon 2)&U(Viola),P8(Oboe 2)&P8(C Clarinet 1)&U(C Horn 1)&P8(C Trumpet 1)&P8(Violin 2),P8(Oboe 1)&P8(C Clarinet 2)&P8(Viola),P8(Oboe 2)&P8(C Clarinet 1)&U(Bassoon 1)&P8(C Trumpet 1)&P8(Violin 2),P8(C Trumpet 2),U(Oboe 2)&U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&U(Violin 2),P8(C Horn 2),,Main Part,U(Oboe 2)&U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1),P8(Oboe 1)&U(C Clarinet 2)&P8(Bassoon 2),P8(Contrabass),P8(Violoncello)
79.0,98.0,,,,,,,,,P8(C Horn 2),P8(C Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
