score_qstamp,qstamp,measure,beat,723382_tstamp,729190_tstamp,723374_tstamp,730989_tstamp,736447_tstamp,723386_tstamp,723404_tstamp,723411_tstamp,723399_tstamp,728531_tstamp,723395_tstamp,736452_tstamp,723378_tstamp,711682_tstamp
0.0,0.0,1,3.0,1.24,3.08,3.08,1.4,0.981,2.2,2.84,1.56,2.64,0.72,2.46,0.94,0.66,0.981
1.0,1.0,2,1.0,1.426,3.3175,3.2975,1.5915,0.9882,2.3515,3.0345,1.7915,2.803,0.8715,2.6315,1.0858,0.8115,0.9882
2.0,2.0,2,2.0,1.623,3.543,3.489,1.843,0.9954,2.503,3.303,1.943,3.003,1.023,2.783,1.223,0.963,0.9954
3.0,3.0,2,3.0,1.7745,3.6945,3.6745,2.0545,1.0216,2.6545,3.4745,2.0945,3.189,1.3545,2.9345,1.3745,1.1145,1.0216
4.0,4.0,3,1.0,1.9261,3.8461,3.8261,2.2661,1.0285,2.8061,3.6261,2.2461,3.4461,1.5461,3.0861,1.513,1.2861,1.0285
5.0,5.0,3,2.0,2.0976,3.9976,4.0776,2.4376,1.0353,3.0176,3.7976,2.3976,3.6776,1.7776,3.2576,1.6488,1.4376,1.0353
6.0,6.0,3,3.0,2.2491,4.1491,4.2291,2.6091,1.061,3.1691,3.9491,2.5491,3.8291,1.9891,3.4091,1.7691,1.5891,1.0608
7.0,7.0,4,1.0,2.4006,4.3006,4.3806,2.7806,1.0662,3.3206,4.1006,2.7812,4.0612,2.5406,3.5606,1.9206,1.7606,1.065
8.0,8.0,4,2.0,2.5721,4.4521,4.5521,2.9321,1.0715,3.4721,4.2521,2.9521,4.2321,2.6921,3.7921,2.0721,1.9121,1.0692
9.0,9.0,4,3.0,2.7636,4.6036,4.7036,3.1016,1.0767,3.6236,4.4072,3.1072,4.3872,2.8636,3.9472,2.2236,2.0636,1.0734
10.0,10.0,5,1.0,2.9152,4.7752,4.8704,3.3352,1.1352,3.7752,4.5752,3.2752,4.5552,3.0152,4.1152,2.3488,2.2152,1.0776
11.0,11.0,5,2.0,3.0867,4.9267,5.0867,3.5467,1.2534,3.9267,4.7267,3.4267,4.7201,3.1667,4.2667,2.3879,2.3667,1.1267
12.0,12.0,5,3.0,3.2382,5.0382,5.2382,3.6982,1.382,4.0782,4.8782,3.5782,4.8982,3.3182,4.4182,2.4182,2.5182,1.2215
13.0,13.0,6,1.0,3.4097,5.1897,5.3897,3.8697,1.3989,4.2297,5.0297,3.7297,5.0897,3.4697,4.5897,2.4604,2.6794,1.2341
14.0,14.0,6,2.0,3.5612,5.3412,5.5624,4.0812,1.5306,4.3812,5.1812,3.8824,5.2448,3.6212,4.7436,2.4673,2.8412,1.3053
15.0,15.0,6,3.0,3.7127,5.4927,5.7327,4.2327,1.6621,4.4927,5.3327,4.0527,5.4527,3.7727,4.9327,2.4742,2.9927,1.4007
16.0,16.0,7,1.0,3.8642,5.6442,5.8842,4.4326,1.7048,4.6442,5.4842,4.2242,5.6442,3.9242,5.0842,2.5042,3.1442,1.4086
17.0,17.0,7,2.0,4.0158,5.7958,6.0558,4.6158,1.7958,4.8158,5.6516,4.3958,5.8958,4.1358,5.2958,2.6558,3.2958,1.4166
18.0,18.0,7,3.0,4.2273,5.9473,6.2273,4.8073,1.9336,4.9673,5.8873,4.5473,6.0473,4.2873,5.4473,2.8073,3.4473,1.4855
19.0,19.0,8,1.0,4.3788,6.0988,6.3788,4.9588,2.0631,5.1188,6.0388,4.6988,6.1988,4.4388,5.5988,2.9588,3.5988,1.5608
20.0,20.0,8,2.0,4.5303,6.2703,6.5303,5.1509,2.1217,5.2703,6.1903,4.8503,6.3503,4.5903,5.7503,3.1103,3.7703,1.5674
21.0,21.0,8,3.0,4.7036,6.4218,6.7818,5.3436,2.1654,5.4218,6.3418,5.0036,6.5436,4.7418,5.9018,3.2618,3.9418,1.574
22.0,22.0,9,1.0,4.8733,6.5733,6.9333,5.5133,2.2611,5.5733,6.4933,5.1733,6.7133,4.8933,6.0733,3.4133,4.0933,1.5802
23.0,23.0,9,2.0,5.0248,6.7248,7.0848,5.6648,2.2737,5.7248,6.6448,5.3448,6.9048,5.0648,6.2248,3.5648,4.2448,1.5825
24.0,24.0,9,3.0,5.1764,6.8764,7.2364,5.8928,2.3441,5.8764,6.7964,5.4964,7.0928,5.2164,6.3764,3.7164,4.3964,1.5848
25.0,25.0,10,1.0,5.3279,7.0279,7.4158,6.1079,2.422,6.0279,6.9679,5.6479,7.2758,5.3679,6.5479,3.8679,4.5279,1.5871
26.0,26.0,10,2.0,5.4988,7.1794,7.5794,6.2794,2.4328,6.1794,7.1194,5.7994,7.4394,5.5194,6.6994,4.0194,4.6794,1.5894
27.0,27.0,10,3.0,5.6509,7.3309,7.7418,6.4309,2.4827,6.3309,7.2709,5.9509,7.6018,5.6604,6.8509,4.1709,4.8309,1.5917
28.0,28.0,11,1.0,5.8224,7.4824,7.9624,6.5824,2.562,6.4848,7.4624,6.1424,7.7824,5.6652,7.0024,4.3424,5.0024,1.594
29.0,29.0,11,2.0,5.9739,7.7339,8.1339,6.6204,2.5758,6.6939,7.6139,6.3539,8.1078,5.6701,7.2739,4.4939,5.1539,1.5963
30.0,30.0,11,3.0,6.1255,7.8855,8.2855,6.6209,2.6855,6.8455,7.7855,6.5055,8.2655,5.675,7.4255,4.6455,5.3255,1.5986
31.0,31.0,12,1.0,6.337,8.037,8.437,6.6214,2.837,6.997,7.937,6.657,8.417,5.6799,7.577,4.797,5.477,1.657
32.0,32.0,12,2.0,6.4885,8.1885,8.5885,6.6219,2.9885,7.1485,8.0885,6.8085,8.5885,5.7016,7.7285,4.9485,5.6285,1.8085
33.0,33.0,12,3.0,6.64,8.28,8.76,6.6224,3.14,7.28,8.24,6.94,8.74,5.7035,7.88,5.1,5.78,1.96
34.0,34.0,13,1.0,6.7915,8.4315,8.9115,6.623,3.2915,7.4115,8.3915,7.0915,8.8915,5.7054,8.0315,5.2515,5.8915,2.0315
36.0,36.0,13,3.0,7.1145,8.7545,9.2945,6.624,3.5945,7.7345,8.7745,7.4145,9.2835,5.7092,8.3945,5.6145,6.2345,2.3345
37.0,37.0,14,1.0,7.2661,8.9061,9.4461,6.6245,3.7461,7.8861,8.9261,7.5661,9.5061,5.7111,8.5461,5.7661,6.3861,2.4261
38.0,38.0,14,2.0,7.4176,9.0576,9.6152,6.625,3.8976,8.0376,9.0776,7.7376,9.6576,5.713,8.6976,5.9176,6.5376,2.5688
39.0,39.0,14,3.0,7.5691,9.2091,9.7691,6.6255,4.0491,8.1891,9.2291,7.8891,9.8291,5.7149,8.8491,6.0691,6.6891,2.7091
