qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,F5,F5,F5,F5,F5,A4,F3,F2,A3,A3,A4,A4,F3,F4,F4,F3,F2,F1
1.0,0.1515,2,1.0,A5,A5,A5,A5,F5,A4,A3,F2,A3,A3,A4,A4,F3,A4,A4,A3,F2,F1
2.0,0.303,2,2.0,F5,F5,F5,F5,r,r,F3,r,r,r,r,r,r,F4,F4,F3,r,r
3.0,0.4545,2,3.0,A5,F5,A5,F5,F5,A4,A3,F3,A3,A3,A4,A4,F3,A4,F4,A3,F2,F1
4.0,0.6061,3,1.0,C6,A5,C6,A5,F5,A4,C4,A3,A3,A3,A4,A4,F3,C5,A4,C4,F2,F1
5.0,0.7576,3,2.0,A5,F5,A5,F5,r,r,A3,F3,r,r,r,r,r,A4,F4,A3,r,r
6.0,0.9091,3,3.0,C6,A5,C6,A5,F5,A4,C4,A3,A3,A3,A4,A4,F3,C5,A4,C4,F2,F1
7.0,1.0606,4,1.0,F6,A5,A5,F5,F5,A4,F4,A3,A3,A3,A4,A4,F3,F5,A4,A3,F2,F1
8.0,1.2121,4,2.0,F6,A5,r,r,r,r,F4,A3,r,r,r,r,r,F5,A4,A3,r,r
9.0,1.3636,4,3.0,E6,C6,r,r,r,r,E4,C4,r,r,r,r,r,E5,C5,C4,r,r
10.0,1.5152,5,1.0,D6,B-5,r,r,r,r,D4,B-3,r,r,r,r,r,D5,B-4,A3,F3,F2
11.0,1.6667,5,2.0,D6,B-5,r,r,r,r,D4,B-3,r,r,r,r,r,D5,B-4,A3,r,r
12.0,1.8182,5,3.0,C6,A5,r,r,r,r,C4,A3,r,r,r,r,r,C5,A4,C4,r,r
13.0,1.9697,6,1.0,B-5,G5,r,r,r,r,B-3,G3,r,r,r,r,r,B-4,G4,A3,F3,F2
14.0,2.1212,6,2.0,B-5,G5,r,r,r,r,B-3,G3,r,r,r,r,r,B-4,G4,C4,r,r
15.0,2.2727,6,3.0,A5,F5,r,r,r,r,A3,F3,r,r,r,r,r,A4,F4,C4,r,r
16.0,2.4242,7,1.0,G5,E5,r,r,r,r,G3,E3,r,r,r,r,r,G4,E4,G3,C3,C2
17.0,2.5758,7,2.0,G5,E5,r,r,r,r,G3,E3,r,r,r,r,r,G4,E4,G3,r,r
18.0,2.7273,7,3.0,G5,E5,r,r,r,r,G3,E3,r,r,r,r,r,G4,E4,C4,r,r
19.0,2.8788,8,1.0,G6,E6,r,r,r,r,G4,E4,r,r,r,r,r,G5,E5,G3,C3,C2
20.0,3.0303,8,2.0,G6,E6,r,r,r,r,G4,E4,r,r,r,r,r,G5,E5,G3,r,r
21.0,3.1818,8,3.0,F6,D6,r,r,r,r,F4,D4,r,r,r,r,r,F5,D5,C4,r,r
