qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.5,1,1.5,0.125,a,Bsn,7
1.5,1,2.5,0.375,a,Bsn,6
2.5,1,3.5,0.625,a,Cl,5
3.5,1,4.5,0.875,a,Cl,4
8.0,3,1,0.0,a,Vln,15
16.0,5,1,0.0,a,Vln,15
23.5,6,4.5,0.875,a,Cl,4
27.0,7,4,0.75,a,Vln,15
36.0,10,1,0.0,a,Vln,15
43.0,11,4,0.75,a,Cl,4
47.0,12,4,0.75,a,Vln,15
55.0,14,4,0.75,a,Cl,4
58.5,15,3.5,0.625,a,Vln,15
71.0,18,4,0.75,a,Cl,4
75.0,19,4,0.75,a,Cl,4
80.0,21,1,0.0,a,Cl,4
88.0,23,1,0.0,a,Cl,4
95.5,24,4.5,0.875,b,Vln,16
108.0,29,1,0.0,b,Vln,16
119.0,32,3,0.667,b,Vln,16
132.0,37,1,0.0,b,Vln,16
145.0,41,2,0.333,b,Fl,0
150.0,43,1,0.0,c,Vln,15
158.0,45,1,0.0,c,Vln,15
165.0,46,4,0.75,a,Cl,4
168.5,47,3.5,0.625,c,Vln,15
178.0,50,1,0.0,c,Vln,15
185.0,51,4,0.75,a,Cl,4
188.0,52,3,0.5,c,Vln,15
197.5,54,4.5,0.875,a,Cl,4
201.0,55,4,0.75,c,Vln,15
213.0,58,4,0.75,a,Cl,4
222.0,61,1,0.0,a,Cl,4
230.0,63,1,0.0,a,Cl,4
237.5,64,4.5,0.875,b,Fl,0
250.0,69,1,0.0,b,Fl,0
257.5,71,2.5,0.5,b,Ob,2
262.0,73,1,0.0,b,Fl,0
274.0,77,1,0.0,b,Fl,0
283.0,80,1,0.0,b,Ob,2
286.0,81,1,0.0,b,Cl,4
292.0,83,1,0.0,a,Cl,4
300.0,85,1,0.0,a,Hn,11
308.0,87,1,0.0,a,Cl,4
316.0,89,1,0.0,a,Cl,4
320.5,90,1.5,0.125,a,Hn,11
324.0,91,1,0.0,a,Fl,0
332.0,93,1,0.0,a,Hn,11
336.0,94,1,0.0,a,Cl,4
344.0,96,1,0.0,d,Hn,11
347.5,96,4.5,0.875,a,Fl,0
356.0,99,1,0.0,a,Fl,0
365.0,100,3,0.5,a,Ob,2
371.0,101,3,0.5,a,Fl,0
378.5,102,4,0.75,a,Cl,4
381.5,103,2,0.25,a,Fl,0
408.5,107,4,0.75,a,Cl,4
414.5,108,4,0.75,a,Fl,0
427.5,110,4.67,0.917,b,Cl,4
432.5,111,4,0.75,a,Fl,0
438.5,112,4,0.75,a,Fl,1
442.5,113,2.67,0.417,a,Fl,0
449.5,114,3.33,0.583,a,Fl,0
458.0,116,1,0.0,a,Fl,0
482.0,120,1,0.0,a,Fl,0
487.5,120,4.67,0.917,e,Fl,0
498.0,122,3.67,0.667,e,Hn,8
500.0,123,1,0.0,a,Vln,15
512.0,125,1,0.0,a,Fl,0
525.5,127,2,0.25,a,Fl,0
536.0,129,1,0.0,a,Fl,0
547.5,130,4.67,0.917,e,Fl,0
558.0,132,3.67,0.667,e,Hn,8
560.0,133,1,0.0,f,Vln,15
572.0,135,1,0.0,f,Vln,15
584.0,137,1,0.0,f,Fl,0
596.0,139,1,0.0,f,Vln,15
602.0,140,1,0.0,f,Fl,0
608.0,141,1,0.0,a,Vln,15
618.5,142,4,0.75,g,Vln,15
629.0,144,3,0.5,g,Fl,0
635.25,145,3.17,0.542,g,Vln,15
638.25,146,1.17,0.042,g,Fl,0
641.25,146,3.17,0.542,g,Vln,15
644.25,147,1.17,0.042,g,Fl,0
656.0,149,1,0.0,g,Cl,4
668.0,151,1,0.0,g,Vln,15
671.0,151,3,0.5,h,Cl,4
685.5,153,4.67,0.917,g,Fl,0
698.0,156,1,0.0,g,Fl,0
