qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (alto) Horn 1,Bb (alto) Horn 2,Eb Horn 1,Eb Horn 4,Bb Trumpet 1,Bb Trumpet 2,"F, Bb Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.5,0.5,1,1.5,r,r,r,r,r,r,r,B-3,r,r,r,r,r,r,r,r,r,r,r,r
1.0,1.0,1,2.0,r,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,r,r,r,r,r
1.5,1.5,1,2.5,r,r,r,r,r,r,G4,A3,r,r,r,r,r,r,r,r,r,r,r,r
2.0,2.0,1,3.0,r,r,r,r,r,r,F4,A3,r,r,r,r,r,r,r,r,r,r,r,r
2.5,2.5,1,3.5,r,r,r,r,r,D5,F4,A3,r,r,r,r,r,r,r,r,r,r,r,r
3.0,3.0,1,4.0,r,r,r,r,r,C5,F4,A3,r,r,r,r,r,r,r,r,A3,A3,F2,r
3.5,3.5,1,4.5,r,r,r,r,G5,C5,F4,A3,r,r,r,r,r,r,r,r,A3,A3,F2,r
4.0,4.0,2,1.0,r,r,r,r,F5,C5,F4,A3,r,r,r,r,r,r,r,r,A3,A3,F2,r
5.0,5.0,2,2.0,r,r,r,r,E-5,A4,E-4,C4,r,r,r,r,r,r,r,r,A3,A3,F2,r
6.0,6.0,2,3.0,r,r,r,r,E-5,A4,E-4,C4,r,r,r,r,r,r,r,r,A3,A3,F#2,r
7.0,7.0,2,4.0,r,r,r,r,E-5,A4,E-4,C4,r,r,r,r,r,r,r,r,A3,A3,F2,r
7.5,7.5,2,4.5,r,r,r,r,D5,B-4,D4,B-3,r,r,r,r,r,r,r,r,B-3,B-3,F2,r
8.0,8.0,3,1.0,r,r,r,r,D5,B-4,D4,B-3,r,r,r,r,r,r,r,D5,D4,F3,B-2,r
9.0,9.0,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,F3,B-2,r
10.0,10.0,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,F3,E-3,r
11.0,11.0,3,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,F3,E-3,r
12.0,12.0,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-3,F3,D3,r
13.0,13.0,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-3,F3,D3,r
14.0,14.0,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,F3,A2,r
15.0,15.0,4,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,F3,A2,r
15.5,15.5,4,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C4,F3,A2,r
16.0,16.0,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,F3,B-2,r
17.0,17.0,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,F3,A2,r
18.0,18.0,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-3,F3,G2,r
19.0,19.0,5,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,E3,G2,r
19.5,19.5,5,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,B-4,E3,G2,r
20.0,20.0,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,B-4,F3,F2,r
21.0,21.0,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,D4,B-3,F3,r
21.5,21.5,6,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,C4,B-3,F3,r
22.0,22.0,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,B-3,B-3,F3,r
22.5,22.5,6,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A3,A3,F3,r
23.0,23.0,6,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,r,r
23.5,23.5,6,4.5,r,r,r,r,C5,F4,A3,F2,C5,F4,r,F4,r,r,r,r,F4,F4,r,r
24.0,24.0,7,1.0,r,r,r,r,D5,F4,B-3,F2,D5,B-4,r,F4,r,r,r,r,F4,F4,r,r
24.5,24.5,7,1.5,r,r,r,r,D5,B-4,B-3,F2,D5,F4,r,F4,r,r,r,r,F4,F4,r,r
25.0,25.0,7,2.0,r,r,r,r,F5,D5,D4,F3,F5,D5,r,F4,r,r,r,r,r,r,r,r
25.5,25.5,7,2.5,r,r,r,r,E-5,C5,C4,F3,E-5,C5,r,F4,r,r,r,r,r,r,r,r
26.0,26.0,7,3.0,r,r,r,r,C5,C5,B-3,F3,C5,F4,r,F4,r,r,r,r,r,r,r,r
26.5,26.5,7,3.5,r,r,r,r,C5,A3,A3,F3,C5,F4,r,F4,r,r,r,r,r,r,r,r
