qstamp,tstamp,measure,beat,Oboe d’amore 1,Violin 1,Violin 2,Viola,Alto solo,Continuo
0.0,0.0,1,2.5,B4,r,r,r,r,r
0.25,0.2143,1,2.6667,B-4,r,r,r,r,r
0.5,0.4286,1,2.8333,B4,r,r,r,r,r
0.75,0.6429,2,1.0,F#4,r,r,r,r,r
1.75,1.5,2,1.6667,F#4,B4,F#4,B3,r,D4
2.25,1.9286,2,2.0,F#4,B-4,E4,C#4,r,C#4
2.75,2.3571,2,2.3333,F#4,B4,D4,D4,r,B3
3.0,2.5714,2,2.5,C#5,B4,D4,D4,r,B3
3.25,2.7857,2,2.6667,B4,r,r,r,r,r
3.5,3.0,2,2.8333,C#5,r,r,r,r,r
3.75,3.2143,3,1.0,F#4,r,r,r,r,r
4.75,4.0714,3,1.6667,F#4,F#4,C#5,F#4,r,B-3
5.25,4.5,3,2.0,F#4,E5,B-4,C#4,r,F#3
5.75,4.9286,3,2.3333,F#4,D5,B4,B3,r,G#3
6.0,5.1429,3,2.5,B-4,D5,B4,B3,r,G#3
6.25,5.3571,3,2.6667,C#5,C#5,C#5,F#4,r,B-3
6.5,5.5714,3,2.8333,E5,C#5,C#5,F#4,r,B-3
6.75,5.7857,4,1.0,D5,D5,B4,F#4,r,B3
7.25,6.2143,4,1.3333,C#5,C#5,G4,E4,r,E3
7.75,6.6429,4,1.6667,B4,B4,F#4,F#4,r,D3
8.25,7.0714,4,2.0,B4,B4,E4,G4,r,C#3
8.75,7.5,4,2.3333,A4,A4,E4,E4,r,C#3
9.25,7.9286,4,2.6667,G4,G4,E4,C#4,r,A2
9.75,8.3571,5,1.0,F#4,F#4,D4,A3,r,D3
10.25,8.7857,5,1.3333,E4,E4,C#4,A3,r,A2
11.25,9.6429,5,2.0,r,D4,B3,G#3,r,r
11.75,10.0714,5,2.3333,r,C#4,A3,A3,r,r
12.0,10.2857,5,2.5,A4,C#4,A3,A3,r,r
12.25,10.5,5,2.6667,G4,r,r,r,r,r
12.5,10.7143,5,2.8333,A4,r,r,r,r,r
12.75,10.9286,6,1.0,F#5,r,r,r,r,r
13.75,11.7857,6,1.6667,F#5,D5,A4,D4,r,D3
14.25,12.2143,6,2.0,F#5,B4,G4,D4,r,G3
14.75,12.6429,6,2.3333,F#5,G4,D4,B3,r,G2
15.0,12.8571,6,2.5,B4,G4,D4,B3,r,G2
15.25,13.0714,6,2.6667,A4,r,r,r,r,r
15.5,13.2857,6,2.8333,B4,r,r,r,r,r
15.75,13.5,7,1.0,G5,r,r,r,r,r
16.75,14.3571,7,1.6667,G5,E5,B4,E4,r,E3
17.25,14.7857,7,2.0,G5,C#5,A4,E4,r,A3
17.75,15.2143,7,2.3333,G5,A4,E4,C#4,r,A2
18.0,15.4286,7,2.5,C#5,A4,E4,C#4,r,A2
18.25,15.6429,7,2.6667,B4,r,r,r,r,r
18.5,15.8571,7,2.8333,C#5,r,r,r,r,r
18.75,16.0714,8,1.0,A5,r,r,r,r,r
19.25,16.5,8,1.3333,F#5,r,r,r,r,B3
19.75,16.9286,8,1.6667,E-5,F#5,B4,F#4,r,A3
20.25,17.3571,8,2.0,E-5,B4,B4,F#4,r,G3
20.75,17.7857,8,2.3333,E5,E5,B4,E4,r,G3
21.25,18.2143,8,2.6667,F#5,F#5,E-5,A4,r,F#3
21.75,18.6429,9,1.0,G5,G5,E5,B4,r,E3
22.0,18.8571,9,1.1667,F#5,G5,E5,B4,r,E3
22.25,19.0714,9,1.3333,E5,r,r,r,r,A3
22.5,19.2857,9,1.5,D5,r,r,r,r,A3
22.75,19.5,9,1.6667,C#5,E5,E4,B4,r,G3
23.0,19.7143,9,1.8333,B4,E5,E4,B4,r,G3
23.25,19.9286,9,2.0,C#5,C#5,A4,E4,r,G3
23.5,20.1429,9,2.1667,E5,C#5,A4,E4,r,G3
23.75,20.3571,9,2.3333,D5,D5,D5,A4,r,F#3
24.0,20.5714,9,2.5,F#5,D5,D5,A4,r,F#3
24.25,20.7857,9,2.6667,E5,E5,C#5,A4,r,A3
24.5,21.0,9,2.8333,G5,E5,C#5,A4,r,A3
24.75,21.2143,10,1.0,F#5,F#5,D5,A4,r,D3
25.0,21.4286,10,1.1667,E5,F#5,D5,A4,r,D3
25.25,21.6429,10,1.3333,D5,r,r,r,r,E3
25.5,21.8571,10,1.5,C#5,r,r,r,r,E3
25.75,22.0714,10,1.6667,B4,D5,r,r,r,F#3
26.0,22.2857,10,1.8333,B-4,D5,r,r,r,F#3
26.25,22.5,10,2.0,B4,B4,r,r,r,G3
26.5,22.7143,10,2.1667,D5,B4,r,r,r,G3
26.75,22.9286,10,2.3333,C#5,B4,r,r,r,G3
27.0,23.1429,10,2.5,E5,B4,r,r,r,G3
27.25,23.3571,10,2.6667,D5,B4,G4,D4,r,G3
27.5,23.5714,10,2.8333,F#5,B4,G4,D4,r,G3
27.75,23.7857,11,1.0,E5,B4,E4,C#4,r,G3
28.25,24.2143,11,1.3333,E5,E5,E4,C#4,r,G3
28.75,24.6429,11,1.6667,E5,C#5,E4,C#4,r,E3
29.25,25.0714,11,2.0,E5,B-4,E4,C#4,r,C#3
29.75,25.5,11,2.3333,E5,C#5,G4,E4,r,B-2
30.0,25.7143,11,2.5,G4,C#5,G4,E4,r,B-2
30.25,25.9286,11,2.6667,F#4,E5,C#4,G4,r,B2
30.5,26.1429,11,2.8333,E4,E5,C#4,G4,r,B2
30.75,26.3571,12,1.0,F#4,E5,C#4,F#4,r,B-2
31.0,26.5714,12,1.1667,G#4,E5,C#4,F#4,r,B-2
31.25,26.7857,12,1.3333,B-4,B-4,E4,C#4,r,C#3
31.5,27.0,12,1.5,B4,B-4,E4,C#4,r,C#3
31.75,27.2143,12,1.6667,C#5,r,r,r,r,r
32.0,27.4286,12,1.8333,D5,r,r,r,r,r
32.25,27.6429,12,2.0,E5,E5,B-4,C#4,r,F#2
32.5,27.8571,12,2.1667,G5,E5,B-4,C#4,r,F#2
32.75,28.0714,12,2.3333,F#5,F#4,C#4,F#4,r,B-2
33.0,28.2857,12,2.5,E5,F#4,C#4,F#4,r,B-2
33.25,28.5,12,2.6667,D5,r,r,r,r,r
33.5,28.7143,12,2.8333,C#5,r,r,r,r,r
33.75,28.9286,13,1.0,D5,r,r,r,r,B2
34.0,29.1429,13,1.1667,C#5,r,r,r,r,B2
34.25,29.3571,13,1.3333,E5,E5,B4,B3,r,G3
34.5,29.5714,13,1.5,D5,E5,B4,B3,r,G3
34.75,29.7857,13,1.6667,C#5,D5,F#4,B3,r,D3
35.0,30.0,13,1.8333,B4,D5,F#4,B3,r,D3
35.25,30.2143,13,2.0,C#5,C#5,G4,B3,r,E3
35.5,30.4286,13,2.1667,B4,C#5,G4,B3,r,E3
35.75,30.6429,13,2.3333,D5,D5,F#4,B3,r,F#3
36.0,30.8571,13,2.5,C#5,D5,F#4,B3,r,F#3
36.25,31.0714,13,2.6667,B4,C#5,F#4,F#4,r,F#2
36.5,31.2857,13,2.8333,B-4,C#5,F#4,F#4,r,F#2
36.75,31.5,14,1.0,B4,B4,F#4,D4,r,B2
37.0,31.7143,14,1.1667,B4,C#5,F#4,D4,r,B2
37.25,31.9286,14,1.3333,B4,D5,B4,F#4,r,B3
37.5,32.1429,14,1.5,B4,E5,B4,F#4,r,B3
37.75,32.3571,14,1.6667,B4,F#5,D5,B4,r,A3
38.0,32.5714,14,1.8333,B4,D5,D5,B4,r,A3
38.25,32.7857,14,2.0,B4,E5,B4,B3,r,G3
38.5,33.0,14,2.1667,B-4,E5,B4,B3,r,G3
38.75,33.2143,14,2.3333,B4,C#5,G4,E4,r,E3
39.0,33.4286,14,2.5,G4,C#5,G4,E4,r,E3
39.25,33.6429,14,2.6667,F#4,r,r,r,r,r
39.5,33.8571,14,2.8333,E4,r,r,r,r,r
