qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
0.3333,0.119,1,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
0.6667,0.2381,1,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
1.0,0.3571,1,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
1.3333,0.4762,1,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
1.6667,0.5953,1,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
2.0,0.7143,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
2.5,0.8929,2,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
3.0,1.0714,2,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C4,r,r,r
4.0,1.4286,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,A3,r,r
4.5,1.6071,2,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,B-3,r,r
5.0,1.7857,2,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C4,G3,r,r
6.0,2.1429,3,1.0,A5,r,F5,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
6.5,2.3214,3,1.25,B-5,r,G5,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
7.0,2.5,3,1.5,G5,r,C5,r,r,r,r,r,r,r,r,r,r,G4,C4,r,r,r
8.0,2.8571,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
8.3333,2.9762,3,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
8.6667,3.0952,3,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
9.0,3.2143,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
9.3333,3.3333,3,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
9.6667,3.4524,3,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
10.0,3.5714,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
10.5,3.75,4,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,r,r,r
11.0,3.9286,4,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
12.0,4.2857,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,B-3,r,r
12.5,4.4643,4,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,C4,r,r
13.0,4.6429,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,A3,r,r
14.0,5.0,5,1.0,B-5,r,G5,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r,r
14.5,5.1786,5,1.25,C6,r,A5,r,r,r,r,r,r,r,r,r,r,C5,A4,r,r,r
15.0,5.3571,5,1.5,A5,r,F5,r,r,r,r,r,r,r,r,r,r,A4,F4,r,r,r
16.0,5.7143,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
16.3333,5.8333,5,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
16.6667,5.9524,5,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
17.0,6.0714,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r
17.3333,6.1905,5,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,r,r
17.5,6.25,5,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B-4,G4,r,r
17.6667,6.3095,5,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B-4,G4,r,r
18.0,6.4286,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,F4,r,r
18.3333,6.5476,6,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,F4,r,r
18.6667,6.6667,6,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,F4,r,r
19.0,6.7857,6,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F4,r,r
19.3333,6.9047,6,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F4,r,r
19.6667,7.0238,6,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F4,r,r
20.0,7.1429,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,A4,F4,r,r
20.3333,7.2619,6,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,A4,F4,r,r
20.6667,7.381,6,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,A4,F4,r,r
21.0,7.5,6,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,r,r
21.3333,7.619,6,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,r,r
21.5,7.6786,6,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,G4,E4,r,r
21.6667,7.7381,6,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,G4,E4,r,r
22.0,7.8571,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,F4,D4,r,r
22.3333,7.9762,7,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,F5,D5,r,r
22.6667,8.0952,7,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,F5,D5,r,r
23.0,8.2143,7,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
23.3333,8.3333,7,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
23.6667,8.4524,7,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
24.0,8.5714,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
24.3333,8.6905,7,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
24.6667,8.8095,7,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
25.0,8.9286,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C5,r,r
25.3333,9.0476,7,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C5,r,r
25.6667,9.1667,7,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C5,r,r
26.0,9.2857,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,B-4,r,r
26.3333,9.4047,8,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,B-4,r,r
26.6667,9.5238,8,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,B-4,r,r
27.0,9.6429,8,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,A4,r,r
27.3333,9.7619,8,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,A4,r,r
27.6667,9.881,8,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,A4,r,r
28.0,10.0,8,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,B-4,r,r
28.3333,10.119,8,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,B-4,r,r
28.6667,10.2381,8,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,B-4,r,r
29.0,10.3571,8,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C5,r,r
29.3333,10.4762,8,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C5,r,r
29.6667,10.5952,8,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,C5,r,r
30.0,10.7143,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,D5,r,r
30.3333,10.8333,9,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F4,D4,r,r
30.6667,10.9524,9,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F4,D4,r,r
31.0,11.0714,9,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,E4,r,r
31.3333,11.1905,9,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,E4,r,r
31.6667,11.3095,9,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,E4,r,r
32.0,11.4286,9,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,F4,r,r
32.3333,11.5476,9,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,F4,r,r
32.6667,11.6667,9,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,F4,r,r
33.0,11.7857,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
33.3333,11.9047,9,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
33.6667,12.0238,9,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A4,r,r
34.0,12.1429,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,G4,r,r
34.3333,12.2619,10,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,G3,r,r
34.6667,12.381,10,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,G3,r,r
35.0,12.5,10,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,E4,G3,r,r
35.3333,12.619,10,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,E4,G3,r,r
35.6667,12.7381,10,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,E4,G3,r,r
36.0,12.8571,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D4,G3,r,r
36.3333,12.9762,10,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D4,G3,r,r
36.6667,13.0953,10,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D4,G3,r,r
37.0,13.2143,10,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D4,G3,r,r
37.3333,13.3333,10,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D4,G3,r,r
37.6667,13.4524,10,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D4,G3,r,r
38.0,13.5714,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,r,r
38.3333,13.6905,11,1.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C3,r,r
38.6667,13.8095,11,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C3,r,r
39.0,13.9286,11,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r,r
39.3333,14.0476,11,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r,r
39.6667,14.1667,11,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r,r
40.0,14.2857,11,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
40.3333,14.4048,11,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
40.6667,14.5238,11,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
41.0,14.6429,11,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
41.3333,14.7619,11,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
41.6667,14.881,11,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
42.0,15.0,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
42.5,15.1786,12,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,C3,r,r
43.0,15.3571,12,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C3,r,r
44.0,15.7143,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
44.3333,15.8333,12,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
44.6667,15.9524,12,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
45.0,16.0714,12,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
45.3333,16.1905,12,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
45.6667,16.3095,12,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
46.0,16.4286,13,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,C3,r,r
46.5,16.6071,13,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C3,r,r
47.0,16.7857,13,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C3,r,r
48.0,17.1429,13,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
48.3333,17.2619,13,2.1667,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
48.6667,17.381,13,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
49.0,17.5,13,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
49.3333,17.619,13,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
49.6667,17.7381,13,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
50.0,17.8571,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,C3,r,r
50.5,18.0357,14,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,C3,r,r
51.0,18.2143,14,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C3,r,r
52.0,18.5714,14,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,C3,r,r
52.5,18.75,14,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C3,r,r
53.0,18.9286,14,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,C3,r,r
54.0,19.2857,15,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,C3,r,r
54.5,19.4643,15,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,C3,r,r
55.0,19.6429,15,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C3,r,r
56.0,20.0,15,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B3,C3,r,r
56.5,20.1786,15,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C3,r,r
