score_qstamp,qstamp,measure,beat,736425_tstamp,729183_tstamp,735788_tstamp
0.0,0.0,1,2.0,3.28,1.16,1.24
0.3333,0.3333,1,2.1667,3.3633,1.2433,1.3233
0.6667,0.6667,1,2.3333,3.4467,1.3267,1.4067
1.0,1.0,1,2.5,3.53,1.41,1.49
1.3333,1.3333,1,2.6667,3.6133,1.4933,1.5733
1.6667,1.6667,1,2.8333,3.6967,1.5767,1.6567
2.0,2.0,2,1.0,3.78,1.6086,1.74
2.5,2.5,2,1.25,3.9025,1.665,1.845
3.0,3.0,2,1.5,3.938,1.77,1.91
4.0,4.0,2,2.0,4.18,2.02,2.16
4.5,4.5,2,2.25,4.305,2.085,2.285
5.0,5.0,2,2.5,4.425,2.21,2.41
6.0,6.0,3,1.0,4.66,2.4,2.64
6.5,6.5,3,1.25,4.785,2.525,2.765
7.0,7.0,3,1.5,4.91,2.61,2.89
8.0,8.0,3,2.0,5.14,2.84,3.06
8.3333,8.3333,3,2.1667,5.2233,2.9233,3.1433
8.6667,8.6667,3,2.3333,5.3067,3.0067,3.2267
9.0,9.0,3,2.5,5.39,3.09,3.31
9.3333,9.3333,3,2.6667,5.4733,3.1733,3.3933
9.6667,9.6667,3,2.8333,5.5567,3.2428,3.4767
10.0,10.0,4,1.0,5.64,3.2567,3.56
10.5,10.5,4,1.25,5.765,3.365,3.685
11.0,11.0,4,1.5,5.89,3.49,3.81
12.0,12.0,4,2.0,6.04,3.64,4.0
12.5,12.5,4,2.25,6.165,3.765,4.125
13.0,13.0,4,2.5,6.29,3.89,4.25
14.0,14.0,5,1.0,6.5,4.06,4.5
14.5,14.5,5,1.25,6.625,4.165,4.625
15.0,15.0,5,1.5,6.75,4.29,4.75
16.0,16.0,5,2.0,6.98,4.54,4.96
16.3333,16.3333,5,2.1667,7.0633,4.6033,5.0433
16.6667,16.6667,5,2.3333,7.1467,4.6867,5.1267
17.0,17.0,5,2.5,7.23,4.77,5.21
17.3333,17.3333,5,2.6667,7.3133,4.8533,5.2933
17.5,17.5,5,2.75,7.355,4.895,5.335
17.6667,17.6667,5,2.8333,7.3967,4.9367,5.3767
18.0,18.0,6,1.0,7.48,5.02,5.44
18.3333,18.3333,6,1.1667,7.5633,5.1033,5.5233
18.6667,18.6667,6,1.3333,7.6467,5.1867,5.5934
19.0,19.0,6,1.5,7.73,5.27,5.67
19.3333,19.3333,6,1.6667,7.8133,5.3533,5.7533
19.6667,19.6667,6,1.8333,7.8967,5.4033,5.8184
20.0,20.0,6,2.0,7.98,5.4109,5.9
20.3333,20.3333,6,2.1667,8.0633,5.4185,5.9833
20.6667,20.6667,6,2.3333,8.1467,5.4867,6.0667
21.0,21.0,6,2.5,8.23,5.57,6.15
21.3333,21.3333,6,2.6667,8.3133,5.6311,6.2333
21.5,21.5,6,2.75,8.355,5.655,6.275
21.6667,21.6667,6,2.8333,8.3967,5.6856,6.3167
22.0,22.0,7,1.0,8.48,5.74,6.4
22.3333,22.3333,7,1.1667,8.5633,5.8233,6.4833
22.6667,22.6667,7,1.3333,8.6467,5.9067,6.5444
23.0,23.0,7,1.5,8.73,5.99,6.5583
23.3333,23.3333,7,1.6667,8.8133,6.0081,6.6067
23.6667,23.6667,7,1.8333,8.8637,6.0174,6.6367
24.0,24.0,7,2.0,8.872,6.08,6.72
24.3333,24.3333,7,2.1667,8.8833,6.1633,6.8033
24.6667,24.6667,7,2.3333,8.9667,6.2467,6.8867
25.0,25.0,7,2.5,9.05,6.33,6.97
25.3333,25.3333,7,2.6667,9.1333,6.4044,7.0533
25.6667,25.6667,7,2.8333,9.2056,6.4567,7.1367
26.0,26.0,8,1.0,9.26,6.54,7.22
26.3333,26.3333,8,1.1667,9.3316,6.5908,7.3033
26.6667,26.6667,8,1.3333,9.4067,6.6334,7.3867
27.0,27.0,8,1.5,9.49,6.71,7.47
27.3333,27.3333,8,1.6667,9.5733,6.7578,7.5466
27.6667,27.6667,8,1.8333,9.6567,6.8367,7.6167
28.0,28.0,8,2.0,9.74,6.92,7.7
28.3333,28.3333,8,2.1667,9.8233,6.9708,7.7833
28.6667,28.6667,8,2.3333,9.8717,7.0267,7.8489
29.0,29.0,8,2.5,9.93,7.11,7.91
29.3333,29.3333,8,2.6667,10.0133,7.1578,7.9844
29.6667,29.6667,8,2.8333,10.0883,7.2367,8.0367
30.0,30.0,9,1.0,10.16,7.32,8.12
30.3333,30.3333,9,1.1667,10.2433,7.4033,8.2033
30.6667,30.6667,9,1.3333,10.3267,7.4834,8.2867
31.0,31.0,9,1.5,10.41,7.55,8.37
31.3333,31.3333,9,1.6667,10.4933,7.6333,8.4533
31.6667,31.6667,9,1.8333,10.5767,7.6767,8.4942
32.0,32.0,9,2.0,10.66,7.76,8.56
32.3333,32.3333,9,2.1667,10.7433,7.8433,8.6433
32.6667,32.6667,9,2.3333,10.7917,7.8733,8.7267
33.0,33.0,9,2.5,10.85,7.93,8.8025
33.3333,33.3333,9,2.6667,10.9333,7.9933,8.8267
33.6667,33.6667,9,2.8333,11.0167,8.0767,8.8967
34.0,34.0,10,1.0,11.1,8.16,8.98
34.3333,34.3333,10,1.1667,11.1833,8.2433,9.0633
34.6667,34.6667,10,1.3333,11.2667,8.3267,9.1467
35.0,35.0,10,1.5,11.2917,8.41,9.23
35.3333,35.3333,10,1.6667,11.3333,8.4933,9.2733
35.6667,35.6667,10,1.8333,11.4167,8.5096,9.3367
36.0,36.0,10,2.0,11.5,8.52,9.42
36.3333,36.3333,10,2.1667,11.5833,8.6033,9.5033
36.6667,36.6667,10,2.3333,11.6667,8.6813,9.5867
37.0,37.0,10,2.5,11.75,8.698,9.67
37.3333,37.3333,10,2.6667,11.8333,8.7533,9.7533
37.6667,37.6667,10,2.8333,11.9167,8.8367,9.8367
38.0,38.0,11,1.0,12.0,8.92,9.9
38.3333,38.3333,11,1.1667,12.0833,8.9687,9.9833
38.6667,38.6667,11,1.3333,12.1667,9.0067,10.0667
39.0,39.0,11,1.5,12.25,9.09,10.145
39.3333,39.3333,11,1.6667,12.3333,9.1733,10.2044
39.6667,39.6667,11,1.8333,12.3967,9.2567,10.2567
40.0,40.0,11,2.0,12.48,9.34,10.34
40.3333,40.3333,11,2.1667,12.5633,9.4233,10.4233
40.6667,40.6667,11,2.3333,12.6467,9.5067,10.5067
41.0,41.0,11,2.5,12.73,9.59,10.59
41.3333,41.3333,11,2.6667,12.8133,9.6733,10.6733
41.6667,41.6667,11,2.8333,12.8967,9.7567,10.7567
42.0,42.0,12,1.0,12.98,9.84,10.84
42.5,42.5,12,1.25,13.105,9.965,10.965
43.0,43.0,12,1.5,13.205,10.09,11.09
44.0,44.0,12,2.0,13.38,10.34,11.26
44.3333,44.3333,12,2.1667,13.4633,10.4233,11.3433
44.6667,44.6667,12,2.3333,13.5467,10.5067,11.4267
45.0,45.0,12,2.5,13.63,10.59,11.51
45.3333,45.3333,12,2.6667,13.7133,10.6733,11.5933
45.6667,45.6667,12,2.8333,13.7967,10.7567,11.6767
46.0,46.0,13,1.0,13.94,10.84,11.76
46.5,46.5,13,1.25,14.065,10.965,11.885
47.0,47.0,13,1.5,14.175,11.0808,11.935
48.0,48.0,13,2.0,14.3,11.1,12.16
48.3333,48.3333,13,2.1667,14.3833,11.1833,12.2433
48.6667,48.6667,13,2.3333,14.4667,11.2667,12.3267
49.0,49.0,13,2.5,14.55,11.3433,12.41
49.3333,49.3333,13,2.6667,14.6333,11.3933,12.4933
49.6667,49.6667,13,2.8333,14.7167,11.4767,12.5767
50.0,50.0,14,1.0,14.8,11.56,12.66
50.5,50.5,14,1.25,14.925,11.685,12.785
51.0,51.0,14,1.5,15.05,11.729,12.8183
52.0,52.0,14,2.0,15.22,11.88,13.06
52.5,52.5,14,2.25,15.345,11.985,13.185
53.0,53.0,14,2.5,15.43,12.07,13.29
54.0,54.0,15,1.0,15.68,12.32,13.52
54.5,54.5,15,1.25,15.805,12.3962,13.645
55.0,55.0,15,1.5,15.93,12.51,13.7633
56.0,56.0,15,2.0,16.18,12.74,13.98
56.5,56.5,15,2.25,16.305,12.865,14.105
57.0,57.0,15,2.5,16.43,12.9643,14.19
